action,step_start,step_end,block_start,block_end,branches,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,12,12,0,0,[0],1,0.9992220574286145,0.9669024363540255,0.9669024363540255,0.03309756364597449,0.0,1.0,1.0,1.0
C,12,12,0,0,[1],1,0.9974920238567426,0.9697446962425389,0.9697446962425389,0.030255303757461105,0.0,1.0,1.0,1.0
C,12,12,6,6,[0],1,0.998857446520698,0.9664450435768842,0.9664450435768842,0.03355495642311579,0.0,1.0,1.0,1.0
C,12,12,6,6,[1],1,0.9957447225265437,0.9695872312646671,0.9695872312646671,0.03041276873533294,0.0,1.0,1.0,1.0
C,12,12,12,12,[0],1,0.997256886929652,0.96747016889805,0.96747016889805,0.03252983110194996,0.0,1.0,1.0,1.0
C,12,12,12,12,[1],1,0.9650113643502336,0.9669779656842015,0.9669779656842015,0.03302203431579853,0.0,1.0,1.0,1.0
C,12,12,18,18,[0],1,0.9919648332740524,0.9452658909872885,0.9452658909872885,0.054734109012711474,0.0,1.0,1.0,1.0
C,12,12,18,18,[1],1,0.9939068407165335,0.963917384930844,0.963917384930844,0.036082615069156,0.0,1.0,1.0,1.0
C,12,12,24,24,[0],1,0.9968492135414615,0.9682244012140662,0.9682244012140662,0.031775598785933834,0.0,1.0,1.0,1.0
C,12,12,24,24,[1],1,0.9859155767636617,0.968648896176521,0.968648896176521,0.031351103823479054,0.0,1.0,1.0,1.0
C,14,14,0,0,[0],1,0.9523940112321817,0.9668877169640112,0.9668877169640112,0.03311228303598879,0.0,1.0,1.0,1.0
C,14,14,0,0,[1],1,0.9821406863935748,0.9697971614520886,0.9697971614520886,0.030202838547911393,0.0,1.0,1.0,1.0
C,14,14,6,6,[0],1,0.99180458829362,0.9709984293698085,0.9709984293698085,0.029001570630191487,0.0,1.0,1.0,1.0
C,14,14,6,6,[1],1,0.9562684158128175,0.9715736000540095,0.9715736000540095,0.0284263999459905,0.0,1.0,1.0,1.0
C,14,14,12,12,[0],1,0.9948276569421654,0.9696766470053736,0.9696766470053736,0.030323352994626407,0.0,1.0,1.0,1.0
C,14,14,12,12,[1],1,0.9861328142363427,0.9712191685462653,0.9712191685462653,0.028780831453734668,0.0,1.0,1.0,1.0
C,14,14,18,18,[0],1,0.9984995298317653,0.9666176113078255,0.9666176113078255,0.03338238869217447,0.0,1.0,1.0,1.0
C,14,14,18,18,[1],1,0.9872167854728106,0.969451390201138,0.969451390201138,0.03054860979886198,0.0,1.0,1.0,1.0
C,14,14,24,24,[0],1,0.983770315098141,0.9705118737215586,0.9705118737215586,0.02948812627844144,0.0,1.0,1.0,1.0
C,14,14,24,24,[1],1,0.9877992946406786,0.9716398526856544,0.9716398526856544,0.028360147314345552,0.0,1.0,1.0,1.0
C,16,16,0,0,[0],1,0.9955311746042389,0.9644577924219808,0.9644577924219808,0.03554220757801918,0.0,1.0,1.0,1.0
C,16,16,0,0,[1],1,0.9791825785952746,0.9673777124557031,0.9673777124557031,0.03262228754429686,0.0,1.0,1.0,1.0
C,16,16,6,6,[0],1,0.9980551488887318,0.9712785795114961,0.9712785795114961,0.0287214204885039,0.0,1.0,1.0,1.0
C,16,16,6,6,[1],1,0.9825154634850177,0.9714934279484597,0.9714934279484597,0.02850657205154028,0.0,1.0,1.0,1.0
C,16,16,12,12,[0],1,0.9984034254175905,0.9701584167071055,0.9701584167071055,0.029841583292894547,0.0,1.0,1.0,1.0
C,16,16,12,12,[1],1,0.985498069661609,0.9717655252673357,0.9717655252673357,0.028234474732664272,0.0,1.0,1.0,1.0
C,16,16,18,18,[0],1,0.9986249024093389,0.965094925478936,0.965094925478936,0.03490507452106395,0.0,1.0,1.0,1.0
C,16,16,18,18,[1],1,0.9899032512416645,0.9692318471774857,0.9692318471774857,0.030768152822514327,0.0,1.0,1.0,1.0
C,16,16,24,24,[0],1,0.9652754950003891,0.9708468682299568,0.9708468682299568,0.029153131770043195,0.0,1.0,1.0,1.0
C,16,16,24,24,[1],1,0.9911297065754712,0.9720600926994817,0.9720600926994817,0.02793990730051832,0.0,1.0,1.0,1.0
C,19,19,0,0,[0],1,0.9980500079036324,0.7364225020064576,0.7364225020064576,0.26357749799354235,0.0,1.0,1.0,1.0
C,19,19,0,0,[1],1,0.9654826775046365,0.7933433533226448,0.7933433533226448,0.20665664667735517,0.0,1.0,1.0,1.0
C,19,19,6,6,[0],1,0.9992104174704134,0.9660300077962681,0.9660300077962681,0.03396999220373187,0.0,1.0,1.0,1.0
C,19,19,6,6,[1],1,0.9915291518947976,0.9726045919119697,0.9726045919119697,0.027395408088030315,0.0,1.0,1.0,1.0
C,19,19,12,12,[0],1,0.9987613776863078,0.9676293875053055,0.9676293875053055,0.03237061249469453,0.0,1.0,1.0,1.0
C,19,19,12,12,[1],1,0.9896857530364555,0.973958541854572,0.973958541854572,0.02604145814542802,0.0,1.0,1.0,1.0
C,19,19,18,18,[0],1,0.9723226041102392,0.9408194364061013,0.9408194364061013,0.05918056359389867,0.0,1.0,1.0,1.0
C,19,19,18,18,[1],1,0.9876312742669935,0.9561071001743435,0.9561071001743435,0.04389289982565647,0.0,1.0,1.0,1.0
C,19,19,24,24,[0],1,0.9982573414035898,0.9418386002409044,0.9418386002409044,0.05816139975909562,0.0,1.0,1.0,1.0
C,19,19,24,24,[1],1,0.9496844678505737,0.957799147692455,0.957799147692455,0.042200852307545,0.0,1.0,1.0,1.0
