prompt_index,prompt,seed,repeat,method,schedule_order_index,status,seconds_including_text_and_vae,self_attention_calls,cross_attention_calls,peak_allocated_mib,video_file,video_sha256,event_file,schedule_family,schedule_action,schedule_cell_count,schedule_metadata,tri_mode_schedule,tri_mode_model_calls,tri_mode_block_calls,tri_mode_requested_dense,tri_mode_requested_quant,tri_mode_requested_cache,tri_mode_executed_dense,tri_mode_executed_quant,tri_mode_executed_cache,tri_mode_cache_fallbacks,tri_mode_cache_refreshes,tri_mode_max_cache_age,hybrid_linear_count,hybrid_dense_calls,hybrid_fp8_calls,hybrid_residual_calls,static_scale_min,static_scale_max,source_run_dir,logical_sample,dense_video_file,dense_seconds,candidate_seconds,end_to_end_speedup,candidate_fps,reference_fps,fps_match,step_start,step_end,block_start,block_end,schedule_branches,frames,height,width,pixel_mae,pixel_rmse,pixel_psnr_db,pixel_max_abs,exact_pixel_fraction,frame_psnr_mean_db,frame_psnr_p05_db,frame_ssim_mean,frame_ssim_p05,frame_ssim_min,temporal_delta_mae,reference_frame_delta_mae,candidate_frame_delta_mae
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s19-19_b12-12_br0,18,ok,6.040733284025919,1199,1199,21539.982421875,p00_c_s19-19_b12-12_br0_seed20260723_r0.mp4,bf420a4be561cd9ec711ff67413cd5cc935a93b95e8a52edb5cc507dc5f8990e,events/p00_c_s19-19_b12-12_br0_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 12, ""block_start"": 12, ""branches"": [0], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 19, ""step_start"": 19}",c_s19-19_b12-12_br0,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch0_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,6.033251096989261,6.040733284025919,0.9987613776863078,16.0,16.0,True,19,19,12,12,[0],17,480,832,3.150104579091252,4.925929296224619,34.28104012966843,131.0,0.15972894867081447,34.28648452139237,33.97938523376026,0.9676293875053055,0.9650193204500244,0.9643181531761669,3.7065721299913195,16.231849292200856,16.24152576413929
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s19-19_b18-18_br0,19,ok,6.204989035002654,1199,1199,21539.982421875,p00_c_s19-19_b18-18_br0_seed20260723_r0.mp4,407a3765eb07c5202c202650499aa5c8f9383450b81fd0ea750f4d2890aa517e,events/p00_c_s19-19_b18-18_br0_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 18, ""block_start"": 18, ""branches"": [0], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 19, ""step_start"": 19}",c_s19-19_b18-18_br0,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch0_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,6.033251096989261,6.204989035002654,0.9723226041102392,16.0,16.0,True,19,19,18,18,[0],17,480,832,4.678295665221217,7.596077932305022,30.519015373644876,180.0,0.12292349131158874,30.525561962325327,30.157124018135413,0.9408194364061013,0.9366022723024197,0.9354679738868593,5.236239963107639,16.231849292200856,16.530876798711272
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s19-19_b24-24_br0,20,ok,6.043783347995486,1199,1199,21539.982421875,p00_c_s19-19_b24-24_br0_seed20260723_r0.mp4,09ea0ca6419b91ef40c2fd8352df3ceb627a928164f13898cf71d4640359eca0,events/p00_c_s19-19_b24-24_br0_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 24, ""block_start"": 24, ""branches"": [0], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 19, ""step_start"": 19}",c_s19-19_b24-24_br0,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch0_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,6.033251096989261,6.043783347995486,0.9982573414035898,16.0,16.0,True,19,19,24,24,[0],17,480,832,4.438895860828306,7.389165984876018,30.758895161774788,205.0,0.13097701420311714,30.788849114794484,29.94215496434036,0.9418386002409044,0.9363970960215252,0.9355005761697127,5.200612386067708,16.231849292200856,16.57951905340211
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,dense,0,ok,5.95103397697676,1200,1200,21517.130859375,p00_dense_seed20260723_r0.mp4,05e9c5f36db0801e12f5ceae616a122ee3aa3964ab365ae740b677128d7d5742,events/p00_dense_seed20260723_r0.jsonl,reference,,0,"{""cell_count"": 0, ""family"": ""reference""}",dense,40,1200,1200,0,0,1200,0,0,0,0,0,60,2400,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,5.95103397697676,1.0,16.0,16.0,True,,,,,"[0, 1]",17,480,832,0.0,0.0,inf,0.0,1.0,inf,nan,1.0,1.0,1.0,0.0,16.231849292200856,16.231849292200856
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s12-12_b00-00_br1,1,ok,5.96599655400496,1199,1199,21539.982421875,p00_c_s12-12_b00-00_br1_seed20260723_r0.mp4,c96149dfc0626e200cbedcaab8bccd5c9fedb21bfa794cf0befbf43a47b23a06,events/p00_c_s12-12_b00-00_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 0, ""block_start"": 0, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 12, ""step_start"": 12}",c_s12-12_b00-00_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,5.96599655400496,0.9974920238567426,16.0,16.0,True,12,12,0,0,[1],17,480,832,3.1064159517973855,4.895624243393021,34.33464207332876,184.0,0.15774562829939667,34.34173221847475,33.89270328659642,0.9697446962425389,0.9670704173753356,0.9658294279998137,3.5897027953058225,16.231849292200856,16.209850448217146
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s12-12_b06-06_br1,2,ok,5.976465495972661,1199,1199,21539.982421875,p00_c_s12-12_b06-06_br1_seed20260723_r0.mp4,0d55fa7500e4f294b9fdfac09f710432149aca9e2dc234ffa5c80a9b2b53bcfb,events/p00_c_s12-12_b06-06_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 6, ""block_start"": 6, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 12, ""step_start"": 12}",c_s12-12_b06-06_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,5.976465495972661,0.9957447225265437,16.0,16.0,True,12,12,6,6,[1],17,480,832,3.0292164031077173,5.00026113159072,34.15094990176848,195.0,0.16943231719771243,34.15730428467386,33.7183548587401,0.9695872312646671,0.9667036876642767,0.9660344199834094,3.6037962302183493,16.231849292200856,16.251116630358574
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s12-12_b12-12_br1,3,ok,6.166801964020124,1199,1199,21539.982421875,p00_c_s12-12_b12-12_br1_seed20260723_r0.mp4,31b5f7c381e2e011d96ce658ab87e338da0aad89da9e1259dfc3943aa65f5f4f,events/p00_c_s12-12_b12-12_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 12, ""block_start"": 12, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 12, ""step_start"": 12}",c_s12-12_b12-12_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,6.166801964020124,0.9650113643502336,16.0,16.0,True,12,12,12,12,[1],17,480,832,3.2832725498051785,5.468625088352949,33.37324059790848,191.0,0.1594466833207642,33.38362516556271,32.78893104813892,0.9669779656842015,0.9640172484691795,0.9635158576670957,3.790127902560764,16.231849292200856,16.23697233281584
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s12-12_b18-18_br1,4,ok,5.987516870984109,1199,1199,21539.982421875,p00_c_s12-12_b18-18_br1_seed20260723_r0.mp4,49fc2d30a3fffccb6d1e93691e0f8e4046dcee1eb1010d2e4c48e8d634cf9cbd,events/p00_c_s12-12_b18-18_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 18, ""block_start"": 18, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 12, ""step_start"": 12}",c_s12-12_b18-18_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,5.987516870984109,0.9939068407165335,16.0,16.0,True,12,12,18,18,[1],17,480,832,3.5941351260055305,5.95427303275068,32.634228702504295,209.0,0.1511064762443439,32.644592896308524,32.142138430775276,0.963917384930844,0.9615669653290869,0.9598302294266645,4.110885385366586,16.231849292200856,16.419761462089344
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s12-12_b24-24_br1,5,ok,6.036048234993359,1199,1199,21539.982421875,p00_c_s12-12_b24-24_br1_seed20260723_r0.mp4,b34363031b3f8617d6efbee1c80876e60d0bb896bd69609017c2b83849be7e3b,events/p00_c_s12-12_b24-24_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 24, ""block_start"": 24, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 12, ""step_start"": 12}",c_s12-12_b24-24_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,6.036048234993359,0.9859155767636617,16.0,16.0,True,12,12,24,24,[1],17,480,832,3.1631581118024132,5.2006308712615725,33.809683015640886,180.0,0.16502398936337356,33.83765514816826,33.17146675037954,0.968648896176521,0.9647167920251499,0.9630692270153949,3.711114241119124,16.231849292200856,16.196300330528846
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,0,c_s14-14_b00-00_br1,6,ok,6.059247986995615,1199,1199,21539.982421875,p00_c_s14-14_b00-00_br1_seed20260723_r0.mp4,f7e6838d9629dc6334ea9e95da593a9cad4dab1a376b41d4d4b8c9a013a9764f,events/p00_c_s14-14_b00-00_br1_seed20260723_r0.jsonl,single_cell,C,1,"{""action"": ""C"", ""block_end"": 0, ""block_start"": 0, ""branches"": [1], ""cell_count"": 1, ""family"": ""single_cell"", ""step_end"": 14, ""step_start"": 14}",c_s14-14_b00-00_br1,40,1200,1199,0,1,1199,0,1,0,1,1,60,2398,0,0,0.0075439452193677425,0.05654297024011612,/home/wangmeiqi/codex_runs/robuq_structured_probe_20260723/results/tri_mode_oracle_f17_cache_branch1_probe_v1/data,p00_seed20260723_r0,p00_dense_seed20260723_r0.mp4,5.95103397697676,6.059247986995615,0.9821406863935748,16.0,16.0,True,14,14,0,0,[1],17,480,832,3.1313992584213173,4.892348271000716,34.340456298016775,182.0,0.1537236539247109,34.343635177972786,34.04885822295494,0.9697971614520886,0.9671221924742105,0.9663150558574382,3.5588406554654113,16.231849292200856,16.252804539346286
