method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s12-12_b00-00_br0,single_cell,C,1,1,0.9992220574286145,0.9992220574286145,0.9992220574286145,0.9992220574286145,0.9669024363540255,0.9669024363540255,0.9669024363540255,33.47310164762228,0.0,1.0,1.0,0.0,1.0
c_s12-12_b00-00_br1,single_cell,C,1,1,0.9974920238567426,0.9974920238567426,0.9974920238567426,0.9974920238567426,0.9697446962425389,0.9697446962425389,0.9697446962425389,34.33464207332876,0.0,1.0,1.0,0.0,1.0
c_s12-12_b06-06_br0,single_cell,C,1,1,0.998857446520698,0.998857446520698,0.998857446520698,0.998857446520698,0.9664450435768842,0.9664450435768842,0.9664450435768842,33.06011468503011,0.0,1.0,1.0,0.0,1.0
c_s12-12_b06-06_br1,single_cell,C,1,1,0.9957447225265437,0.9957447225265437,0.9957447225265437,0.9957447225265437,0.9695872312646671,0.9695872312646671,0.9695872312646671,34.15094990176848,0.0,1.0,1.0,0.0,1.0
c_s12-12_b12-12_br0,single_cell,C,1,1,0.997256886929652,0.997256886929652,0.997256886929652,0.997256886929652,0.96747016889805,0.96747016889805,0.96747016889805,33.74256610107913,0.0,1.0,1.0,0.0,1.0
c_s12-12_b12-12_br1,single_cell,C,1,1,0.9650113643502336,0.9650113643502336,0.9650113643502336,0.9650113643502336,0.9669779656842015,0.9669779656842015,0.9669779656842015,33.37324059790848,0.0,1.0,1.0,0.0,1.0
c_s12-12_b18-18_br0,single_cell,C,1,1,0.9919648332740524,0.9919648332740524,0.9919648332740524,0.9919648332740524,0.9452658909872885,0.9452658909872885,0.9452658909872885,29.342205585798485,0.0,1.0,1.0,0.0,1.0
c_s12-12_b18-18_br1,single_cell,C,1,1,0.9939068407165335,0.9939068407165335,0.9939068407165335,0.9939068407165335,0.963917384930844,0.963917384930844,0.963917384930844,32.634228702504295,0.0,1.0,1.0,0.0,1.0
c_s12-12_b24-24_br0,single_cell,C,1,1,0.9968492135414615,0.9968492135414615,0.9968492135414615,0.9968492135414615,0.9682244012140662,0.9682244012140662,0.9682244012140662,33.89222328718096,0.0,1.0,1.0,0.0,1.0
c_s12-12_b24-24_br1,single_cell,C,1,1,0.9859155767636617,0.9859155767636617,0.9859155767636617,0.9859155767636617,0.968648896176521,0.968648896176521,0.968648896176521,33.809683015640886,0.0,1.0,1.0,0.0,1.0
c_s14-14_b00-00_br0,single_cell,C,1,1,0.9523940112321817,0.9523940112321817,0.9523940112321817,0.9523940112321817,0.9668877169640112,0.9668877169640112,0.9668877169640112,33.636801156517606,0.0,1.0,1.0,0.0,1.0
c_s14-14_b00-00_br1,single_cell,C,1,1,0.9821406863935748,0.9821406863935748,0.9821406863935748,0.9821406863935748,0.9697971614520886,0.9697971614520886,0.9697971614520886,34.340456298016775,0.0,1.0,1.0,0.0,1.0
c_s14-14_b06-06_br0,single_cell,C,1,1,0.99180458829362,0.99180458829362,0.99180458829362,0.99180458829362,0.9709984293698085,0.9709984293698085,0.9709984293698085,34.67689140936735,0.0,1.0,1.0,0.0,1.0
c_s14-14_b06-06_br1,single_cell,C,1,1,0.9562684158128175,0.9562684158128175,0.9562684158128175,0.9562684158128175,0.9715736000540095,0.9715736000540095,0.9715736000540095,35.04539806739641,0.0,1.0,1.0,0.0,1.0
c_s14-14_b12-12_br0,single_cell,C,1,1,0.9948276569421654,0.9948276569421654,0.9948276569421654,0.9948276569421654,0.9696766470053736,0.9696766470053736,0.9696766470053736,34.39792171536036,0.0,1.0,1.0,0.0,1.0
c_s14-14_b12-12_br1,single_cell,C,1,1,0.9861328142363427,0.9861328142363427,0.9861328142363427,0.9861328142363427,0.9712191685462653,0.9712191685462653,0.9712191685462653,34.786703439398245,0.0,1.0,1.0,0.0,1.0
c_s14-14_b18-18_br0,single_cell,C,1,1,0.9984995298317653,0.9984995298317653,0.9984995298317653,0.9984995298317653,0.9666176113078255,0.9666176113078255,0.9666176113078255,33.5554188260282,0.0,1.0,1.0,0.0,1.0
c_s14-14_b18-18_br1,single_cell,C,1,1,0.9872167854728106,0.9872167854728106,0.9872167854728106,0.9872167854728106,0.969451390201138,0.969451390201138,0.969451390201138,34.352821892609114,0.0,1.0,1.0,0.0,1.0
c_s14-14_b24-24_br0,single_cell,C,1,1,0.983770315098141,0.983770315098141,0.983770315098141,0.983770315098141,0.9705118737215586,0.9705118737215586,0.9705118737215586,34.69067682927252,0.0,1.0,1.0,0.0,1.0
c_s14-14_b24-24_br1,single_cell,C,1,1,0.9877992946406786,0.9877992946406786,0.9877992946406786,0.9877992946406786,0.9716398526856544,0.9716398526856544,0.9716398526856544,34.97901341486353,0.0,1.0,1.0,0.0,1.0
c_s16-16_b00-00_br0,single_cell,C,1,1,0.9955311746042389,0.9955311746042389,0.9955311746042389,0.9955311746042389,0.9644577924219808,0.9644577924219808,0.9644577924219808,33.71489509448294,0.0,1.0,1.0,0.0,1.0
c_s16-16_b00-00_br1,single_cell,C,1,1,0.9791825785952746,0.9791825785952746,0.9791825785952746,0.9791825785952746,0.9673777124557031,0.9673777124557031,0.9673777124557031,34.285252752828576,0.0,1.0,1.0,0.0,1.0
c_s16-16_b06-06_br0,single_cell,C,1,1,0.9980551488887318,0.9980551488887318,0.9980551488887318,0.9980551488887318,0.9712785795114961,0.9712785795114961,0.9712785795114961,35.09324852934959,0.0,1.0,1.0,0.0,1.0
c_s16-16_b06-06_br1,single_cell,C,1,1,0.9825154634850177,0.9825154634850177,0.9825154634850177,0.9825154634850177,0.9714934279484597,0.9714934279484597,0.9714934279484597,35.42445904112991,0.0,1.0,1.0,0.0,1.0
c_s16-16_b12-12_br0,single_cell,C,1,1,0.9984034254175905,0.9984034254175905,0.9984034254175905,0.9984034254175905,0.9701584167071055,0.9701584167071055,0.9701584167071055,34.89959827201852,0.0,1.0,1.0,0.0,1.0
c_s16-16_b12-12_br1,single_cell,C,1,1,0.985498069661609,0.985498069661609,0.985498069661609,0.985498069661609,0.9717655252673357,0.9717655252673357,0.9717655252673357,35.281464871816794,0.0,1.0,1.0,0.0,1.0
