method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
ar2,29,4,1,2,0.1493673580560317,985756.5292513226,44183311.57084072,4,4,71884800,0
ar2,29,4,1,3,0.2597398833630083,2980818.588164246,44183311.57084072,4,4,107827200,0
ar2,29,6,0,1,0.0429607561505386,77210.92337244144,41834531.78894504,4,4,35942400,0
ar2,29,6,0,2,0.07640532065070957,244220.50113820256,41834531.78894504,4,4,71884800,0
ar2,29,6,0,3,0.13464740745086043,758456.8958500144,41834531.78894504,4,4,107827200,0
ar2,29,6,1,1,0.06250158733406098,162192.64509147743,41519208.1613317,4,4,35942400,0
ar2,29,6,1,2,0.08924737852240335,330704.41960611014,41519208.1613317,4,4,71884800,0
ar2,29,6,1,3,0.12650780743382153,664482.7634234366,41519208.1613317,4,4,107827200,0
broyden2,20,4,0,1,0.3624015269750068,274408.99329233385,2089384.1831560656,4,4,131788800,0
broyden2,20,4,0,2,0.5514601469811822,635399.058841134,2089384.1831560656,4,4,263577600,0
broyden2,20,4,0,3,1.023344875741785,2188075.6907483796,2089384.1831560656,4,4,251596800,0
broyden2,20,4,1,1,0.389517522873687,296566.1707125164,1954643.727781761,4,4,131788800,0
broyden2,20,4,1,2,0.5513127524677189,594105.6558436105,1954643.727781761,4,4,263577600,0
broyden2,20,4,1,3,0.9618926359116696,1808509.564710027,1954643.727781761,4,4,251596800,0
broyden2,20,6,0,1,0.24824386884663188,142294.0691253472,2309030.8574949875,4,4,131788800,0
broyden2,20,6,0,2,0.4000791593214804,369591.17672080826,2309030.8574949875,4,4,263577600,0
broyden2,20,6,0,3,0.5355372629109073,662230.4192962379,2309030.8574949875,4,4,395366400,0
broyden2,20,6,1,1,0.29117087444054585,190916.45336208318,2251891.6806094116,4,4,131788800,0
broyden2,20,6,1,2,0.44320029444651227,442331.2034474307,2251891.6806094116,4,4,263577600,0
broyden2,20,6,1,3,0.5527879788883728,688120.786058072,2251891.6806094116,4,4,395366400,0
broyden2,21,4,0,1,0.470610395060424,3510040.524256123,15848534.10799962,4,4,131788800,0
broyden2,21,4,0,2,0.7939763100676973,9990890.242093466,15848534.10799962,4,4,263577600,0
broyden2,21,4,0,3,1.8680343790307286,55304290.88665688,15848534.10799962,4,4,251596800,0
broyden2,21,4,1,1,0.49927340501456247,3924840.89450803,15745091.54641192,4,4,131788800,0
broyden2,21,4,1,2,0.7993165724063473,10059648.935771266,15745091.54641192,4,4,263577600,0
broyden2,21,4,1,3,1.7709220657234155,49379204.444976114,15745091.54641192,4,4,251596800,0
broyden2,21,6,0,1,0.30886413738023866,1436224.191276057,15055225.613218475,4,4,131788800,0
broyden2,21,6,0,2,0.5137604241654008,3973823.389676214,15055225.613218475,4,4,263577600,0
broyden2,21,6,0,3,0.7287565617002426,7995621.450309781,15055225.613218475,4,4,395366400,0
broyden2,21,6,1,1,0.3411371224133802,1735763.1747180088,14915317.646595946,4,4,131788800,0
broyden2,21,6,1,2,0.5784980124911333,4991559.464648157,14915317.646595946,4,4,263577600,0
broyden2,21,6,1,3,0.7795449934961008,9063895.300323285,14915317.646595946,4,4,395366400,0
broyden2,22,4,0,1,0.5287587772233291,310049.73005846434,1108960.75809291,4,4,131788800,0
broyden2,22,4,0,2,0.8198809464773841,745448.7073368976,1108960.75809291,4,4,263577600,0
broyden2,22,4,0,3,1.1120932143241213,1371508.678456155,1108960.75809291,4,4,251596800,0
broyden2,22,4,1,1,0.5260605446268842,299606.825462535,1082630.4615104347,4,4,131788800,0
broyden2,22,4,1,2,0.7313761404099027,579111.006413333,1082630.4615104347,4,4,263577600,0
broyden2,22,4,1,3,0.9423887075063566,961480.2977161057,1082630.4615104347,4,4,251596800,0
broyden2,22,6,0,1,0.3723411582877913,164127.32356342618,1183855.773877834,4,4,131788800,0
broyden2,22,6,0,2,0.5930152023454172,416323.04419986554,1183855.773877834,4,4,263577600,0
broyden2,22,6,0,3,0.8090308455730181,774870.1959060379,1183855.773877834,4,4,395366400,0
broyden2,22,6,1,1,0.42199448231179054,213110.16460722475,1196714.6828795476,4,4,131788800,0
broyden2,22,6,1,2,0.5942011722705756,422530.0763021327,1196714.6828795476,4,4,263577600,0
broyden2,22,6,1,3,0.7373037254780179,650554.1867983786,1196714.6828795476,4,4,395366400,0
broyden2,23,4,0,1,0.6055394912141416,455965.2332856846,1243502.8540050033,4,4,131788800,0
broyden2,23,4,0,2,1.0621550435337974,1402886.763755423,1243502.8540050033,4,4,263577600,0
broyden2,23,4,0,3,1.7674709533500925,3884645.1812383924,1243502.8540050033,4,4,251596800,0
broyden2,23,4,1,1,0.5618997694608229,347304.6716836019,1100000.588067871,4,4,131788800,0
broyden2,23,4,1,2,0.8983106638133467,887658.728141307,1100000.588067871,4,4,263577600,0
broyden2,23,4,1,3,1.4134651212220035,2197673.1886934307,1100000.588067871,4,4,251596800,0
broyden2,23,6,0,1,0.4024821105971341,167637.81616418794,1034853.4005636317,4,4,131788800,0
broyden2,23,6,0,2,0.6789988553605786,477108.2380534444,1034853.4005636317,4,4,263577600,0
broyden2,23,6,0,3,1.0895616892888755,1228520.703642631,1034853.4005636317,4,4,395366400,0
broyden2,23,6,1,1,0.501272346289776,259425.3440819792,1032440.2049456197,4,4,131788800,0
broyden2,23,6,1,2,0.6620208856072574,452489.27522475115,1032440.2049456197,4,4,263577600,0
broyden2,23,6,1,3,0.8547891269557767,754367.3561169631,1032440.2049456197,4,4,395366400,0
broyden2,24,4,0,1,0.22712352142026865,236808.25498005838,4590633.39229573,4,4,131788800,0
broyden2,24,4,0,2,0.3221695275362948,476476.550346946,4590633.39229573,4,4,263577600,0
broyden2,24,4,0,3,0.41031074297128195,772855.6523114732,4590633.39229573,4,4,251596800,0
broyden2,24,4,1,1,0.2606103103049815,271519.0247351995,3997763.314450399,4,4,131788800,0
broyden2,24,4,1,2,0.3570159585313071,509556.4897612607,3997763.314450399,4,4,263577600,0
broyden2,24,4,1,3,0.4467266299339256,797812.3641282913,3997763.314450399,4,4,251596800,0
broyden2,24,6,0,1,0.18450769735336595,125841.77605140279,3696543.8400848024,4,4,131788800,0
broyden2,24,6,0,2,0.2784186122338559,286544.70657720906,3696543.8400848024,4,4,263577600,0
broyden2,24,6,0,3,0.3540406367127756,463342.44646465336,3696543.8400848024,4,4,395366400,0
broyden2,24,6,1,1,0.22436352182531183,176890.1363118408,3513978.6589356894,4,4,131788800,0
broyden2,24,6,1,2,0.30666791041067215,330472.85134181066,3513978.6589356894,4,4,263577600,0
broyden2,24,6,1,3,0.37812430121893037,502421.59562105837,3513978.6589356894,4,4,395366400,0
broyden2,25,4,0,1,0.16735154317359274,122523.59718104123,4374821.079096621,4,4,131788800,0
broyden2,25,4,0,2,0.25881545557720687,293049.31510421634,4374821.079096621,4,4,263577600,0
broyden2,25,4,0,3,0.3965662668850121,688005.3796753195,4374821.079096621,4,4,251596800,0
broyden2,25,4,1,1,0.19451442578039704,170426.19075993323,4504355.986275547,4,4,131788800,0
broyden2,25,4,1,2,0.2618260459542084,308786.56792726694,4504355.986275547,4,4,263577600,0
broyden2,25,4,1,3,0.376968842092497,640093.79523064,4504355.986275547,4,4,251596800,0
broyden2,25,6,0,1,0.11691979767783164,64264.66674443889,4701063.845769359,4,4,131788800,0
broyden2,25,6,0,2,0.18317816903533654,157740.6321103322,4701063.845769359,4,4,263577600,0
broyden2,25,6,0,3,0.24953991731337805,292736.04642127326,4701063.845769359,4,4,395366400,0
broyden2,25,6,1,1,0.1499625503466167,104917.32875182401,4665321.6272079125,4,4,131788800,0
broyden2,25,6,1,2,0.21575130437175982,217164.3085067096,4665321.6272079125,4,4,263577600,0
broyden2,25,6,1,3,0.27629428788182225,356143.811402106,4665321.6272079125,4,4,395366400,0
broyden2,26,4,0,1,0.22191488410158752,118281.57992543568,2401840.9950494375,4,4,131788800,0
broyden2,26,4,0,2,0.33873811744568466,275595.67154348636,2401840.9950494375,4,4,263577600,0
broyden2,26,4,0,3,0.5241523491875097,659871.4314173654,2401840.9950494375,4,4,251596800,0
broyden2,26,4,1,1,0.28595397760752883,193191.50958213964,2362630.2064363915,4,4,131788800,0
broyden2,26,4,1,2,0.3884557700809353,356515.9019188251,2362630.2064363915,4,4,263577600,0
broyden2,26,4,1,3,0.5755458895264804,782628.5114032426,2362630.2064363915,4,4,251596800,0
broyden2,26,6,0,1,0.16386619457112778,64425.73998923867,2399278.5918027544,4,4,131788800,0
broyden2,26,6,0,2,0.27041499440926564,175445.49363605212,2399278.5918027544,4,4,263577600,0
broyden2,26,6,0,3,0.37779093220688,342439.40860055067,2399278.5918027544,4,4,395366400,0
broyden2,26,6,1,1,0.23283879419975054,127387.51779479688,2349720.425898402,4,4,131788800,0
broyden2,26,6,1,2,0.3375882721828328,267787.865663413,2349720.425898402,4,4,263577600,0
broyden2,26,6,1,3,0.44603430014558126,467468.8824138463,2349720.425898402,4,4,395366400,0
broyden2,27,4,0,1,0.1729277029877241,189655.71260566893,6342153.996319756,4,4,131788800,0
broyden2,27,4,0,2,0.2786111994896855,492304.63329221576,6342153.996319756,4,4,263577600,0
broyden2,27,4,0,3,0.43780374062470195,1215614.0720645483,6342153.996319756,4,4,251596800,0
broyden2,27,4,1,1,0.2337318148105546,339747.61818351137,6219002.887411921,4,4,131788800,0
broyden2,27,4,1,2,0.33890857927335033,714308.6087738158,6219002.887411921,4,4,263577600,0
broyden2,27,4,1,3,0.5133761860326083,1639049.9800408846,6219002.887411921,4,4,251596800,0
broyden2,27,6,0,1,0.1221842410130029,90544.40209426344,6065005.714643393,4,4,131788800,0
broyden2,27,6,0,2,0.2107846035828936,269469.10824003746,6065005.714643393,4,4,263577600,0
broyden2,27,6,0,3,0.31123044663579,587483.0844334839,6065005.714643393,4,4,395366400,0
broyden2,27,6,1,1,0.18337970382026875,201633.4067858312,5995976.94220104,4,4,131788800,0
broyden2,27,6,1,2,0.2687356733314049,433022.632068814,5995976.94220104,4,4,263577600,0
broyden2,27,6,1,3,0.37280060493108363,833322.6204781332,5995976.94220104,4,4,395366400,0
broyden2,28,4,0,1,0.1965852847188757,281802.36978756386,7291932.322600366,4,4,131788800,0
broyden2,28,4,0,2,0.36200169845710195,955572.9460686678,7291932.322600366,4,4,263577600,0
broyden2,28,4,0,3,0.6370512772686757,2959316.467597368,7291932.322600366,4,4,251596800,0
broyden2,28,4,1,1,0.23803044893576836,436828.85421914386,7709856.344481888,4,4,131788800,0
broyden2,28,4,1,2,0.3420014984630468,901783.5397007137,7709856.344481888,4,4,263577600,0
