sample_id,split,block,target_step,branch,horizon,method,relative_l2,error_sq,target_sq,output_relative_l2,output_target_sq,effective_secants,selected_shifts,fit_and_predict_ms,input_drift_relative_l2,residual_drift_relative_l2,adaln_drift_relative_l2,qk_sketch_drift_relative_l2,predictor_macs,observable_macs,qk_projection_macs,routing_macs,total_runtime_macs
p00_seed2026082001,calibration,20,4,0,1,taylor1,0.502245099958286,130238.28991055241,516306.1145871001,0.1501006775900221,5780606.13644691,0,[],1.2690997682511806,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,35942400,0,0,0,35942400
p00_seed2026082001,calibration,20,4,0,2,taylor1,1.1665931010792172,702661.3665805156,516306.1145871001,0.3486473336591619,5780606.13644691,0,[],1.3111238367855549,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,71884800,0,0,0,71884800
p00_seed2026082001,calibration,20,4,0,3,taylor1,1.8218015325220138,1713599.7674543816,516306.1145871001,0.5444625432658411,5780606.13644691,0,[],1.410854049026966,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,107827200,0,0,0,107827200
p00_seed2026082001,calibration,20,4,0,1,online_ar2,0.3234347480534832,54010.801362237515,516306.1145871001,0.09666152012835574,5780606.13644691,0,[],3.4020799212157726,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,35942400,0,0,0,35942400
p00_seed2026082001,calibration,20,4,0,2,online_ar2,0.5736248075508793,169888.162239127,516306.1145871001,0.17143317536195807,5780606.13644691,0,[],2.4429969489574432,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,71884800,0,0,0,71884800
p00_seed2026082001,calibration,20,4,0,1,diagonal,0.3048320068508894,47976.48198754263,516306.1145871001,0.0911019157444144,5780606.13644691,0,[],2.2999620996415615,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,47923200,0,0,0,47923200
p00_seed2026082001,calibration,20,4,0,2,diagonal,0.5540765522384268,158506.4035130687,516306.1145871001,0.16559099518270778,5780606.13644691,0,[],2.0798533223569393,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,95846400,0,0,0,95846400
p00_seed2026082001,calibration,20,4,0,3,diagonal,1.0203690957820017,537553.707428273,516306.1145871001,0.3049469127354696,5780606.13644691,0,[],1.947319135069847,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,143769600,0,0,0,143769600
p00_seed2026082001,calibration,20,4,0,1,broyden2,0.29587116482913994,45197.306220769606,516306.1145871001,0.0884238837250807,5780606.13644691,2,[],104.07253820449114,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,131788800,0,0,0,131788800
p00_seed2026082001,calibration,20,4,0,2,broyden2,0.5341607065365129,147316.41572926863,516306.1145871001,0.1596389571540961,5780606.13644691,2,[],4.518323112279177,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,263577600,0,0,0,263577600
p00_seed2026082001,calibration,20,4,0,3,broyden2,1.0338953983159922,551900.1004773013,516306.1145871001,0.3089893756202408,5780606.13644691,1,[],7.28651974350214,0.10116600168278733,0.3126320225854006,0.027704170912119422,0.16550238661415106,251596800,0,0,0,251596800
