method,block,target_step,ar2_risk,method_risk,risk_reduction,risk_gate_pass
diagonal,20,4,0.4083988112787932,0.38108253060480224,1.0716807475552297,False
diagonal,21,4,0.6291518130547696,0.48162104712281595,1.3063212598645686,False
diagonal,22,4,0.6494276626314888,0.5079477505557721,1.278532411888656,False
diagonal,23,4,0.6298958621256536,0.506662261907243,1.243226325470776,False
diagonal,24,4,0.5411006886384879,0.2404147847419091,2.2506963921514735,True
diagonal,25,4,0.5158379106462763,0.18381096571493194,2.8063500381488504,True
diagonal,26,4,0.2798796694240002,0.27033251956182097,1.0353163203511517,False
diagonal,27,4,0.20750002881975982,0.22012275965014694,0.9426559486604242,False
diagonal,28,4,0.20557282190585566,0.2294181978457847,0.896061532329018,False
diagonal,29,4,0.08127007014716658,0.08642502860287868,0.9403534075829002,False
diagonal,20,6,0.29887318639922006,0.2724853142687326,1.096841447038364,False
diagonal,21,6,0.4819707044908762,0.34248343576927875,1.407281795711621,False
diagonal,22,6,0.5023004431120114,0.40938293595984676,1.2269696633405311,False
diagonal,23,6,0.5361550680400534,0.4516654980762428,1.1870622625010612,False
diagonal,24,6,0.443817934011484,0.2044820319558529,2.170449548874314,True
diagonal,25,6,0.37929021533654556,0.13793825585620403,2.7497101002345774,True
diagonal,26,6,0.21791751394033748,0.2132697932753556,1.0217926814369869,False
diagonal,27,6,0.15637631450544331,0.1698858014087716,0.9204790112457817,False
diagonal,28,6,0.15123099385871205,0.16982832228580685,0.8904933630811176,False
diagonal,29,6,0.05359234547733044,0.06237159241154473,0.8592428604951043,False
broyden2,20,4,0.4083988112787932,0.37575220413039323,1.086883341706416,False
broyden2,21,4,0.6291518130547696,0.4851067181340041,1.2969348589416465,False
broyden2,22,4,0.6494276626314888,0.5274275947461055,1.231311499627,False
broyden2,23,4,0.6298958621256536,0.585460973036538,1.0758972692212954,False
broyden2,24,4,0.5411006886384879,0.24328518334154348,2.224141565903941,True
broyden2,25,4,0.5158379106462763,0.18163947403920627,2.839899825601424,True
broyden2,26,4,0.2798796694240002,0.25568362338253436,1.0946327563782432,False
broyden2,27,4,0.20750002881975982,0.20529506741473935,1.0107404499912604,False
broyden2,28,4,0.20557282190585566,0.21886762230823525,0.9392564315261931,False
broyden2,29,4,0.08127007014716658,0.07058060834037574,1.1514504062538082,False
broyden2,20,6,0.29887318639922006,0.2702918841283334,1.1057423620507836,False
broyden2,21,6,0.4819707044908762,0.3253257328724638,1.4815019403332024,False
broyden2,22,6,0.5023004431120114,0.3980768319525488,1.2618178270969715,False
broyden2,23,6,0.5361550680400534,0.45451160249244693,1.1796290019878277,False
broyden2,24,6,0.443817934011484,0.20490178134147538,2.1660032973156405,True
