block,branch,step,lag1,lag2,observations
20,0,2,0.7324390106446721,0.1760731740147541,47923200
20,0,3,0.9502587281432133,-0.012482943218360253,47923200
20,0,4,0.9509820955048931,0.013676247691804047,47923200
20,0,5,1.0129359887332758,-0.0543839556594261,47923200
20,0,6,1.053758283522499,-0.07632537273232351,47923200
20,1,2,0.684972946843606,0.23584989345798896,47923200
20,1,3,0.9127827706023603,0.02891337045324208,47923200
20,1,4,0.9294479425452447,0.04235086480697823,47923200
20,1,5,0.9456775550547647,0.011922782124120446,47923200
20,1,6,0.9848830546412579,-0.008194595475326598,47923200
21,0,2,0.4648366770377004,0.1464351262735117,47923200
21,0,3,0.65729035013307,0.02480282108090661,47923200
21,0,4,0.6420121659682849,0.1054638205870547,47923200
21,0,5,0.8624959511331607,-0.046663342726149956,47923200
21,0,6,0.9272118337420627,-0.08496154409710854,47923200
21,1,2,0.5300040825296655,0.12550453730053343,47923200
21,1,3,0.6519357804242827,0.028726085904717737,47923200
21,1,4,0.6690976064223486,0.06515568853501984,47923200
21,1,5,0.7809837338530414,-0.006195036823750825,47923200
21,1,6,0.8291212652914743,0.007035944785405051,47923200
22,0,2,0.48700119387254576,0.10242007826287966,47923200
22,0,3,0.7034162337063744,-0.05485026682158567,47923200
22,0,4,0.8458227265545959,-0.10936150245711095,47923200
22,0,5,0.9663059448662249,-0.13716078251686917,47923200
22,0,6,1.0366081585883142,-0.12515858315823658,47923200
22,1,2,0.47830903428545524,0.0811579381192532,47923200
22,1,3,0.6764021805500259,-0.024445837158480397,47923200
22,1,4,0.8093984992162843,-0.04582193194378593,47923200
22,1,5,0.8923085960906999,-0.06273694656149205,47923200
22,1,6,0.9697769330762076,-0.03668017250674698,47923200
23,0,2,0.44896698258925444,0.09917463645562098,47923200
23,0,3,0.7077718675423107,-0.03332339570246215,47923200
23,0,4,0.7987389810485291,-0.05709057595789222,47923200
23,0,5,0.9015796006028389,-0.08153865387604874,47923200
23,0,6,0.9618852343164569,-0.08501739599188714,47923200
23,1,2,0.45278527366131754,0.0637015836440518,47923200
23,1,3,0.6536343105725709,0.03696994116371424,47923200
23,1,4,0.7710217526669975,-0.008664701276813342,47923200
23,1,5,0.817752021918117,-0.011037665505715328,47923200
23,1,6,0.8944558428497285,-0.012452964310445904,47923200
24,0,2,0.4706940962436756,0.20010325317965588,47923200
24,0,3,0.6434838286908254,0.09170061030950803,47923200
24,0,4,0.6614346567825706,0.1186589837500329,47923200
24,0,5,0.8479816561670953,-0.006836311560236777,47923200
24,0,6,0.891033173384084,-0.03908799829592717,47923200
24,1,2,0.49016312808142626,0.16339641648113945,47923200
24,1,3,0.6362533460023709,0.10665467683686543,47923200
24,1,4,0.6904504758028303,0.08057515033120909,47923200
24,1,5,0.7730961850319595,0.02700916771370352,47923200
24,1,6,0.8001549932438174,0.04126174099902685,47923200
25,0,2,0.5636696466725032,0.1312164498554312,47923200
25,0,3,0.7988689687996182,-0.01728151862284413,47923200
25,0,4,0.7469481193945597,0.115469950146665,47923200
25,0,5,0.9449052209356765,-0.04755536225919432,47923200
25,0,6,1.0262972663763574,-0.10064035556166896,47923200
25,1,2,0.5597938590444116,0.18513075600511364,47923200
25,1,3,0.7185764502884664,0.05982920428292384,47923200
25,1,4,0.7722661318061145,0.0920546983707773,47923200
25,1,5,0.8777180503624088,0.00850395098368066,47923200
25,1,6,0.9263923396528385,0.004802364931711909,47923200
26,0,2,0.6459264178863098,0.2711256915037801,47923200
26,0,3,0.7983649620333788,0.16351976344133162,47923200
26,0,4,1.0325101232502025,-0.05005825716449571,47923200
26,0,5,1.1469348084222313,-0.1757297069536265,47923200
26,0,6,1.2119051140989174,-0.2223315539717354,47923200
26,1,2,0.4275137786285747,0.4705069394389599,47923200
26,1,3,0.6053748150492256,0.3415806656036112,47923200
26,1,4,0.8913415384547636,0.09743048500717473,47923200
26,1,5,1.0166863317143773,-0.04659432475527885,47923200
26,1,6,1.0813548669162927,-0.09061277396443618,47923200
27,0,2,0.5828727658681864,0.3520308373235946,47923200
27,0,3,0.7635496780475045,0.19841392614845713,47923200
27,0,4,1.0270669836900084,-0.039175406289389224,47923200
27,0,5,1.2103187129977873,-0.23074303610620395,47923200
27,0,6,1.276944168648515,-0.2843040189647711,47923200
27,1,2,0.42508992842034576,0.5031905334955517,47923200
27,1,3,0.5974609809103418,0.35391824627987806,47923200
27,1,4,0.8912821166974032,0.09877616762700464,47923200
27,1,5,1.0619306650461349,-0.08415400180911983,47923200
27,1,6,1.1213413391905906,-0.12936269707314718,47923200
28,0,2,0.47396336995747496,0.5114997968531526,47923200
28,0,3,0.9706579160382031,0.01858288308468543,47923200
28,0,4,1.0042899596242998,-0.03500382538047066,47923200
28,0,5,1.2377066839883344,-0.26661936475424075,47923200
28,0,6,1.3180919784772356,-0.3267884083509065,47923200
28,1,2,0.43135498857959376,0.5466456715678282,47923200
28,1,3,0.6976154883183521,0.2813336614882774,47923200
28,1,4,0.8789993074395052,0.08611284552195148,47923200
28,1,5,1.0946738373734777,-0.1312577430724098,47923200
28,1,6,1.150240667850961,-0.16297749216668136,47923200
29,0,2,0.6560377430851655,0.23691661248644513,47923200
29,0,3,1.0842340485071302,-0.10531040275719802,47923200
29,0,4,0.9234916440690085,0.0634203136052073,47923200
29,0,5,1.162424324048567,-0.1831614117186505,47923200
29,0,6,1.2416654442574457,-0.2505415056349735,47923200
29,1,2,0.554380486698473,0.35707227024415095,47923200
29,1,3,0.7881535806543525,0.17832716173731156,47923200
29,1,4,0.8473348957357849,0.13952059319120536,47923200
29,1,5,1.0678034034230808,-0.0886777105804231,47923200
29,1,6,1.107157062900007,-0.11868673312041615,47923200
