cell,family,density_target,rank,aggregate_output_relative_l2,worst_record_output_relative_l2
layer00_step00_capacity_control,fixed64,0.125,0,0.1698058309607769,1.883696321518544
layer00_step00_capacity_control,fixed64,0.125,4,0.012539764097344547,0.048506292242181344
layer00_step00_capacity_control,fixed64,0.125,8,0.006939889412737585,0.023958634890418596
layer00_step00_capacity_control,fixed64,0.125,16,0.00258322945342935,0.00952644054307206
layer00_step00_capacity_control,fixed64,0.125,32,0.0006280662396718227,0.0027056733005730482
layer00_step00_capacity_control,fixed64,0.25,0,0.09953625510313899,0.9826455317950938
layer00_step00_capacity_control,fixed64,0.25,4,0.004867322782283121,0.020075553686311632
layer00_step00_capacity_control,fixed64,0.25,8,0.0025913328601391864,0.01008835960323857
layer00_step00_capacity_control,fixed64,0.25,16,0.0009604706218638218,0.003961746881509087
layer00_step00_capacity_control,fixed64,0.25,32,0.00023145792029757373,0.0011431623310234435
layer00_step00_capacity_control,hierarchical32,0.125,0,0.1610272018718335,1.6200616015977292
layer00_step00_capacity_control,hierarchical32,0.125,4,0.011901860887014946,0.04639879603341993
layer00_step00_capacity_control,hierarchical32,0.125,8,0.006601526180255219,0.02478464348556437
layer00_step00_capacity_control,hierarchical32,0.125,16,0.0025038327462994516,0.010114716567775975
layer00_step00_capacity_control,hierarchical32,0.125,32,0.0006118000556153158,0.0027313760099457445
layer00_step00_capacity_control,hierarchical32,0.25,0,0.1031113487958494,1.0075047266799761
layer00_step00_capacity_control,hierarchical32,0.25,4,0.004959801855010154,0.018604061796083243
layer00_step00_capacity_control,hierarchical32,0.25,8,0.002561796487752926,0.010013143643566366
layer00_step00_capacity_control,hierarchical32,0.25,16,0.0009594490017846136,0.00397475672841757
layer00_step00_capacity_control,hierarchical32,0.25,32,0.00023574275474467143,0.0011294602116769337
layer00_step00_capacity_control,motion_warp8x8,0.125,0,0.5497680555601762,0.9976213074542903
layer00_step00_capacity_control,motion_warp8x8,0.125,4,0.2814895306242404,0.595773478202541
layer00_step00_capacity_control,motion_warp8x8,0.125,8,0.17398781030098648,0.412899818946255
layer00_step00_capacity_control,motion_warp8x8,0.125,16,0.07700188275936203,0.21240977914944814
layer00_step00_capacity_control,motion_warp8x8,0.125,32,0.016393213540237744,0.0517190693973678
layer00_step00_capacity_control,motion_warp8x8,0.25,0,0.23053947638435518,0.6743279164616055
layer00_step00_capacity_control,motion_warp8x8,0.25,4,0.11841746955353301,0.41294150407214925
layer00_step00_capacity_control,motion_warp8x8,0.25,8,0.08107108156477108,0.2965330516983222
layer00_step00_capacity_control,motion_warp8x8,0.25,16,0.040740273053415224,0.1567772889848754
layer00_step00_capacity_control,motion_warp8x8,0.25,32,0.009424258760087668,0.032835215558754606
layer00_step00_capacity_control,shifted32,0.125,0,0.16838053011441398,1.8660332130276645
layer00_step00_capacity_control,shifted32,0.125,4,0.011930547454405095,0.04458333591497544
layer00_step00_capacity_control,shifted32,0.125,8,0.006723126295814973,0.0248462469406724
layer00_step00_capacity_control,shifted32,0.125,16,0.0024840726260679674,0.009953975991393757
layer00_step00_capacity_control,shifted32,0.125,32,0.0006127418294673826,0.0027512407141284806
layer00_step00_capacity_control,shifted32,0.25,0,0.10620588840919817,0.9309949978136927
layer00_step00_capacity_control,shifted32,0.25,4,0.004999259280960381,0.02311456498790109
layer00_step00_capacity_control,shifted32,0.25,8,0.002560005662584486,0.010092303141936227
layer00_step00_capacity_control,shifted32,0.25,16,0.0009595316662340128,0.003957954198991821
layer00_step00_capacity_control,shifted32,0.25,32,0.00023893517397647295,0.001173777562473212
layer00_step00_capacity_control,shifted64,0.125,0,0.17894598616597227,1.9474392045931526
layer00_step00_capacity_control,shifted64,0.125,4,0.012439970339228498,0.04984439393691362
layer00_step00_capacity_control,shifted64,0.125,8,0.007025480908811226,0.024778065207876336
layer00_step00_capacity_control,shifted64,0.125,16,0.0025794995831855357,0.009419840220476136
layer00_step00_capacity_control,shifted64,0.125,32,0.0006302704382550016,0.0027674738183176627
layer00_step00_capacity_control,shifted64,0.25,0,0.10308703609917685,0.9946315561468698
layer00_step00_capacity_control,shifted64,0.25,4,0.0048876972359852035,0.020352572382628727
layer00_step00_capacity_control,shifted64,0.25,8,0.0026373800299675475,0.010100146346544742
layer00_step00_capacity_control,shifted64,0.25,16,0.0009679139104074207,0.003907405468563333
layer00_step00_capacity_control,shifted64,0.25,32,0.00023462574529534657,0.0011563073746820812
layer00_step00_capacity_control,support_family_oracle,0.125,0,0.17973734051614984,1.9474392045931526
layer00_step00_capacity_control,support_family_oracle,0.125,4,0.011694149144725142,0.04984439393691362
layer00_step00_capacity_control,support_family_oracle,0.125,8,0.006598704762323892,0.024778065207876336
layer00_step00_capacity_control,support_family_oracle,0.125,16,0.002418446316158184,0.009419840220476136
layer00_step00_capacity_control,support_family_oracle,0.125,32,0.0005939592340631483,0.0027674738183176627
layer00_step00_capacity_control,support_family_oracle,0.25,0,0.10296590476720338,0.9946315561468698
layer00_step00_capacity_control,support_family_oracle,0.25,4,0.0046798984760322414,0.020352572382628727
layer00_step00_capacity_control,support_family_oracle,0.25,8,0.0024817232138114272,0.010100146346544742
layer00_step00_capacity_control,support_family_oracle,0.25,16,0.0009185153229442955,0.003907405468563333
layer00_step00_capacity_control,support_family_oracle,0.25,32,0.00022772730091926362,0.0011563073746820812
layer00_step00_capacity_control,thw8x8,0.125,0,0.16775888290840948,1.71111831441674
layer00_step00_capacity_control,thw8x8,0.125,4,0.019320636570572987,0.06571992466137949
layer00_step00_capacity_control,thw8x8,0.125,8,0.011068785845074865,0.03166446152928755
layer00_step00_capacity_control,thw8x8,0.125,16,0.004381483157111447,0.012597634681141332
layer00_step00_capacity_control,thw8x8,0.125,32,0.0010844773588212391,0.003408349857401381
layer00_step00_capacity_control,thw8x8,0.25,0,0.10239855048326932,1.0013072595819543
layer00_step00_capacity_control,thw8x8,0.25,4,0.007857435591648995,0.028824944103050566
layer00_step00_capacity_control,thw8x8,0.25,8,0.004295167752780699,0.01447372677750134
layer00_step00_capacity_control,thw8x8,0.25,16,0.0015839266728891882,0.0058152741777944975
layer00_step00_capacity_control,thw8x8,0.25,32,0.00038155559055977513,0.0016215033921818808
layer14_step00_early,fixed64,0.125,0,0.2739766948805844,0.7194142645891698
layer14_step00_early,fixed64,0.125,4,0.08476280343322555,0.17476392686665926
layer14_step00_early,fixed64,0.125,8,0.05665686062922775,0.1232031109090013
layer14_step00_early,fixed64,0.125,16,0.032268838317832595,0.07413032989155285
layer14_step00_early,fixed64,0.125,32,0.013588829237656693,0.03393929449015713
layer14_step00_early,fixed64,0.25,0,0.18667704690915726,0.46465747168320676
layer14_step00_early,fixed64,0.25,4,0.05707148352714806,0.12781188352192868
layer14_step00_early,fixed64,0.25,8,0.037488784371120076,0.08529584416912118
layer14_step00_early,fixed64,0.25,16,0.02081215864109245,0.05109557534344714
layer14_step00_early,fixed64,0.25,32,0.008455203979326845,0.022912771312684932
layer14_step00_early,hierarchical32,0.125,0,0.2772973951245598,0.678745563470408
layer14_step00_early,hierarchical32,0.125,4,0.08812318020592261,0.1777768408446593
layer14_step00_early,hierarchical32,0.125,8,0.059081014887287675,0.1250377073567423
layer14_step00_early,hierarchical32,0.125,16,0.033639729774160965,0.07828710441546625
layer14_step00_early,hierarchical32,0.125,32,0.014242446441578734,0.03454395558264781
layer14_step00_early,hierarchical32,0.25,0,0.1858240365100959,0.4338845392551786
layer14_step00_early,hierarchical32,0.25,4,0.057764552073221925,0.12818386657586384
