family,density_target,cells,max_aggregate_output_relative_l2,max_worst_record_output_relative_l2,max_p95_record_output_relative_l2,mean_rank_aware_relative_improvement,max_rank_required_for_record_gate,max_execution_density,max_kernel_tile_multiplier,all_cells_pass
fixed64,0.125,3,0.03556339399652182,0.1243776978574962,0.06965235981357183,0.029141936991666336,60,0.1250305250305247,1.0,False
fixed64,0.25,3,0.020812110485331846,0.053121968369769824,0.04185591138320386,0.02527329302979492,51,0.2500610500610494,1.0,False
hierarchical32,0.125,3,0.03363966035387346,0.11015370035764756,0.06939950190360385,0.02016604126177379,59,0.1250305250305247,4.0,False
hierarchical32,0.25,3,0.021174012635451985,0.052802265591410415,0.04158140742777077,0.015300156687714972,48,0.2500610500610494,4.0,False
motion_warp8x8,0.125,3,0.08716201738305525,0.20087524199191722,0.16504134463460368,0.0,62,0.1250305250305247,1.0,False
motion_warp8x8,0.25,3,0.03761621615398335,0.11539117463852169,0.06279522918455605,0.0,57,0.2500610500610494,1.0,False
shifted32,0.125,3,0.033708730150862544,0.1122272612394789,0.07099300250118383,0.02037148434516044,60,0.1250305250305247,4.0,False
shifted32,0.25,3,0.021292053979652024,0.052396753021724925,0.04212322092438743,0.015521760111503267,49,0.2500610500610494,4.0,False
shifted64,0.125,3,0.035700626657348244,0.12541109407558668,0.0704889994921662,0.029391213599411267,61,0.1250305250305247,1.0,False
shifted64,0.25,3,0.020837818123159584,0.052312745687890475,0.04154010137458743,0.025781037616831894,51,0.2500610500610494,1.0,False
support_family_oracle,0.125,3,0.03263970735933831,0.11015370035764756,0.06939950190360385,0.027848947306384163,59,0.1250305250305247,3.7291666666666665,False
support_family_oracle,0.25,3,0.020436525144971275,0.05109547023597866,0.03994785223341532,0.02025055037018964,48,0.2500610500610494,3.9375,False
thw8x8,0.125,3,0.04916459986434294,0.16432815484901317,0.10370161232174471,0.031709569584971155,62,0.1250305250305247,1.0,False
thw8x8,0.25,3,0.02338324979824904,0.07402064093513552,0.05019575937276464,0.030070061564482307,54,0.2500610500610494,1.0,False
