run_id,step,block,branch,signal,control,requested_density,actual_density,lowpass_retained_energy,channels_sampled,temporal_normalized_difference,height_normalized_difference,width_normalized_difference
p00_seed20260723,0,0,0,ffn_input,original,0.125,0.1249999925494194,0.15283656120300293,32,0.982082724571228,0.9589767456054688,0.9629393815994263
p00_seed20260723,0,0,0,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12330351769924164,32,0.9970689415931702,1.001539707183838,1.0023717880249023
p00_seed20260723,0,0,0,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.26081645488739014,32,0.8781641125679016,0.7809911966323853,0.7944515943527222
p00_seed20260723,0,0,0,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.1275622546672821,32,1.0022003650665283,0.9991507530212402,0.9934781789779663
p00_seed20260723,0,0,0,ffn_output,original,0.125,0.1249999925494194,0.18322551250457764,32,0.9631152153015137,0.9250707626342773,0.9289382100105286
p00_seed20260723,0,0,0,ffn_output,token_shuffled,0.125,0.1249999925494194,0.12457263469696045,32,0.9981667399406433,1.0015321969985962,0.9938430786132812
p00_seed20260723,0,12,0,ffn_input,original,0.125,0.1249999925494194,0.3368457555770874,32,0.7531214356422424,0.7783278822898865,0.7777311205863953
p00_seed20260723,0,12,0,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12248850613832474,32,0.9961615204811096,1.0026516914367676,1.00082528591156
p00_seed20260723,0,12,0,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.3117172122001648,32,0.7671570777893066,0.810397207736969,0.8169925808906555
p00_seed20260723,0,12,0,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.12397956848144531,32,1.001792073249817,0.9963385462760925,1.0019608736038208
p00_seed20260723,0,12,0,ffn_output,original,0.125,0.1249999925494194,0.27833884954452515,32,0.7881153225898743,0.839932382106781,0.8413421511650085
p00_seed20260723,0,12,0,ffn_output,token_shuffled,0.125,0.1249999925494194,0.12761268019676208,32,1.000016450881958,1.0001213550567627,0.9999112486839294
p00_seed20260723,0,24,0,ffn_input,original,0.125,0.1249999925494194,0.380488783121109,32,0.7601944208145142,0.6998874545097351,0.6974173188209534
p00_seed20260723,0,24,0,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12441503256559372,32,1.0000466108322144,0.998755156993866,1.0009667873382568
p00_seed20260723,0,24,0,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.39502063393592834,32,0.6824151873588562,0.6657075881958008,0.6559670567512512
p00_seed20260723,0,24,0,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.1216406300663948,32,1.0071593523025513,1.0021644830703735,1.0066888332366943
p00_seed20260723,0,24,0,ffn_output,original,0.125,0.1249999925494194,0.3492056727409363,32,0.7226840853691101,0.7616918087005615,0.7454100251197815
p00_seed20260723,0,24,0,ffn_output,token_shuffled,0.125,0.1249999925494194,0.12432068586349487,32,1.0001355409622192,1.0129929780960083,0.9964170455932617
p00_seed20260723,0,29,0,ffn_input,original,0.125,0.1249999925494194,0.45418286323547363,32,0.8766375184059143,0.3010440170764923,0.2904953360557556
p00_seed20260723,0,29,0,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12373095005750656,32,1.0033056735992432,1.003631353378296,0.9962477087974548
p00_seed20260723,0,29,0,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.6252624988555908,32,0.49940362572669983,0.1690482199192047,0.15201346576213837
p00_seed20260723,0,29,0,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.12640182673931122,32,1.0126632452011108,0.9937401413917542,1.0042483806610107
p00_seed20260723,0,29,0,ffn_output,original,0.125,0.1249999925494194,0.681259274482727,32,0.5709614157676697,0.08432082831859589,0.08271897584199905
p00_seed20260723,0,29,0,ffn_output,token_shuffled,0.125,0.1249999925494194,0.1267234981060028,32,1.0085707902908325,1.0080190896987915,0.9837641716003418
p00_seed20260723,0,0,1,ffn_input,original,0.125,0.1249999925494194,0.1526266485452652,32,0.9817922115325928,0.9591078162193298,0.9631721377372742
p00_seed20260723,0,0,1,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12387866526842117,32,0.9990430474281311,0.9982061982154846,1.0018200874328613
p00_seed20260723,0,0,1,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.2659892439842224,32,0.8706405758857727,0.7733706831932068,0.7870410084724426
p00_seed20260723,0,0,1,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.12395412474870682,32,0.9974994659423828,0.9990501403808594,1.0017908811569214
p00_seed20260723,0,0,1,ffn_output,original,0.125,0.1249999925494194,0.17754782736301422,32,0.9674329161643982,0.9318791627883911,0.93570876121521
p00_seed20260723,0,0,1,ffn_output,token_shuffled,0.125,0.1249999925494194,0.12337791919708252,32,1.0018103122711182,1.0047714710235596,1.0015558004379272
p00_seed20260723,0,12,1,ffn_input,original,0.125,0.1249999925494194,0.3317449390888214,32,0.7597543001174927,0.7593315839767456,0.7784891128540039
p00_seed20260723,0,12,1,ffn_input,token_shuffled,0.125,0.1249999925494194,0.12385503202676773,32,1.0088609457015991,1.0021593570709229,1.0043871402740479
p00_seed20260723,0,12,1,ffn_hidden_post_gelu,original,0.125,0.1249999925494194,0.30445024371147156,32,0.7843252420425415,0.8099797964096069,0.8196800351142883
p00_seed20260723,0,12,1,ffn_hidden_post_gelu,token_shuffled,0.125,0.1249999925494194,0.12369684875011444,32,0.9997166395187378,0.9982326626777649,1.0078868865966797
p00_seed20260723,0,12,1,ffn_output,original,0.125,0.1249999925494194,0.2888087332248688,32,0.7807238101959229,0.8085748553276062,0.8174389004707336
p00_seed20260723,0,12,1,ffn_output,token_shuffled,0.125,0.1249999925494194,0.12181510776281357,32,0.9995677471160889,0.9982916116714478,1.0003374814987183
