block,target_step,horizon,minimum_passing_rank
20,4,1,none
20,4,2,none
20,4,3,none
20,6,1,none
20,6,2,none
20,6,3,none
21,4,1,none
21,4,2,none
21,4,3,none
21,6,1,none
21,6,2,none
21,6,3,none
22,4,1,none
22,4,2,none
22,4,3,none
22,6,1,none
22,6,2,none
22,6,3,none
23,4,1,none
23,4,2,none
23,4,3,none
23,6,1,none
23,6,2,none
23,6,3,none
24,4,1,none
24,4,2,none
24,4,3,none
24,6,1,none
24,6,2,none
24,6,3,none
25,4,1,none
25,4,2,none
25,4,3,none
25,6,1,none
25,6,2,none
25,6,3,none
26,4,1,none
26,4,2,none
26,4,3,none
26,6,1,none
26,6,2,none
26,6,3,none
27,4,1,none
27,4,2,none
27,4,3,none
27,6,1,none
27,6,2,none
27,6,3,none
28,4,1,none
28,4,2,none
28,4,3,none
28,6,1,none
28,6,2,none
28,6,3,none
29,4,1,none
29,4,2,none
29,4,3,none
29,6,1,none
29,6,2,none
29,6,3,none
