rank,aggregate_output_relative_l2,worst_output_relative_l2,aggregate_residual_relative_l2,mean_defect_remaining_energy,passing_cells,total_cells,maximum_render_to_exact_macs,maximum_base_plus_render_to_exact_macs
0,0.429571297069615,3.920242156751201,0.9321222262182922,1.0,0,60,0.0,0.0003025413473174667
8,0.07454826891548405,0.15278932744068283,0.1617615023541945,0.3152115499350062,0,60,0.0004033884630899556,0.0007059298104074224
16,0.06540518866513693,0.13503610113470882,0.141922028963902,0.2538382780018612,0,60,0.0008067769261799112,0.001109318273497378
32,0.0567844539093788,0.12424176628078337,0.12321598755240507,0.1974945403680445,0,60,0.0016135538523598225,0.0019160951996772893
64,0.04832649430568533,0.11092767241000043,0.10486315022635459,0.1458933508866648,0,60,0.003227107704719645,0.0035296490520371118
96,0.04345011990871813,0.10209707458322045,0.09428195686035944,0.11897955844083898,0,60,0.004840661557079467,0.0051432029043969344
