rank,block,target_step,horizon,aggregate_output_relative_l2,worst_output_relative_l2,aggregate_residual_relative_l2,mean_defect_remaining_energy,maximum_render_to_exact_macs,sample_count,row_count,quality_pass,cost_pass,cell_pass
0,20,4,1,0.12749126012977946,0.1593894674617801,0.42019583898523327,1.0,0.0,4,8,False,True,False
0,20,4,2,0.17479165329562002,0.19427000978606215,0.5760922382397361,1.0,0.0,4,8,False,True,False
0,20,4,3,0.29231377763189625,0.3535304615433302,0.9634310062818737,1.0,0.0,4,8,False,True,False
0,20,6,1,0.11248611262520526,0.1402910863346074,0.33419493947679324,1.0,0.0,4,8,False,True,False
0,20,6,2,0.15739381611334102,0.18978418611505724,0.4676152070903121,1.0,0.0,4,8,False,True,False
0,20,6,3,0.19632745184426117,0.21814837596071013,0.5832865884994946,1.0,0.0,4,8,False,True,False
0,21,4,1,0.34339514070605737,0.40174587395929245,0.5124743325938823,1.0,0.0,4,8,False,True,False
0,21,4,2,0.45605255374262094,0.49322535019657643,0.6806014424853003,1.0,0.0,4,8,False,True,False
0,21,4,3,0.8014238734369931,1.0249350729330948,1.19602497525144,1.0,0.0,4,8,False,True,False
0,21,6,1,0.27722321807877764,0.334503664227167,0.3896311248708708,1.0,0.0,4,8,False,True,False
0,21,6,2,0.40108502600489093,0.44079760265950413,0.5637161668282052,1.0,0.0,4,8,False,True,False
0,21,6,3,0.4878338947321043,0.5066190957637291,0.6856397904615431,1.0,0.0,4,8,False,True,False
0,22,4,1,0.10595728093728204,0.12140054484749677,0.5476637479534835,1.0,0.0,4,8,False,True,False
0,22,4,2,0.14329829436201402,0.1606839545065624,0.74066907220935,1.0,0.0,4,8,False,True,False
0,22,4,3,0.17457070592447185,0.19483309686422678,0.9023074794272281,1.0,0.0,4,8,False,True,False
0,22,6,1,0.0996790324288785,0.12571867639158046,0.4316700235152987,1.0,0.0,4,8,False,True,False
0,22,6,2,0.13912964346127296,0.1571965366688785,0.6025148418997204,1.0,0.0,4,8,False,True,False
0,22,6,3,0.17483277132586325,0.19516325057044162,0.7571308094641519,1.0,0.0,4,8,False,True,False
0,23,4,1,0.11064064655743013,0.13187803549883928,0.5681976327440819,1.0,0.0,4,8,False,True,False
0,23,4,2,0.14564037597907906,0.17503218561960843,0.747939563244657,1.0,0.0,4,8,False,True,False
0,23,4,3,0.22130856970166396,0.34768704426220653,1.136535345038794,1.0,0.0,4,8,False,True,False
0,23,6,1,0.11788728402451627,0.16964551050350737,0.5432527913204586,1.0,0.0,4,8,False,True,False
0,23,6,2,0.15585908701106402,0.18528603589330842,0.718235938439385,1.0,0.0,4,8,False,True,False
0,23,6,3,0.1842362425752407,0.21193052226575107,0.8490046561813928,1.0,0.0,4,8,False,True,False
0,24,4,1,0.12393261771435671,0.14039719504401302,0.26148187000931467,1.0,0.0,4,8,False,True,False
0,24,4,2,0.1705288519938457,0.1989397046996351,0.3597939261854789,1.0,0.0,4,8,False,True,False
0,24,4,3,0.2193139728121054,0.23691321515304137,0.4627242511915257,1.0,0.0,4,8,False,True,False
0,24,6,1,0.11706589487427492,0.15408996876610448,0.2577440922614727,1.0,0.0,4,8,False,True,False
0,24,6,2,0.15383797602724975,0.18128518518660902,0.3387052183650022,1.0,0.0,4,8,False,True,False
0,24,6,3,0.1845196780907873,0.21464679851621862,0.4062571510256325,1.0,0.0,4,8,False,True,False
0,25,4,1,0.08781042597317068,0.12687079463370626,0.1917374819931765,1.0,0.0,4,8,False,True,False
0,25,4,2,0.1256904356445234,0.15939146701294707,0.27444995709814257,1.0,0.0,4,8,False,True,False
0,25,4,3,0.2374887567939658,0.39554497722405896,0.5185659416260852,1.0,0.0,4,8,False,True,False
0,25,6,1,0.08477121141956943,0.11491544214933126,0.1709506991437265,1.0,0.0,4,8,False,True,False
0,25,6,2,0.11455458468417133,0.1415806766463771,0.23101222707497532,1.0,0.0,4,8,False,True,False
0,25,6,3,0.14281578561299604,0.16060231444222514,0.2880041229853907,1.0,0.0,4,8,False,True,False
0,26,4,1,0.08879765014623786,0.1426643847972726,0.30678689294252554,1.0,0.0,4,8,False,True,False
0,26,4,2,0.1288352439093847,0.19795850171754392,0.44511272669220675,1.0,0.0,4,8,False,True,False
0,26,4,3,0.4574387922911511,0.8775065582779976,1.5804047243059758,1.0,0.0,4,8,False,True,False
0,26,6,1,0.08347597657754394,0.12329296245057764,0.2759002086139643,1.0,0.0,4,8,False,True,False
0,26,6,2,0.11720031122512622,0.16042143624010557,0.3873640254642141,1.0,0.0,4,8,False,True,False
0,26,6,3,0.15372507778115263,0.18620285362343578,0.5080836759018817,1.0,0.0,4,8,False,True,False
0,27,4,1,0.08853275475956258,0.1439097484608322,0.25206532329826176,1.0,0.0,4,8,False,True,False
0,27,4,2,0.13485494576399173,0.2168238793732505,0.38395117823551705,1.0,0.0,4,8,False,True,False
0,27,4,3,0.9480288067699462,2.290095050942078,2.69917262061385,1.0,0.0,4,8,False,True,False
0,27,6,1,0.07820484248101776,0.11409337665251995,0.2170969703773884,1.0,0.0,4,8,False,True,False
0,27,6,2,0.11218257805064351,0.15018898827239907,0.31141930667312645,1.0,0.0,4,8,False,True,False
0,27,6,3,0.1527683243418813,0.17780869741976196,0.4240855084172411,1.0,0.0,4,8,False,True,False
0,28,4,1,0.0941132217024696,0.14611551959692576,0.2555686681018883,1.0,0.0,4,8,False,True,False
0,28,4,2,0.15747417530489424,0.19429957377389703,0.4276281750331264,1.0,0.0,4,8,False,True,False
0,28,4,3,0.571815135019243,0.7896356108621976,1.5527896061126403,1.0,0.0,4,8,False,True,False
0,28,6,1,0.08088506648963836,0.1198723771226829,0.21748824067457861,1.0,0.0,4,8,False,True,False
0,28,6,2,0.12043597587133381,0.16228676539173056,0.3238349134513953,1.0,0.0,4,8,False,True,False
0,28,6,3,0.17714598525462463,0.2326564363116017,0.476319923412916,1.0,0.0,4,8,False,True,False
0,29,4,1,0.05754815470619,0.08543778578319951,0.10071148968714716,1.0,0.0,4,8,False,True,False
0,29,4,2,0.09911186206040735,0.15392072121496092,0.17344958017736428,1.0,0.0,4,8,False,True,False
0,29,4,3,1.5099555184780062,3.920242156751201,2.6424803784523734,1.0,0.0,4,8,False,True,False
0,29,6,1,0.04799796140552548,0.06909405514732266,0.08368611694600137,1.0,0.0,4,8,False,True,False
0,29,6,2,0.07221459556084948,0.09428537530541307,0.125908661791993,1.0,0.0,4,8,False,True,False
0,29,6,3,0.10568283971643141,0.11778844746693676,0.1842617108041731,1.0,0.0,4,8,False,True,False
8,20,4,1,0.08419157386696487,0.10148004193883421,0.27748528785820026,0.43595143559849797,0.0004033884630899556,4,8,False,True,False
8,20,4,2,0.10533601722512827,0.11532924306995015,0.3471748266368973,0.3628666037024231,0.0004033884630899556,4,8,False,True,False
8,20,4,3,0.12054305083853424,0.12878893721150558,0.39729537796847203,0.17391351489265022,0.0004033884630899556,4,8,False,True,False
8,20,6,1,0.08534460942664156,0.10992898538759442,0.25355784742103393,0.5765409947895211,0.0004033884630899556,4,8,False,True,False
8,20,6,2,0.11013858935425477,0.13344496663504174,0.32722047499272267,0.490344713594755,0.0004033884630899556,4,8,False,True,False
8,20,6,3,0.1277770638434874,0.1437790413922795,0.37962417867508463,0.42353123915049784,0.0004033884630899556,4,8,False,True,False
8,21,4,1,0.07037030209201577,0.08176810476672791,0.10501888152781169,0.042257281950272896,0.0004033884630899556,4,8,False,True,False
8,21,4,2,0.08684260142403406,0.09536557612594775,0.12960172969830655,0.03611518587216958,0.0004033884630899556,4,8,False,True,False
8,21,4,3,0.09664741416486736,0.10501552550035201,0.1442341873831625,0.01586857830339129,0.0004033884630899556,4,8,False,True,False
8,21,6,1,0.07669477452542336,0.09787724597442754,0.10779281575746966,0.0757381509164896,0.0004033884630899556,4,8,False,True,False
8,21,6,2,0.09755250309178483,0.11315788551372363,0.13710789369316168,0.05893508579797812,0.0004033884630899556,4,8,False,True,False
8,21,6,3,0.1109698955344214,0.1209014994591696,0.15596574314202288,0.05222782097580303,0.0004033884630899556,4,8,False,True,False
8,22,4,1,0.06253061223809148,0.07466959177641316,0.32320336230985197,0.34596485048696735,0.0004033884630899556,4,8,False,True,False
8,22,4,2,0.07575311039154649,0.08144427475788835,0.39154678177071517,0.2804176705436303,0.0004033884630899556,4,8,False,True,False
8,22,4,3,0.0851707726598226,0.09075880624119327,0.4402240616063231,0.23847815690768434,0.0004033884630899556,4,8,False,True,False
8,22,6,1,0.06793287756691063,0.08497804494611107,0.2941901234614558,0.45156499246704535,0.0004033884630899556,4,8,False,True,False
8,22,6,2,0.08456923422851174,0.10057510802733026,0.36623553056797264,0.3684152381083391,0.0004033884630899556,4,8,False,True,False
8,22,6,3,0.09468413926401074,0.10585042045217306,0.41003913889095917,0.2962261522761795,0.0004033884630899556,4,8,False,True,False
