layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
0,1,history_centered,180,0.9178341930767107,0.040180911941021615,0.7365258412973706,0.1613369688990082
0,1,raw,180,0.778531246752748,0.16604836795687336,0.778531246752748,0.16604836795687336
0,16,history_centered,180,0.5683807668536816,0.16712400279529321,0.480442927996101,0.17490570443257694
0,16,raw,180,0.4870991984236426,0.1749044437631009,0.4870991984236426,0.1749044437631009
0,2,history_centered,180,0.8698586314281349,0.0475557200124217,0.6998676694096984,0.1597894104626739
0,2,raw,180,0.7256913009354595,0.15945460918361704,0.7256913009354595,0.15945460918361704
0,32,history_centered,180,0.4445202109420493,0.14264813141290106,0.3769131388831563,0.14951475050392424
0,32,raw,180,0.3800576399676975,0.1489570532497434,0.3800576399676975,0.1489570532497434
0,4,history_centered,180,0.7964441938781942,0.06760752301527581,0.6455477582585218,0.16168871398096415
0,4,raw,180,0.663958497812937,0.15853810973117602,0.663958497812937,0.15853810973117602
0,64,history_centered,180,0.31898434001009135,0.11280694934997272,0.271223224862888,0.11852762590996317
0,64,raw,180,0.2720850529790465,0.11675982691401109,0.2720850529790465,0.11675982691401109
0,8,history_centered,180,0.6820828959154329,0.15627316380788042,0.5695957499797244,0.18301622972008696
0,8,raw,180,0.5837793828976933,0.1739963417646142,0.5837793828976933,0.1739963417646142
15,1,history_centered,180,0.4785415533401408,0.07969175826645433,0.4650357193464403,0.07921317785302091
15,1,raw,180,0.5227162161208829,0.058883984330829614,0.5227162161208829,0.058883984330829614
15,16,history_centered,180,0.3210515009361291,0.09003644562139763,0.31231223324208984,0.08873426555782427
15,16,raw,180,0.31462377597679636,0.08833713281368977,0.31462377597679636,0.08833713281368977
15,2,history_centered,180,0.4430793488026203,0.08877317538894748,0.43070124617330047,0.08791817379069675
15,2,raw,180,0.4587035567912772,0.0793481523132483,0.4587035567912772,0.0793481523132483
15,32,history_centered,180,0.27617961203408287,0.08668890410209448,0.2687415106062337,0.0854092925879935
15,32,raw,180,0.26982688007315664,0.08505171799889467,0.26982688007315664,0.08505171799889467
15,4,history_centered,180,0.40546472654630566,0.08974851789527531,0.39421606461791314,0.08874447083885523
15,4,raw,180,0.40588962186726535,0.0881667141697478,0.40588962186726535,0.0881667141697478
15,64,history_centered,180,0.2323439713478499,0.08435820688031824,0.22616563396292833,0.08308401703910567
15,64,raw,180,0.22656108567027503,0.08256115818951829,0.22656108567027503,0.08256115818951829
15,8,history_centered,180,0.365746940678695,0.09097685757019881,0.35568802248036113,0.08977390812219474
15,8,raw,180,0.3609994718861804,0.08988520164105912,0.3609994718861804,0.08988520164105912
22,1,history_centered,180,0.7163826951138488,0.053458781056462915,0.5947746680164822,0.08187901697560818
22,1,raw,180,0.64101782426281,0.08202838094623793,0.64101782426281,0.08202838094623793
22,16,history_centered,180,0.3645200504205959,0.09638643251587856,0.30623499321136305,0.09425570962409663
