category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
camera_motion,0,1,history_centered,30,0.9478481832877207,0.011747580596934322,0.880125951595461,0.026092953472088846
camera_motion,0,1,raw,30,0.9148539419931528,0.02783183790695674,0.9148539419931528,0.02783183790695674
camera_motion,0,16,history_centered,30,0.7182812698890743,0.018752827880139013,0.667204222356596,0.03073219920357192
camera_motion,0,16,raw,30,0.6751419694682037,0.030749584492657214,0.6751419694682037,0.030749584492657214
camera_motion,0,2,history_centered,30,0.920078784571303,0.011886371243017918,0.8544520531258677,0.02896835656641155
camera_motion,0,2,raw,30,0.8747088188059366,0.030105447603368217,0.8747088188059366,0.030105447603368217
camera_motion,0,32,history_centered,30,0.5959894230439657,0.028598794420070985,0.5537872206246773,0.036649696617360034
camera_motion,0,32,raw,30,0.5591166516844368,0.03644492926137348,0.5591166516844368,0.03644492926137348
camera_motion,0,4,history_centered,30,0.8767736436410752,0.013926537842907866,0.8143149420722976,0.03075127656893058
camera_motion,0,4,raw,30,0.8298103481608545,0.03237840541678342,0.8298103481608545,0.03237840541678342
camera_motion,0,64,history_centered,30,0.44504047966333465,0.037376141782845054,0.4138212974313772,0.04239394288828886
camera_motion,0,64,raw,30,0.416833018984188,0.04223798113992003,0.416833018984188,0.04223798113992003
camera_motion,0,8,history_centered,30,0.8096822884131384,0.01422476118037142,0.7520216879500017,0.029444914002129518
camera_motion,0,8,raw,30,0.7639592699533825,0.03129768091959674,0.7639592699533825,0.03129768091959674
camera_motion,15,1,history_centered,30,0.5380564799507639,0.026293601974948556,0.5232522255766381,0.02608857320054842
camera_motion,15,1,raw,30,0.5712049859044588,0.023439808736363147,0.5712049859044588,0.023439808736363147
camera_motion,15,16,history_centered,30,0.35978940113613395,0.046979370365995546,0.34994977010724443,0.046395055428294175
camera_motion,15,16,raw,30,0.35324585636552097,0.04606961419554752,0.35324585636552097,0.04606961419554752
camera_motion,15,2,history_centered,30,0.5081000082390531,0.031766390724792516,0.4941337225964837,0.03151187719766202
camera_motion,15,2,raw,30,0.5184840292067963,0.02660320344333197,0.5184840292067963,0.02660320344333197
camera_motion,15,32,history_centered,30,0.3048605162817718,0.04838395325267346,0.2965415000419439,0.04774898394198981
camera_motion,15,32,raw,30,0.29809979090699573,0.04751192002450102,0.29809979090699573,0.04751192002450102
camera_motion,15,4,history_centered,30,0.465186516531055,0.03709827814451456,0.452415290355361,0.03674262803011059
camera_motion,15,4,raw,30,0.46732042845519917,0.03576730040817005,0.46732042845519917,0.03576730040817005
camera_motion,15,64,history_centered,30,0.2509832119629974,0.04892719793349466,0.24415102295440533,0.048254665348854184
camera_motion,15,64,raw,30,0.24498362776969457,0.04808853397714508,0.24498362776969457,0.04808853397714508
camera_motion,15,8,history_centered,30,0.41595888165178596,0.041391369671206685,0.4045572927139644,0.04096053729618016
camera_motion,15,8,raw,30,0.4123007560198346,0.039383349030157895,0.4123007560198346,0.039383349030157895
camera_motion,22,1,history_centered,30,0.7831109182230244,0.029227219875156217,0.6877882849630191,0.03200228030407965
camera_motion,22,1,raw,30,0.7414957166626734,0.03189915531546885,0.7414957166626734,0.03189915531546885
camera_motion,22,16,history_centered,30,0.42309341314318727,0.05049251157502287,0.3718255868352406,0.047865916215620606
camera_motion,22,16,raw,30,0.3756909900049248,0.04711639769791352,0.3756909900049248,0.04711639769791352
camera_motion,22,2,history_centered,30,0.6305425504896075,0.03084814681269178,0.553838136037568,0.032025173380494806
camera_motion,22,2,raw,30,0.6190144726491609,0.03123802245829847,0.6190144726491609,0.03123802245829847
camera_motion,22,32,history_centered,30,0.36482408945057826,0.05462316527131863,0.3207035914258769,0.05128840046472643
camera_motion,22,32,raw,30,0.3223403784343775,0.0510488471151486,0.3223403784343775,0.0510488471151486
camera_motion,22,4,history_centered,30,0.5622413927667479,0.03783542522652933,0.49392014679699475,0.037707390224964756
camera_motion,22,4,raw,30,0.5117012919721076,0.03361861386384365,0.5117012919721076,0.03361861386384365
