variant,label,ssim_mean,ssim_min,speedup_geomean,low_rank_values,sparse_values
fp8_middle1,FP8 middle-1,0.9472127024642132,0.92918214019911,0.997497867066647,0,0
sparse,Sparse only,0.9302858481551675,0.8941809249735344,1.0178983273031086,0,9093120
lr8,Rank-8 only,0.9356256206868475,0.9036382278428678,0.9740238008948463,5038080,0
lr8_sparse,Rank-8 + sparse,0.930736561415076,0.8983662151316217,0.9893875608276219,5038080,4362240
lr12sparse,Rank-12 + sparse,0.9453608229725374,0.9245259633203284,1.0018151576882866,7557120,1105920
lr16,Rank-16 only,0.9482110866091079,0.9300488708675064,0.9826757720908574,10076160,0
