implementation,method,label,speedup,ssim
Eager cast,fp8,FP8,0.9036297218698996,0.6720020832738518
Eager cast,hybrid,Hybrid,0.8485721034201391,0.7089710222000216
Eager cast,hybrid_refresh4,Refresh-4,0.907270300855434,0.8366581202349299
Eager cast,hybrid_refresh4_cache008,Refresh-4 + cache,0.9327943808007924,0.8300607496412207
Triton fused,fp8,FP8,1.0279721378999855,0.6768883808339677
Triton fused,hybrid,Hybrid,0.9617377870822764,0.6643870214063962
Triton fused,hybrid_refresh4,Refresh-4,0.9573616949028092,0.8591630899102078
Triton fused,hybrid_refresh4_cache008,Refresh-4 + cache,1.013215862144387,0.8460533263346952
