method,label,source,color,ssim_mean,ssim_ci_low,ssim_ci_high,speedup_geomean,speedup_ci_low,speedup_ci_high
dense_cache008,Dense + cache .08,rank16,#56B4E9,0.95512459508911,0.9449011871265043,0.9647060663554015,1.0517267487568953,1.0334395210181948,1.0790266060263154
fp8_middle1,FP8 middle-1,rank16,#0072B2,0.9541840204653578,0.9434719239962128,0.964315927227236,0.9971672389940646,0.9854892292480962,1.0078415571701926
hybrid_middle1,Rank-8 + sparse,rank8_sparse,#009E73,0.9482709448965427,0.9315999754359249,0.9623393023722263,0.9899152551641296,0.9812018133593359,0.9972299457809141
hybrid_middle1,Rank-16,rank16,#D55E00,0.9542762352098817,0.9444005153847345,0.9640312018732177,0.9943251106833045,0.9814278413518224,1.0054637066641063
hybrid_middle1_cache008,Rank-8 + sparse + cache,rank8_sparse,#CC79A7,0.9431248970768078,0.9255511668727547,0.9581202499963422,1.0256915972853673,1.0175081958695629,1.0330375982236173
hybrid_middle1_cache008,Rank-16 + cache,rank16,#E69F00,0.9482967504255293,0.9353101529496132,0.9602376707668931,1.0352289253110305,1.0210890834007742,1.0488951725093894
