method,frame_index,channel_mae,channel_rmse,channel_abs_p95,channel_abs_max
FP8 middle-1,0,4.272559642791748,9.163670539855957,14.0,248.0
FP8 middle-1,8,4.047841548919678,7.723206043243408,13.0,224.0
FP8 middle-1,16,5.8334808349609375,13.158801078796387,20.0,247.0
Hybrid middle-1,0,5.236184597015381,9.86667537689209,19.0,217.0
Hybrid middle-1,8,5.091642379760742,9.01729679107666,18.0,205.0
Hybrid middle-1,16,8.761066436767578,19.434432983398438,32.0,255.0
Hybrid + cache .08,0,5.296125411987305,10.144725799560547,19.0,244.0
Hybrid + cache .08,8,5.1603851318359375,9.53473949432373,18.0,212.0
Hybrid + cache .08,16,9.90178394317627,21.901248931884766,36.0,255.0
