family,method,speedup,ssim,psnr_db
Dense reference,dense,1.0,1.0,inf
Attention q/o,dense_cache008,1.0323677914585203,0.9680570954439052,33.74773673706285
Attention q/o,fp8,0.9509533661608656,0.6448147370201353,18.852521497352644
Attention q/o,hybrid,0.9236237811679344,0.6407982469116978,18.762155584270797
Attention q/o,hybrid_cache008,0.964345943100778,0.643708287004844,18.84954588529203
FFN,dense_cache008,1.025351378321341,0.9680570954439052,33.74773673706285
FFN,fp8,1.0279721378999855,0.6768883808339677,19.186415012625684
FFN,hybrid,0.9617377870822764,0.6643870214063962,18.89523151879375
FFN,hybrid_refresh4,0.9573616949028092,0.8591630899102078,24.072079861243367
FFN,hybrid_refresh4_cache008,1.013215862144387,0.8460533263346952,23.60802138822837
