method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean,pareto
dense,reference,,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,inf,0.0,0.0,0.0,0.0,0.0,True
c_s16-16_b21-23,single_cell,C,1,1,1.0041365224424674,1.0041365224424674,1.0041365224424674,1.0041365224424674,0.9722589347131754,0.9722589347131754,0.9722589347131754,35.33768963560119,0.0,6.0,6.0,0.0,6.0,True
c_s15-15_b27-29,single_cell,C,1,1,1.0067321190237397,1.0067321190237397,1.0067321190237397,1.0067321190237397,0.9721645337621645,0.9721645337621645,0.9721645337621645,35.22976171913346,0.0,6.0,6.0,0.0,6.0,True
c_s17-17_b00-02,single_cell,C,1,1,1.0070904618885974,1.0070904618885974,1.0070904618885974,1.0070904618885974,0.9686012497759061,0.9686012497759061,0.9686012497759061,34.537705688755494,0.0,6.0,6.0,0.0,6.0,True
all_c,global_cost_anchor,C,60,2,3.6276398189988837,3.628038370813335,3.574263249171218,3.6818134924554515,0.20266811695779158,0.20266811695779158,0.20266811695779158,9.899736052799229,0.0,1200.0,1140.0,60.0,60.0,True
