action,step_start,step_end,block_start,block_end,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,8,8,0,2,1,0.9996048388380357,0.9426428978430771,0.9426428978430771,0.05735710215692291,0.0,6.0,6.0,6.0
C,8,8,3,5,1,0.9999729555533037,0.9620104818574989,0.9620104818574989,0.037989518142501066,0.0,6.0,6.0,6.0
C,8,8,6,8,1,1.001701813699421,0.9361922777098867,0.9361922777098867,0.06380772229011333,0.0,6.0,6.0,6.0
C,8,8,9,11,1,0.9930140918991975,0.9372916474732655,0.9372916474732655,0.06270835252673446,0.0,6.0,6.0,6.0
C,8,8,12,14,1,0.9996888618622808,0.9397058261205934,0.9397058261205934,0.06029417387940661,0.0,6.0,6.0,6.0
C,8,8,15,17,1,0.9904857337371894,0.9489161915920794,0.9489161915920794,0.051083808407920595,0.0,6.0,6.0,6.0
C,8,8,18,20,1,0.9964589279839097,0.9471757048184064,0.9471757048184064,0.052824295181593595,0.0,6.0,6.0,6.0
C,8,8,21,23,1,0.9984376025074838,0.9473727118406423,0.9473727118406423,0.05262728815935769,0.0,6.0,6.0,6.0
C,8,8,24,26,1,0.992392620031597,0.9567654685137759,0.9567654685137759,0.04323453148622414,0.0,6.0,6.0,6.0
C,8,8,27,29,1,0.9964556254281222,0.9629672692222191,0.9629672692222191,0.03703273077778091,0.0,6.0,6.0,6.0
C,9,9,0,2,1,1.0014945467558478,0.9627260443807479,0.9627260443807479,0.037273955619252064,0.0,6.0,6.0,6.0
C,9,9,3,5,1,0.9986048945671125,0.9656571701967768,0.9656571701967768,0.03434282980322323,0.0,6.0,6.0,6.0
C,9,9,6,8,1,0.9994931560357063,0.9643947610684452,0.9643947610684452,0.03560523893155476,0.0,6.0,6.0,6.0
C,9,9,9,11,1,0.9953402572167689,0.9569890628444725,0.9569890628444725,0.04301093715552751,0.0,6.0,6.0,6.0
C,9,9,12,14,1,1.0008797426618152,0.9591948562751651,0.9591948562751651,0.0408051437248349,0.0,6.0,6.0,6.0
C,9,9,15,17,1,1.0016553389868876,0.9475096650822382,0.9475096650822382,0.05249033491776178,0.0,6.0,6.0,6.0
C,9,9,18,20,1,1.0024237858472593,0.9487853572666981,0.9487853572666981,0.051214642733301896,0.0,6.0,6.0,6.0
C,9,9,21,23,1,0.9851388654606831,0.9543333714204515,0.9543333714204515,0.04566662857954851,0.0,6.0,6.0,6.0
C,9,9,24,26,1,0.9982747712024597,0.958271609904628,0.958271609904628,0.04172839009537199,0.0,6.0,6.0,6.0
