model,role,control,metric,mean,std,min,max,count
llama2-7b,contract,matched_gaussian,row_neighbor_cosine,0.0029828294913702754,0.015562642616268588,-0.033615362510554025,0.044548662441742604,120
llama2-7b,contract,original,row_neighbor_cosine,0.0024768778430266434,0.01598772800259427,-0.0401495101728166,0.042357025902543706,120
llama2-7b,contract,rowcol_shuffled,row_neighbor_cosine,-0.0013287542181595316,0.015956604753657365,-0.04608572600179196,0.041599382018613504,120
llama2-7b,contract,smooth_positive_control,row_neighbor_cosine,0.9801134280721826,0.0100846626158971,0.9449304877508503,0.9983047855647227,120
llama2-7b,expand,matched_gaussian,row_neighbor_cosine,-0.002117118502758025,0.015805661210884406,-0.04541337281814139,0.0367385066678274,240
llama2-7b,expand,original,row_neighbor_cosine,0.004457211560573775,0.01642935193970286,-0.035840513560220374,0.04862795380548964,240
llama2-7b,expand,rowcol_shuffled,row_neighbor_cosine,0.0028353760263436813,0.01634894555607596,-0.03548890103199028,0.050696104614428576,240
llama2-7b,expand,smooth_positive_control,row_neighbor_cosine,0.9808579679481915,0.010041817838565746,0.9292849374198704,0.9968337544103301,240
wan2.1-1.3b,contract,matched_gaussian,row_neighbor_cosine,0.002111557730574694,0.015463816085195193,-0.0330820872360038,0.04330510923251666,120
wan2.1-1.3b,contract,original,row_neighbor_cosine,-0.0009216654419688423,0.017313563960045013,-0.04568839819271634,0.04446698194339897,120
wan2.1-1.3b,contract,rowcol_shuffled,row_neighbor_cosine,0.0018554104082862954,0.016971815750120352,-0.03966841163350548,0.04022763034977056,120
wan2.1-1.3b,contract,smooth_positive_control,row_neighbor_cosine,0.9807768888403565,0.009484310601271808,0.9496957547078092,0.9954429862934483,120
wan2.1-1.3b,expand,matched_gaussian,row_neighbor_cosine,-0.00018404417202317065,0.013920589103465232,-0.03531198347546071,0.04056481958612037,120
wan2.1-1.3b,expand,original,row_neighbor_cosine,0.022182122663760184,0.02044945652903982,-0.023321567331054054,0.1006164507259021,120
wan2.1-1.3b,expand,rowcol_shuffled,row_neighbor_cosine,0.022849303387343912,0.019317544271902444,-0.02235428000384907,0.06672823913056654,120
wan2.1-1.3b,expand,smooth_positive_control,row_neighbor_cosine,0.9806910600827483,0.00965136304546396,0.9518411982186091,0.9954225285830457,120
llama2-7b,contract,matched_gaussian,column_neighbor_cosine,0.003003146757386124,0.014921483342719507,-0.03081261279261247,0.039550402692286955,120
llama2-7b,contract,original,column_neighbor_cosine,0.00188798446666886,0.016432128497226608,-0.040234916588476076,0.04483969822586178,120
llama2-7b,contract,rowcol_shuffled,column_neighbor_cosine,5.5338367041500435e-05,0.013681310448709814,-0.03428185516560688,0.03996761726901997,120
llama2-7b,contract,smooth_positive_control,column_neighbor_cosine,0.980255987395173,0.009690734105749058,0.9551903702516754,0.996036326698067,120
llama2-7b,expand,matched_gaussian,column_neighbor_cosine,-0.0014701295526744949,0.01693085232020856,-0.0453785181671515,0.044375412374196906,240
llama2-7b,expand,original,column_neighbor_cosine,0.0005572381830911416,0.016251860005656083,-0.03712619590288086,0.04628721717590122,240
llama2-7b,expand,rowcol_shuffled,column_neighbor_cosine,0.0008151407586725003,0.016281487467463114,-0.04320449322796723,0.04586041638759345,240
llama2-7b,expand,smooth_positive_control,column_neighbor_cosine,0.980325022801792,0.009618897711036033,0.9439543049198993,0.9983938689935774,240
wan2.1-1.3b,contract,matched_gaussian,column_neighbor_cosine,8.743113550884797e-05,0.016005112022831437,-0.038316648317135264,0.04396476818740292,120
wan2.1-1.3b,contract,original,column_neighbor_cosine,0.002846202869701306,0.017646677819001824,-0.04478707131858463,0.0573937479033819,120
wan2.1-1.3b,contract,rowcol_shuffled,column_neighbor_cosine,-0.0019173909037258606,0.0167383117392533,-0.04966272302402026,0.03641068961042736,120
wan2.1-1.3b,contract,smooth_positive_control,column_neighbor_cosine,0.9790596652845603,0.010425905483567277,0.947212005825046,0.9988003431197218,120
wan2.1-1.3b,expand,matched_gaussian,column_neighbor_cosine,-0.0009712870379768161,0.018433054013028867,-0.049715308256673876,0.04163256878788026,120
wan2.1-1.3b,expand,original,column_neighbor_cosine,0.003468548553468066,0.018149978862849202,-0.043890979001615205,0.05063386845234594,120
wan2.1-1.3b,expand,rowcol_shuffled,column_neighbor_cosine,0.0029924865099632335,0.018201388717402858,-0.0385331372116559,0.046954666267824,120
wan2.1-1.3b,expand,smooth_positive_control,column_neighbor_cosine,0.9801703776931289,0.01080249084756651,0.9518047037398738,0.9984213636369221,120
llama2-7b,contract,matched_gaussian,circulant_retained_energy,0.01584112989212475,0.002794334315849331,0.009574362292507138,0.025581090402743496,120
llama2-7b,contract,original,circulant_retained_energy,0.015773799672513553,0.002597936680568246,0.010189834551198675,0.02360753583363449,120
llama2-7b,contract,rowcol_shuffled,circulant_retained_energy,0.01564549396320481,0.0026935636909033145,0.009369158426368896,0.025253224248759334,120
llama2-7b,contract,smooth_positive_control,circulant_retained_energy,0.00030802816378490693,0.00045237443122248764,1.7302343951523026e-08,0.0021560624684606846,120
llama2-7b,expand,matched_gaussian,circulant_retained_energy,0.015956527599366825,0.002717850443404039,0.008005876209516599,0.023965888064706672,240
llama2-7b,expand,original,circulant_retained_energy,0.015816153886228954,0.002810934111581271,0.008244044986703,0.022748031264878683,240
llama2-7b,expand,rowcol_shuffled,circulant_retained_energy,0.015469263342850953,0.0027719779313803822,0.008429582965179415,0.02365348299395281,240
llama2-7b,expand,smooth_positive_control,circulant_retained_energy,0.0002720200122452202,0.00036346437100319667,2.3239287723072072e-11,0.001917037396477434,240
wan2.1-1.3b,contract,matched_gaussian,circulant_retained_energy,0.01584160830080954,0.002703596195376244,0.010324295137293098,0.024226757385435487,120
wan2.1-1.3b,contract,original,circulant_retained_energy,0.01571546565422545,0.0028177835079763627,0.009105942723263967,0.02369843604616131,120
wan2.1-1.3b,contract,rowcol_shuffled,circulant_retained_energy,0.015513534272214705,0.002302575023355284,0.010454853362034975,0.021097505286573157,120
wan2.1-1.3b,contract,smooth_positive_control,circulant_retained_energy,0.00026936682283879433,0.0003681677103907413,1.8449124026738297e-08,0.0019516682330561277,120
wan2.1-1.3b,expand,matched_gaussian,circulant_retained_energy,0.016791577895520972,0.0033344609790090904,0.010403445546344101,0.024877563760624735,120
wan2.1-1.3b,expand,original,circulant_retained_energy,0.015913262472831518,0.002963363227168611,0.0087846571134602,0.025593139893171853,120
wan2.1-1.3b,expand,rowcol_shuffled,circulant_retained_energy,0.015940269478804073,0.0029198153697777424,0.010349163432112443,0.02351660224848431,120
wan2.1-1.3b,expand,smooth_positive_control,circulant_retained_energy,0.0008640196043457918,0.0010870074206715625,2.381905374110628e-07,0.005901834461431087,120
