model,role,control,method,target_scalar_density,metric,mean,std,min,max,count
llama2-7b,contract,matched_gaussian,column_fft_lowfreq_static,0.015625,retained_energy,0.016123829798198062,0.0027805629541889296,0.009662422495103221,0.0229369994263236,120
llama2-7b,contract,matched_gaussian,column_fft_lowfreq_static,0.0625,retained_energy,0.06314899891845782,0.005482732186665075,0.04935052629625712,0.08077123008744147,120
llama2-7b,contract,matched_gaussian,column_fft_lowfreq_static,0.125,retained_energy,0.12623552974346122,0.007004574205331965,0.10798976520856993,0.1450961970518169,120
llama2-7b,contract,matched_gaussian,column_fft_lowfreq_static,0.25,retained_energy,0.2500399156603495,0.00841973490560849,0.22739138797966776,0.27046193358755355,120
llama2-7b,contract,matched_gaussian,column_fft_topk_oracle,0.015625,retained_energy,0.08188310983137291,0.0036279452471246415,0.07088086227056849,0.09201351657745327,120
llama2-7b,contract,matched_gaussian,column_fft_topk_oracle,0.0625,retained_energy,0.2383200658709787,0.005989409520582641,0.22060091703006676,0.25227344445899386,120
llama2-7b,contract,matched_gaussian,column_fft_topk_oracle,0.125,retained_energy,0.3882815493381795,0.006769210469544619,0.3664426648239517,0.4036376789121199,120
llama2-7b,contract,matched_gaussian,column_fft_topk_oracle,0.25,retained_energy,0.6003618758659616,0.006149712185394231,0.5824311560733739,0.6132757206006555,120
llama2-7b,contract,matched_gaussian,fft2_lowfreq_static,0.015625,retained_energy,0.016513465674609474,0.003038959872099801,0.010465894986119292,0.02434031991340354,120
llama2-7b,contract,matched_gaussian,fft2_lowfreq_static,0.0625,retained_energy,0.06372397834886885,0.005576684251529606,0.05000489112497588,0.074366675549695,120
llama2-7b,contract,matched_gaussian,fft2_lowfreq_static,0.125,retained_energy,0.12715397159087877,0.007310516203332498,0.10809696061074608,0.14774562464016228,120
llama2-7b,contract,matched_gaussian,fft2_lowfreq_static,0.25,retained_energy,0.25167303080749037,0.00949237124940055,0.22483278258709738,0.27214029524985267,120
llama2-7b,contract,matched_gaussian,fft2_topk_oracle,0.015625,retained_energy,0.08056795230557133,0.003599429101796188,0.07356722879932935,0.09123054215326146,120
llama2-7b,contract,matched_gaussian,fft2_topk_oracle,0.0625,retained_energy,0.23625012330718026,0.005979691334934768,0.22086690461956396,0.25755680138720244,120
llama2-7b,contract,matched_gaussian,fft2_topk_oracle,0.125,retained_energy,0.38542611644188207,0.006582123713767264,0.3712013354703826,0.4096162783929353,120
llama2-7b,contract,matched_gaussian,fft2_topk_oracle,0.25,retained_energy,0.5971793475754597,0.00616362866532197,0.5836077891207475,0.6154112261916518,120
llama2-7b,contract,matched_gaussian,identity_topk_oracle,0.015625,retained_energy,0.11988651657507791,0.0044588312804841575,0.11010606621904868,0.1299174831666678,120
llama2-7b,contract,matched_gaussian,identity_topk_oracle,0.0625,retained_energy,0.32509499506136375,0.005868363865003425,0.31299412822995354,0.34025450653684736,120
llama2-7b,contract,matched_gaussian,identity_topk_oracle,0.125,retained_energy,0.5025307522251239,0.0062653970246016434,0.4869548101479709,0.520242075834149,120
llama2-7b,contract,matched_gaussian,identity_topk_oracle,0.25,retained_energy,0.7238992235901555,0.0052288052418965406,0.7076834104821129,0.7405758759004947,120
llama2-7b,contract,matched_gaussian,row_fft_lowfreq_static,0.015625,retained_energy,0.01558369476368235,0.0027133108025617237,0.010534175362341013,0.024413238902986047,120
llama2-7b,contract,matched_gaussian,row_fft_lowfreq_static,0.0625,retained_energy,0.06321095925579669,0.00564134213463724,0.04891546349158361,0.07947907369282677,120
llama2-7b,contract,matched_gaussian,row_fft_lowfreq_static,0.125,retained_energy,0.1255245355609799,0.007215221447903931,0.10973733570734306,0.143518547909696,120
llama2-7b,contract,matched_gaussian,row_fft_lowfreq_static,0.25,retained_energy,0.25241636879197576,0.009310687008635595,0.22328553336250964,0.2734591824576317,120
llama2-7b,contract,matched_gaussian,row_fft_topk_oracle,0.015625,retained_energy,0.0824776735758921,0.0035460742689651377,0.07390724743553523,0.0941980350737587,120
llama2-7b,contract,matched_gaussian,row_fft_topk_oracle,0.0625,retained_energy,0.23865097145085343,0.005868631351881723,0.22493691543049663,0.25395170410225676,120
llama2-7b,contract,matched_gaussian,row_fft_topk_oracle,0.125,retained_energy,0.38851431700846595,0.00674913363082281,0.37464938901094297,0.40651735609167977,120
llama2-7b,contract,matched_gaussian,row_fft_topk_oracle,0.25,retained_energy,0.6003988040087351,0.006122341418743743,0.5865387819861662,0.616234908380358,120
llama2-7b,contract,original,column_fft_lowfreq_static,0.015625,retained_energy,0.01538849091332615,0.002749972090109637,0.009008607376057843,0.023290246610551235,120
llama2-7b,contract,original,column_fft_lowfreq_static,0.0625,retained_energy,0.06182651396396997,0.005428384036454946,0.049450070461700274,0.07364027859186274,120
llama2-7b,contract,original,column_fft_lowfreq_static,0.125,retained_energy,0.12508584163707026,0.00771506300977978,0.10440877826659557,0.14453263194700666,120
llama2-7b,contract,original,column_fft_lowfreq_static,0.25,retained_energy,0.2508048530076618,0.009919190922567189,0.22593270545871894,0.2850356151945231,120
llama2-7b,contract,original,column_fft_topk_oracle,0.015625,retained_energy,0.08489950600043633,0.004202207228797593,0.07564706514890095,0.09580106588036906,120
llama2-7b,contract,original,column_fft_topk_oracle,0.0625,retained_energy,0.2442405945589078,0.007162220887773579,0.2301005797731051,0.2635339884918389,120
llama2-7b,contract,original,column_fft_topk_oracle,0.125,retained_energy,0.3953641495253468,0.00830796234488682,0.3794670605401925,0.41366732270245715,120
llama2-7b,contract,original,column_fft_topk_oracle,0.25,retained_energy,0.6073988244078392,0.008547409526361738,0.5842459883853101,0.6260497541897918,120
llama2-7b,contract,original,fft2_lowfreq_static,0.015625,retained_energy,0.01578675572072989,0.0026244061498578533,0.009925395026319016,0.021928916167345665,120
llama2-7b,contract,original,fft2_lowfreq_static,0.0625,retained_energy,0.06314838814146348,0.0053012723696925605,0.05029593376417627,0.08105091711021284,120
llama2-7b,contract,original,fft2_lowfreq_static,0.125,retained_energy,0.12604448245161834,0.007509412203446226,0.10431691285649047,0.1440368261486315,120
llama2-7b,contract,original,fft2_lowfreq_static,0.25,retained_energy,0.2508864200765792,0.010162538384022207,0.22719906379409527,0.277731209598229,120
