split,head_role,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,diffuse,centroid,moment,0.0625,16,59,0.2006243199555056,0.45848589691137953,0.9263034029515731,0.3815705863348508,0.13674385877775727,7.312942672074571
calibration,diffuse,centroid,moment,0.0625,64,59,0.21074319483669568,0.48127537525087377,0.9682403712919205,0.3815705863348508,0.0927878148217131,10.777277187973953
calibration,diffuse,centroid,moment,0.125,16,59,0.16356188759546703,0.3837350551996974,0.8321850334329022,0.49614200829449345,0.19533536143705624,5.1194007712844884
calibration,diffuse,centroid,moment,0.125,64,59,0.1710372004068281,0.40095025592510997,0.8683689044535664,0.49614200829449345,0.15430972041141539,6.480473150582048
calibration,diffuse,centroid,oracle_mass,0.0625,16,59,0.19296487946129082,0.45749906648848426,0.8865287602705221,0.3869124440065885,0.1367479977649471,7.3127213293380455
calibration,diffuse,centroid,oracle_mass,0.0625,64,59,0.2040645768932217,0.47816114462378795,0.9259589918212383,0.3869124440065885,0.09279195380890293,10.77679646728222
calibration,diffuse,centroid,oracle_mass,0.125,16,59,0.15007993789669394,0.3905904295874745,0.7982378415845766,0.5035626772096602,0.19533950042424605,5.119292297912918
calibration,diffuse,centroid,oracle_mass,0.125,64,59,0.15858956918735884,0.42529249409565545,0.8336880576520044,0.5035626772096602,0.1543138593986052,6.480299332135288
calibration,diffuse,diag_gaussian,moment,0.0625,16,59,0.20196101324751195,0.45918800268846555,0.9292396288300294,0.38284711653398257,0.13674385877775727,7.312942672074571
calibration,diffuse,diag_gaussian,moment,0.0625,64,59,0.211245415534104,0.48308418114930485,0.9715048764280176,0.38284711653398257,0.0927878148217131,10.777277187973953
calibration,diffuse,diag_gaussian,moment,0.125,16,59,0.1638070300628874,0.393166152903846,0.837430380625389,0.49776456189357626,0.19533536143705624,5.1194007712844884
calibration,diffuse,diag_gaussian,moment,0.125,64,59,0.17109560477179006,0.4009642241116326,0.8749886112894609,0.49776456189357626,0.15430972041141539,6.480473150582048
calibration,diffuse,diag_gaussian,oracle_mass,0.0625,16,59,0.19298264997008965,0.4582280363166265,0.8988599671491669,0.3869124440065885,0.1367479977649471,7.3127213293380455
calibration,diffuse,diag_gaussian,oracle_mass,0.0625,64,59,0.2028240186642877,0.4821114224051382,0.939566831306494,0.3869124440065885,0.09279195380890293,10.77679646728222
calibration,diffuse,diag_gaussian,oracle_mass,0.125,16,59,0.14956645941989397,0.36834540486574574,0.8124552945451773,0.5035626772096602,0.19533950042424605,5.119292297912918
calibration,diffuse,diag_gaussian,oracle_mass,0.125,64,59,0.15740289627280024,0.3909060402731786,0.8494613484654067,0.5035626772096602,0.1543138593986052,6.480299332135288
calibration,localized,centroid,moment,0.0625,16,30,0.02184982805324661,0.07806739277332694,0.09467762189108826,0.9687124907970428,0.13675213675213674,7.312500000000001
calibration,localized,centroid,moment,0.0625,64,30,0.02451992422502364,0.08673881345109494,0.10413859960286048,0.9687124907970428,0.09279609279609287,10.776315789473676
calibration,localized,centroid,moment,0.125,16,30,0.014117024697184346,0.05352867158586952,0.07511629669065276,0.9829785843690236,0.19536019536019547,5.118749999999997
calibration,localized,centroid,moment,0.125,64,30,0.015608476117747306,0.05527003153627164,0.08252555139547404,0.9829785843690236,0.1543345543345543,6.479430379746836
calibration,localized,centroid,oracle_mass,0.0625,16,30,0.020074817052121996,0.07316373255189748,0.09467762189108826,0.9728790362675984,0.13675213675213674,7.312500000000001
calibration,localized,centroid,oracle_mass,0.0625,64,30,0.023102534561256646,0.08877144618953942,0.10413859960286048,0.9728790362675984,0.09279609279609287,10.776315789473676
calibration,localized,centroid,oracle_mass,0.125,16,30,0.011069081432940182,0.03962008839442656,0.067716087519405,0.9876503725846608,0.19536019536019547,5.118749999999997
calibration,localized,centroid,oracle_mass,0.125,64,30,0.012563878320484683,0.04363217074783132,0.07478843734261247,0.9876503725846608,0.1543345543345543,6.479430379746836
calibration,localized,diag_gaussian,moment,0.0625,16,30,1.4174626449367596,1.9101379941942815,8.96357621862015,0.8696791712007278,0.13675213675213674,7.312500000000001
calibration,localized,diag_gaussian,moment,0.0625,64,30,1.4765013433832122,3.1150428561492705,4.572968612998002,0.8696791712007278,0.09279609279609287,10.776315789473676
calibration,localized,diag_gaussian,moment,0.125,16,30,1.4157829200793364,1.913596799040822,8.951413498408831,0.8836591169200073,0.19536019536019547,5.118749999999997
calibration,localized,diag_gaussian,moment,0.125,64,30,4.092803607485618,5.577211084601642,15.198146161021517,0.8836591169200073,0.1543345543345543,6.479430379746836
calibration,localized,diag_gaussian,oracle_mass,0.0625,16,30,1.519387661083349,2.3009183963723805,9.149871843282238,0.9728790362675984,0.13675213675213674,7.312500000000001
calibration,localized,diag_gaussian,oracle_mass,0.0625,64,30,2.1382474448135436,4.505328749124743,8.455588200093992,0.9728790362675984,0.09279609279609287,10.776315789473676
calibration,localized,diag_gaussian,oracle_mass,0.125,16,30,1.515126639024859,2.3009183963723805,9.116368579687391,0.9876503725846608,0.19536019536019547,5.118749999999997
calibration,localized,diag_gaussian,oracle_mass,0.125,64,30,2.104305257274173,4.386119874525638,8.455588200093992,0.9876503725846608,0.1543345543345543,6.479430379746836
calibration,transitional,centroid,moment,0.0625,16,19,0.0676118286129644,0.18042918068054725,0.1865629914135337,0.8412174896190041,0.13675213675213674,7.312500000000001
calibration,transitional,centroid,moment,0.0625,64,19,0.07889639914458366,0.18492982228271085,0.18696980640561225,0.8412174896190041,0.09279609279609284,10.77631578947368
calibration,transitional,centroid,moment,0.125,16,19,0.04935121427081245,0.1324727311333687,0.1753411653817691,0.9077307738755879,0.19534734271576384,5.119086782025131
calibration,transitional,centroid,moment,0.125,64,19,0.05575113651796166,0.1379266305406031,0.17378989931960095,0.9077307738755879,0.1543217016901227,6.4799700174898
calibration,transitional,centroid,oracle_mass,0.0625,16,19,0.06404562388451301,0.14432242798642092,0.17075720837471162,0.848639356462579,0.13675213675213674,7.312500000000001
calibration,transitional,centroid,oracle_mass,0.0625,64,19,0.07520576206569274,0.14543184723190233,0.17804213357828982,0.848639356462579,0.09279609279609284,10.77631578947368
calibration,transitional,centroid,oracle_mass,0.125,16,19,0.04111489540766339,0.09265068127571736,0.11048762854103432,0.9162133398808932,0.19536019536019544,5.118749999999998
calibration,transitional,centroid,oracle_mass,0.125,64,19,0.047522818463518836,0.1001901104149044,0.1166641972211691,0.9162133398808932,0.15433455433455429,6.479430379746837
calibration,transitional,diag_gaussian,moment,0.0625,16,19,0.10081173119060641,0.22515398065891454,0.28094253683534826,0.8462714207799811,0.13675213675213674,7.312500000000001
calibration,transitional,diag_gaussian,moment,0.0625,64,19,0.08876557675762296,0.21101404028026674,0.21484495823859642,0.8462714207799811,0.09279609279609284,10.77631578947368
calibration,transitional,diag_gaussian,moment,0.125,16,19,0.08397675494318754,0.19644388039990757,0.27742658885874405,0.9119375630428916,0.19534734271576384,5.119086782025131
calibration,transitional,diag_gaussian,moment,0.125,64,19,0.07259725595441054,0.18558739434087204,0.20386948668646598,0.9119375630428916,0.1543217016901227,6.4799700174898
calibration,transitional,diag_gaussian,oracle_mass,0.0625,16,19,0.10160695078968311,0.1930982194924064,0.28026497201581474,0.848639356462579,0.13675213675213674,7.312500000000001
calibration,transitional,diag_gaussian,oracle_mass,0.0625,64,19,0.09368594336988441,0.18039861804594484,0.22182109145129553,0.848639356462579,0.09279609279609284,10.77631578947368
calibration,transitional,diag_gaussian,oracle_mass,0.125,16,19,0.08074663632478064,0.12322778657303325,0.2778608546859408,0.9162133398808932,0.19536019536019544,5.118749999999998
calibration,transitional,diag_gaussian,oracle_mass,0.125,64,19,0.06931802925599886,0.1195018681124099,0.20390525256655787,0.9162133398808932,0.15433455433455429,6.479430379746837
test,diffuse,centroid,moment,0.0625,16,123,0.22108044713547206,0.45063504405839083,0.9031317998849522,0.3555133668630104,0.13674618064861951,7.312818502548029
test,diffuse,centroid,moment,0.0625,64,123,0.23612161254113317,0.47833895800223425,0.9414982026226347,0.3555133668630104,0.09279013669257553,10.777007510109785
test,diffuse,centroid,moment,0.125,16,123,0.17576262936143733,0.3751798307673547,0.8174831004391345,0.47892501780657265,0.1953264441069315,5.119634489698434
test,diffuse,centroid,moment,0.125,64,123,0.186904743699473,0.39839369563666294,0.8517340010088267,0.47892501780657265,0.15430080308129063,6.480847669167138
test,diffuse,centroid,oracle_mass,0.0625,16,123,0.21179341659606166,0.4451648089731439,0.8835215127061927,0.3656782415824208,0.13675015138429755,7.312606164433291
test,diffuse,centroid,oracle_mass,0.0625,64,123,0.2272430951871176,0.4804972475367224,0.921918664001997,0.3656782415824208,0.09279410742825359,10.776546353152634
test,diffuse,centroid,oracle_mass,0.125,16,123,0.16424561233914933,0.3924920731508841,0.7840946146489629,0.4911663184563319,0.19533637094612663,5.119374313940735
test,diffuse,centroid,oracle_mass,0.125,64,123,0.17615238540082376,0.42410058707748516,0.8155935827250668,0.4911663184563319,0.15431072992048575,6.480430754979168
test,diffuse,diag_gaussian,moment,0.0625,16,123,0.21851501950726654,0.4680878430741893,0.9121208472877129,0.35777125434904566,0.13675015138429755,7.312606164433291
test,diffuse,diag_gaussian,moment,0.0625,64,123,0.23175271813814513,0.4750978610284261,0.9513851228876448,0.35777125434904566,0.09279410742825359,10.776546353152634
test,diffuse,diag_gaussian,moment,0.125,16,123,0.17348204425732056,0.3780445352099282,0.8316435636566691,0.48110931142558894,0.1953324002104486,5.119478381070488
test,diffuse,diag_gaussian,moment,0.125,64,123,0.1837943201623824,0.3891200228967575,0.8665442348525956,0.48110931142558894,0.1543067591848077,6.480597514217349
