split,head_role,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
test,diffuse,diag_gaussian,oracle_mass,0.0625,16,123,0.2089278809240131,0.4593546941112634,0.8950675938274619,0.3656782415824208,0.13675015138429755,7.312606164433291
test,diffuse,diag_gaussian,oracle_mass,0.0625,64,123,0.22262124217574925,0.4677627691131907,0.9343382308741861,0.3656782415824208,0.09279410742825359,10.776546353152634
test,diffuse,diag_gaussian,oracle_mass,0.125,16,123,0.16158328858208623,0.35624599136098123,0.7990095308751276,0.4911663184563319,0.19533637094612663,5.119374313940735
test,diffuse,diag_gaussian,oracle_mass,0.125,64,123,0.17255096829923247,0.38798911730870755,0.8319264336633213,0.4911663184563319,0.15431072992048575,6.480430754979168
test,localized,centroid,moment,0.0625,16,54,0.027225636487057087,0.10401111511022049,0.30086712491834167,0.965838466529493,0.13675213675213693,7.31249999999999
test,localized,centroid,moment,0.0625,64,54,0.028316913170070606,0.11307431491660376,0.3006224141817616,0.965838466529493,0.0927960927960928,10.776315789473683
test,localized,centroid,moment,0.125,16,54,0.013967617253516803,0.05590905260627896,0.1739983719389841,0.9839139470347652,0.1953601953601953,5.118750000000001
test,localized,centroid,moment,0.125,64,54,0.01457708566910379,0.06210515765217943,0.17315068422402707,0.9839139470347652,0.15433455433455445,6.47943037974683
test,localized,centroid,oracle_mass,0.0625,16,54,0.018078335930732683,0.0900435630420951,0.13653978201162917,0.972283911925775,0.13675213675213693,7.31249999999999
test,localized,centroid,oracle_mass,0.0625,64,54,0.020029972701399987,0.10027537887206359,0.1395229121186133,0.972283911925775,0.0927960927960928,10.776315789473683
test,localized,centroid,oracle_mass,0.125,16,54,0.01078799459541116,0.05077669058814488,0.12677061782847432,0.9873307954382013,0.1953601953601953,5.118750000000001
test,localized,centroid,oracle_mass,0.125,64,54,0.011486629474283696,0.05694828798016992,0.12697152663548672,0.9873307954382013,0.15433455433455445,6.47943037974683
test,localized,diag_gaussian,moment,0.0625,16,54,4.089905634725952,7.770257734642183,14.861665386751387,0.8576172416602864,0.13675213675213693,7.31249999999999
test,localized,diag_gaussian,moment,0.0625,64,54,3.7490681051644157,6.4908843263137435,14.64615116444558,0.8576172416602864,0.0927960927960928,10.776315789473683
test,localized,diag_gaussian,moment,0.125,16,54,4.088797385111601,7.770257734642183,14.861665386751387,0.8730080528363976,0.1953601953601953,5.118750000000001
test,localized,diag_gaussian,moment,0.125,64,54,3.9866554969464083,7.10326204924096,14.47255438463605,0.8730080528363976,0.15433455433455445,6.47943037974683
test,localized,diag_gaussian,oracle_mass,0.0625,16,54,2.8745105099221857,5.631106294856544,9.183799738155448,0.972283911925775,0.13675213675213693,7.31249999999999
test,localized,diag_gaussian,oracle_mass,0.0625,64,54,3.7317854746376136,7.734945333526335,18.73946416313278,0.972283911925775,0.0927960927960928,10.776315789473683
test,localized,diag_gaussian,oracle_mass,0.125,16,54,3.574414610154534,7.375083217647328,10.001757382966229,0.9873307954382013,0.1953601953601953,5.118750000000001
test,localized,diag_gaussian,oracle_mass,0.125,64,54,4.102115255251338,8.76053013638063,18.73946416313278,0.9873307954382013,0.15433455433455445,6.47943037974683
test,transitional,centroid,moment,0.0625,16,39,0.11491967943945645,0.21184688319002223,0.2965871524773886,0.7628937623439691,0.13675213675213685,7.312499999999995
test,transitional,centroid,moment,0.0625,64,39,0.12375804254312411,0.21605479782075518,0.2962121799540749,0.7628937623439691,0.09279609279609288,10.776315789473674
test,transitional,centroid,moment,0.125,16,39,0.07630838212706299,0.15622525847070257,0.23473646080545543,0.8606760318462665,0.1953476722707493,5.119078146034999
test,transitional,centroid,moment,0.125,64,39,0.08117084443849155,0.15749840956114208,0.2334906695833925,0.8606760318462665,0.15432203124510824,6.479956179501742
test,transitional,centroid,oracle_mass,0.0625,16,39,0.09360557379047425,0.17499216959465053,0.24907206181933667,0.7868980994591346,0.13675213675213685,7.312499999999995
test,transitional,centroid,oracle_mass,0.0625,64,39,0.1037337489918626,0.19399441340431928,0.25901556937554576,0.7868980994591346,0.09279609279609288,10.776315789473674
test,transitional,centroid,oracle_mass,0.125,16,39,0.06072399237755635,0.12570057518128397,0.15918866647348945,0.8791598158004956,0.1953601953601955,5.118749999999997
test,transitional,centroid,oracle_mass,0.125,64,39,0.06765828205715083,0.13862645818142927,0.1657238499955668,0.8791598158004956,0.1543345543345544,6.479430379746833
test,transitional,diag_gaussian,moment,0.0625,16,39,0.10252908810769672,0.2201073790393085,0.2538513254608805,0.7762225499519935,0.13675213675213685,7.312499999999995
test,transitional,diag_gaussian,moment,0.0625,64,39,0.10574947745478437,0.21255138250709293,0.24451231023717,0.7762225499519935,0.09279609279609288,10.776315789473674
test,transitional,diag_gaussian,moment,0.125,16,39,0.0744172127021885,0.18403418448320075,0.23390683075492125,0.8664602622007712,0.1953601953601955,5.118749999999997
test,transitional,diag_gaussian,moment,0.125,64,39,0.07430229427903855,0.16874499314805433,0.2347362213613199,0.8664602622007712,0.1543345543345544,6.479430379746833
test,transitional,diag_gaussian,oracle_mass,0.0625,16,39,0.09021818532510154,0.20183656209524609,0.23034877354206168,0.7868980994591346,0.13675213675213685,7.312499999999995
test,transitional,diag_gaussian,oracle_mass,0.0625,64,39,0.09434640517527372,0.19018224349558877,0.2388737354376351,0.7868980994591346,0.09279609279609288,10.776315789473674
test,transitional,diag_gaussian,oracle_mass,0.125,16,39,0.05968170591211167,0.14724183391869664,0.18532173196436905,0.8791598158004956,0.1953601953601955,5.118749999999997
test,transitional,diag_gaussian,oracle_mass,0.125,64,39,0.0595512676336075,0.12324638401198115,0.15179193563758034,0.8791598158004956,0.1543345543345544,6.479430379746833
validation,diffuse,centroid,moment,0.0625,16,61,0.2342622273638004,0.4887286835086975,0.9263034029515731,0.3605255268392016,0.1367521367521369,7.312499999999992
validation,diffuse,centroid,moment,0.0625,64,61,0.2469140723772865,0.4967187728236767,0.9682403712919205,0.3605255268392016,0.09279609279609276,10.776315789473689
validation,diffuse,centroid,moment,0.125,16,61,0.1844703584985754,0.4020937294977603,0.8321850334329022,0.4918273313612234,0.1953401789467362,5.119274515831544
validation,diffuse,centroid,moment,0.125,64,61,0.19407528266486584,0.4090388536894671,0.8683689044535664,0.4918273313612234,0.15431453792109534,6.480270838197523
validation,diffuse,centroid,oracle_mass,0.0625,16,61,0.22108172677971252,0.4574010641507603,0.8865287602705221,0.3736105627212368,0.1367521367521369,7.312499999999992
validation,diffuse,centroid,oracle_mass,0.0625,64,61,0.23455442252632652,0.4805332913830797,0.9259589918212383,0.3736105627212368,0.09279609279609276,10.776315789473689
validation,diffuse,centroid,oracle_mass,0.125,16,61,0.16868832274857432,0.35366479708889736,0.7982378415845766,0.5084100377852799,0.1953481855121198,5.119064696600205
validation,diffuse,centroid,oracle_mass,0.125,64,61,0.179377994484997,0.371391548353585,0.8336880576520044,0.5084100377852799,0.15432254448647895,6.479934628654439
validation,diffuse,diag_gaussian,moment,0.0625,16,61,0.23446174964384908,0.5021998557159139,0.9292396288300294,0.3626438989991047,0.1367521367521369,7.312499999999992
validation,diffuse,diag_gaussian,moment,0.0625,64,61,0.24649882609351023,0.5124945469804644,0.9715048764280176,0.3626438989991047,0.09279609279609276,10.776315789473689
validation,diffuse,diag_gaussian,moment,0.125,16,61,0.18432026687503153,0.39892408081351133,0.837430380625389,0.4948144760288176,0.19534418222942798,5.119169604065911
validation,diffuse,diag_gaussian,moment,0.125,64,61,0.19407403840997534,0.4064291469950308,0.8749886112894609,0.4948144760288176,0.15431854120378713,6.48010272906506
validation,diffuse,diag_gaussian,oracle_mass,0.0625,16,61,0.22075147446295054,0.4576983822795255,0.8988599671491669,0.3736105627212368,0.1367521367521369,7.312499999999992
validation,diffuse,diag_gaussian,oracle_mass,0.0625,64,61,0.23332210539302042,0.48199487217976844,0.939566831306494,0.3736105627212368,0.09279609279609276,10.776315789473689
validation,diffuse,diag_gaussian,oracle_mass,0.125,16,61,0.1673853750943287,0.36404165453153975,0.8124552945451773,0.5084100377852799,0.1953481855121198,5.119064696600205
validation,diffuse,diag_gaussian,oracle_mass,0.125,64,61,0.17781463362144487,0.38214585623619635,0.8494613484654067,0.5084100377852799,0.15432254448647895,6.479934628654439
validation,localized,centroid,moment,0.0625,16,29,0.04265888460384827,0.16411329204629233,0.28634845075092014,0.9543526892004341,0.13675213675213674,7.312500000000001
validation,localized,centroid,moment,0.0625,64,29,0.043619795292675595,0.16601746487227234,0.2878513972624484,0.9543526892004341,0.09279609279609287,10.776315789473676
validation,localized,centroid,moment,0.125,16,29,0.014453144894292145,0.04918302504775371,0.08601585268532479,0.9808775720925167,0.19536019536019547,5.118749999999997
validation,localized,centroid,moment,0.125,64,29,0.01571125922747477,0.05593847185252692,0.08961796864017585,0.9808775720925167,0.1543345543345543,6.479430379746836
validation,localized,centroid,oracle_mass,0.0625,16,29,0.02351262582463535,0.09030763738736713,0.11123435866689002,0.9682300789602871,0.13675213675213674,7.312500000000001
validation,localized,centroid,oracle_mass,0.0625,64,29,0.025808010444577357,0.10235977530142115,0.11377171752779129,0.9682300789602871,0.09279609279609287,10.776315789473676
validation,localized,centroid,oracle_mass,0.125,16,29,0.011655225919666274,0.045829775189632896,0.05778914970621816,0.9868935757669909,0.19536019536019547,5.118749999999997
validation,localized,centroid,oracle_mass,0.125,64,29,0.013352608804156193,0.051983393431148786,0.06861485174017269,0.9868935757669909,0.1543345543345543,6.479430379746836
validation,localized,diag_gaussian,moment,0.0625,16,29,3.7267116602798245,6.347483949446605,9.14249160505153,0.8565007947848566,0.13675213675213674,7.312500000000001
validation,localized,diag_gaussian,moment,0.0625,64,29,3.250404458753635,5.529638605486376,7.708735061126118,0.8565007947848566,0.09279609279609287,10.776315789473676
validation,localized,diag_gaussian,moment,0.125,16,29,3.7197969849602583,6.342189875422248,9.14249160505153,0.879976414760606,0.19536019536019547,5.118749999999997
validation,localized,diag_gaussian,moment,0.125,64,29,3.1336510861649307,4.246343358683518,9.33126204094374,0.879976414760606,0.1543345543345543,6.479430379746836
validation,localized,diag_gaussian,oracle_mass,0.0625,16,29,3.7130430604961893,6.298720900190188,9.105475897900819,0.9682300789602871,0.13675213675213674,7.312500000000001
validation,localized,diag_gaussian,oracle_mass,0.0625,64,29,2.0858491483085846,3.109655813914574,5.9053222066257005,0.9682300789602871,0.09279609279609287,10.776315789473676
validation,localized,diag_gaussian,oracle_mass,0.125,16,29,3.7083607617886623,6.298720900190188,9.105475897900819,0.9868935757669909,0.19536019536019547,5.118749999999997
validation,localized,diag_gaussian,oracle_mass,0.125,64,29,2.2191297357448514,3.2138936786303125,6.411389294423027,0.9868935757669909,0.1543345543345543,6.479430379746836
validation,transitional,centroid,moment,0.0625,16,18,0.10972277926508184,0.21715963811984407,0.2483139493534676,0.7932673692703247,0.13675213675213674,7.312500000000001
validation,transitional,centroid,moment,0.0625,64,18,0.11887609651411671,0.22425293629130016,0.24819859814055192,0.7932673692703247,0.09279609279609284,10.77631578947368
validation,transitional,centroid,moment,0.125,16,18,0.06320110429722967,0.13468893889425285,0.13952072262763116,0.8820958336194357,0.19536019536019544,5.118749999999998
validation,transitional,centroid,moment,0.125,64,18,0.06843036375941908,0.14071192687563752,0.14478306805571642,0.8820958336194357,0.15433455433455429,6.479430379746837
validation,transitional,centroid,oracle_mass,0.0625,16,18,0.08779632553787879,0.17550603517939256,0.21366373143581865,0.8162843121422662,0.13675213675213674,7.312500000000001
validation,transitional,centroid,oracle_mass,0.0625,64,18,0.0986458425281248,0.18867602053919225,0.22201315591986778,0.8162843121422662,0.09279609279609284,10.77631578947368
validation,transitional,centroid,oracle_mass,0.125,16,18,0.05446482050299647,0.11831775965554167,0.13671976492158508,0.8992010156313578,0.19536019536019544,5.118749999999998
validation,transitional,centroid,oracle_mass,0.125,64,18,0.06125019085078893,0.1250742025583753,0.14221024477665992,0.8992010156313578,0.15433455433455429,6.479430379746837
validation,transitional,diag_gaussian,moment,0.0625,16,18,0.48981197455469916,0.3552225869377278,0.9655890551752753,0.8024076355828179,0.13675213675213674,7.312500000000001
validation,transitional,diag_gaussian,moment,0.0625,64,18,0.43773827210020666,0.33884742517716804,0.8542237087113257,0.8024076355828179,0.09279609279609284,10.77631578947368
validation,transitional,diag_gaussian,moment,0.125,16,18,0.42469321035248064,0.2698741409656885,0.849107482166026,0.88624107837677,0.19536019536019544,5.118749999999998
validation,transitional,diag_gaussian,moment,0.125,64,18,0.1923514071388012,0.19083161337443688,0.36673345581119543,0.88624107837677,0.15433455433455429,6.479430379746837
validation,transitional,diag_gaussian,oracle_mass,0.0625,16,18,0.47389243782082163,0.3186836637812628,0.9425613672316696,0.8162843121422662,0.13675213675213674,7.312500000000001
validation,transitional,diag_gaussian,oracle_mass,0.0625,64,18,0.47611770777381013,0.32694596405939325,0.944262573067357,0.8162843121422662,0.09279609279609284,10.77631578947368
validation,transitional,diag_gaussian,oracle_mass,0.125,16,18,0.3673767177262848,0.22298600294065574,0.734850599108754,0.8992010156313578,0.19536019536019544,5.118749999999998
validation,transitional,diag_gaussian,oracle_mass,0.125,64,18,0.2718901587993069,0.19813557801417453,0.5375931029846864,0.8992010156313578,0.15433455433455429,6.479430379746837
