split,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,centroid,moment,0.0625,16,108,0.11361795487429019,0.4241573755775986,0.9263034029515731,0.6255293668558201,0.1367476145253922,7.312741823473004
calibration,centroid,moment,0.0625,64,108,0.12018174891716289,0.4494010896869822,0.9682403712919205,0.6255293668558201,0.09279157056934818,10.776840976655802
calibration,centroid,moment,0.125,16,108,0.09182980441107143,0.3600112698070169,0.8321850334329022,0.7037835252229814,0.19534436756658943,5.119164747143875
calibration,centroid,moment,0.125,64,108,0.09641068320329681,0.38694924694230587,0.8683689044535664,0.7037835252229814,0.15431872654094855,6.48009494644611
calibration,centroid,oracle_mass,0.0625,16,108,0.1091021389361656,0.4271941885905457,0.8865287602705221,0.6309106764556082,0.1367498756387644,7.312620909737271
calibration,centroid,oracle_mass,0.0625,64,108,0.1161964472280011,0.4599236355008466,0.9259589918212383,0.6309106764556082,0.0927938316827204,10.776578376666118
calibration,centroid,oracle_mass,0.125,16,108,0.08382206068075886,0.3482998066585975,0.7982378415845766,0.7106274313948773,0.19534888979333387,5.119046241101925
calibration,centroid,oracle_mass,0.125,64,108,0.08892056522273527,0.3644078308861268,0.8336880576520044,0.7106274313948773,0.154323248767693,6.479905056336181
calibration,diag_gaussian,moment,0.0625,16,108,1.0744994440526572,0.5972446891880628,8.96357621862015,0.599606592651356,0.1367476145253922,7.312741823473004
calibration,diag_gaussian,moment,0.0625,64,108,1.1191150984504197,0.5012363549185629,4.572968612998002,0.599606592651356,0.09279157056934818,10.776840976655802
calibration,diag_gaussian,moment,0.125,16,108,1.07110282578732,0.5451800314980482,8.951413498408831,0.6778212625660756,0.19534436756658943,5.119164747143875
calibration,diag_gaussian,moment,0.125,64,108,3.085806679152732,0.4410166980096175,15.198146161021517,0.6778212625660756,0.15431872654094855,6.48009494644611
calibration,diag_gaussian,oracle_mass,0.0625,16,108,1.1504356593899137,0.6520937147254223,9.149871843282238,0.6309106764556082,0.1367498756387644,7.312620909737271
calibration,diag_gaussian,oracle_mass,0.0625,64,108,1.6155233044123773,0.8388056023281414,8.455588200093992,0.6309106764556082,0.0927938316827204,10.776578376666118
calibration,diag_gaussian,oracle_mass,0.125,16,108,1.1450798437463243,0.41192611110757404,9.116368579687391,0.7106274313948773,0.19534888979333387,5.119046241101925
calibration,diag_gaussian,oracle_mass,0.125,64,108,1.5883070939676809,0.4300678495368774,8.455588200093992,0.7106274313948773,0.154323248767693,6.479905056336181
test,centroid,moment,0.0625,16,216,0.12412066929546146,0.42702550047597126,0.9031317998849522,0.5816494354081375,0.1367487450820781,7.312681366105327
test,centroid,moment,0.0625,64,216,0.1325728693126397,0.4562532288481046,0.9414982026226347,0.5816494354081375,0.09279270112603422,10.776709675061252
test,centroid,moment,0.125,16,216,0.09634360303644117,0.3446067037337832,0.8174831004391345,0.6740995165374544,0.1953387147831587,5.119312887412403
test,centroid,moment,0.125,64,216,0.1024291653793714,0.3660129636316102,0.8517340010088267,0.6740995165374544,0.15431307375751782,6.480332324734618
test,centroid,oracle_mass,0.0625,16,216,0.11635895386765047,0.41597809595600377,0.8835215127061927,0.5933832446182216,0.13675100619545033,7.312560454368852
test,centroid,oracle_mass,0.0625,64,216,0.12521562745786863,0.442828364579148,0.921918664001997,0.5933832446182216,0.09279496223940643,10.77644708147032
test,centroid,oracle_mass,0.125,16,216,0.08895471037741313,0.341790930652194,0.7840946146489629,0.6852618191667177,0.19534662867996153,5.119105493437057
test,centroid,oracle_mass,0.125,64,216,0.09559826320266852,0.3588522082016154,0.8155935827250668,0.6852618191667177,0.1543209876543206,6.480000000000016
test,diag_gaussian,moment,0.0625,16,216,3.198426121306415,0.9121208472877129,14.861665386751387,0.5582864573273881,0.13675100619545033,7.312560454368852
test,diag_gaussian,moment,0.0625,64,216,2.9325642742681213,0.7474443559968688,14.64615116444558,0.5582864573273881,0.09279496223940643,10.77644708147032
test,diag_gaussian,moment,0.125,16,216,3.196712387755958,0.8392480054240962,14.861665386751387,0.6486612517793657,0.1953443675665893,5.119164747143879
test,diag_gaussian,moment,0.125,64,216,3.1170883863855874,0.49647175562879814,14.47255438463605,0.6486612517793657,0.1543187265409484,6.480094946446117
test,diag_gaussian,oracle_mass,0.0625,16,216,2.249253602423441,0.903168473325921,9.183799738155448,0.5933832446182216,0.13675100619545033,7.312560454368852
