split,sample_id,prompt_index,seed,sampling_step,branch,layer,head,head_role,method,router,density,tail_group_size,query_tiles,query_tile_size,selected_attention_mass,selected_keys,tail_landmarks,router_landmarks,attention_work_ratio,flop_proxy_speedup,residual_sq,reference_sq,output_relative_l2
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,moment,0.0625,64,1,64,0.2702053189277649,2048.0,480.0,512,0.0927960927960928,10.776315789473683,88.21046447753906,382.00860595703125,0.4805332913830797
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,moment,0.0625,16,1,64,0.2702053189277649,2048.0,1920.0,512,0.13675213675213677,7.312499999999999,79.92221069335938,382.00860595703125,0.4574010641507603
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,moment,0.125,64,1,64,0.4703248143196106,4096.0,448.0,512,0.15433455433455434,6.4794303797468356,53.17652130126953,382.00860595703125,0.3730984013601658
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,moment,0.125,16,1,64,0.4703248143196106,4096.0,1792.0,512,0.19536019536019536,5.11875,48.194007873535156,382.00860595703125,0.35518936086156877
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,oracle_mass,0.0625,64,1,64,0.2702053189277649,2048.0,480.0,512,0.0927960927960928,10.776315789473683,88.21046447753906,382.00860595703125,0.4805332913830797
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,oracle_mass,0.0625,16,1,64,0.2702053189277649,2048.0,1920.0,512,0.13675213675213677,7.312499999999999,79.92221069335938,382.00860595703125,0.4574010641507603
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,oracle_mass,0.125,64,1,64,0.4704035520553589,4096.0,448.0,512,0.15433455433455434,6.4794303797468356,52.69108963012695,382.00860595703125,0.371391548353585
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,centroid,oracle_mass,0.125,16,1,64,0.4704035520553589,4096.0,1792.0,512,0.19536019536019536,5.11875,47.78117370605469,382.00860595703125,0.35366479708889736
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,diag_gaussian,moment,0.0625,64,1,64,0.2702053189277649,2048.0,480.0,512,0.0927960927960928,10.776315789473683,88.74787902832031,382.00860595703125,0.48199487217976844
calibration,s00_p00_seed20260740,0,20260740,0,cond,0,0,diffuse,diag_gaussian,moment,0.0625,16,1,64,0.2702053189277649,2048.0,1920.0,512,0.13675213675213677,7.312499999999999,80.0261459350586,382.00860595703125,0.4576983822795255
