split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,0,cond,0,centroid,moment,0.0625,16,12,0.25267509491284873,0.6859491885490792,0.9263034029515731,0.520639673496286,0.13675213675213674,7.312500000000001
calibration,0,cond,0,centroid,moment,0.0625,64,12,0.2656209541302273,0.7174355853503331,0.9682403712919205,0.520639673496286,0.0927960927960928,10.776315789473683
calibration,0,cond,0,centroid,moment,0.125,16,12,0.2078931252267137,0.6029848549457455,0.8321850334329022,0.5973462189237276,0.19533984533984536,5.119283258672778
calibration,0,cond,0,centroid,moment,0.125,64,12,0.21779171818705828,0.6303679327821997,0.8683689044535664,0.5973462189237276,0.15431420431420428,6.480284847685613
calibration,0,cond,0,centroid,oracle_mass,0.0625,16,12,0.24859989431418889,0.6629559595696827,0.8865287602705221,0.5210382025688887,0.13675213675213674,7.312500000000001
calibration,0,cond,0,centroid,oracle_mass,0.0625,64,12,0.26150024504471664,0.693345876357853,0.9259589918212383,0.5210382025688887,0.0927960927960928,10.776315789473683
calibration,0,cond,0,centroid,oracle_mass,0.125,16,12,0.1979047605743964,0.5842597888479172,0.7982378415845766,0.5985001735389233,0.19533984533984536,5.119283258672778
calibration,0,cond,0,centroid,oracle_mass,0.125,64,12,0.20738440306054973,0.6112400319408446,0.8336880576520044,0.5985001735389233,0.15431420431420428,6.480284847685613
calibration,0,cond,0,diag_gaussian,moment,0.0625,16,12,0.24895173258907888,0.6827764499105495,0.9292396288300294,0.5207937229424715,0.13675213675213674,7.312500000000001
calibration,0,cond,0,diag_gaussian,moment,0.0625,64,12,0.2622019299531877,0.7153295983068331,0.9715048764280176,0.5207937229424715,0.0927960927960928,10.776315789473683
calibration,0,cond,0,diag_gaussian,moment,0.125,16,12,0.20702429487557117,0.603292813721786,0.837430380625389,0.5979589658478895,0.19533984533984536,5.119283258672778
calibration,0,cond,0,diag_gaussian,moment,0.125,64,12,0.21748538127418948,0.6312381169160162,0.8749886112894609,0.5979589658478895,0.15431420431420428,6.480284847685613
calibration,0,cond,0,diag_gaussian,oracle_mass,0.0625,16,12,0.24698498645630898,0.6675577400164783,0.8988599671491669,0.5210382025688887,0.13675213675213674,7.312500000000001
calibration,0,cond,0,diag_gaussian,oracle_mass,0.0625,64,12,0.26021649276584297,0.6994553031280942,0.939566831306494,0.5210382025688887,0.0927960927960928,10.776315789473683
calibration,0,cond,0,diag_gaussian,oracle_mass,0.125,16,12,0.20132389058737865,0.5894984193758106,0.8124552945451773,0.5985001735389233,0.19533984533984536,5.119283258672778
calibration,0,cond,0,diag_gaussian,oracle_mass,0.125,64,12,0.21154681041712164,0.6171969843022278,0.8494613484654067,0.5985001735389233,0.15431420431420428,6.480284847685613
