layer,frame,history_start,history_frames,rank,mode,relative_projection_error,raw_reconstruction_error
0,1,0,1,1,raw,0.8738461814876977,0.8738461814876977
0,1,0,1,2,raw,0.7831591809662657,0.7831591809662657
0,1,0,1,4,raw,0.6102176107156416,0.6102176107156416
0,1,0,1,8,raw,0.29118394616428483,0.29118394616428483
0,1,0,1,1,history_centered,0.869253373564362,0.8356608250434202
0,1,0,1,2,history_centered,0.7802051566875506,0.7500539023129538
0,1,0,1,4,history_centered,0.601815147334171,0.5785578265663913
0,1,0,1,8,history_centered,0.28606457285280323,0.27500952453671085
0,2,0,2,1,raw,0.8744667642509375,0.8744667642509375
0,2,0,2,2,raw,0.7847504353743985,0.7847504353743985
0,2,0,2,4,raw,0.6157532488039671,0.6157532488039671
0,2,0,2,8,raw,0.2956491497617175,0.2956491497617175
0,2,0,2,1,history_centered,0.8708794343880716,0.8389766923207412
0,2,0,2,2,history_centered,0.7813370814161199,0.7527145254206691
0,2,0,2,4,history_centered,0.6041014951448991,0.5819715728834575
0,2,0,2,8,history_centered,0.2887247059226045,0.27814791485624196
0,3,1,2,1,raw,0.8766368544278177,0.8766368544278177
0,3,1,2,2,raw,0.7821358137426647,0.7821358137426647
0,3,1,2,4,raw,0.6114762538153785,0.6114762538153785
0,3,1,2,8,raw,0.2824663264924328,0.2824663264924328
0,3,1,2,1,history_centered,0.8722585508953314,0.8385791623618933
0,3,1,2,2,history_centered,0.7809921587923963,0.7508367211294023
0,3,1,2,4,history_centered,0.5948111948539129,0.5718445213659193
0,3,1,2,8,history_centered,0.280996441448636,0.27014669016978865
2,1,0,1,1,raw,0.8738605619019268,0.8738605619019268
2,1,0,1,2,raw,0.7831855603654722,0.7831855603654722
2,1,0,1,4,raw,0.6102196424549272,0.6102196424549272
2,1,0,1,8,raw,0.2911815098667491,0.2911815098667491
2,1,0,1,1,history_centered,0.8692673874551294,0.8356727025138555
2,1,0,1,2,history_centered,0.7802208984085379,0.7500676042151727
2,1,0,1,4,history_centered,0.6018217719396388,0.5785630909964807
2,1,0,1,8,history_centered,0.28605881061810245,0.2750034601516308
2,2,0,2,1,raw,0.874471265885737,0.874471265885737
2,2,0,2,2,raw,0.7847529114909607,0.7847529114909607
2,2,0,2,4,raw,0.6157587427103224,0.6157587427103224
2,2,0,2,8,raw,0.29568212452966186,0.29568212452966186
2,2,0,2,1,history_centered,0.8708784103677442,0.8389760720146697
2,2,0,2,2,history_centered,0.781330375623395,0.7527083938267092
2,2,0,2,4,history_centered,0.6040859308580567,0.581956832776009
2,2,0,2,8,history_centered,0.2887448323270214,0.2781674253906058
2,3,1,2,1,raw,0.8766391325160117,0.8766391325160117
2,3,1,2,2,raw,0.7821439931074613,0.7821439931074613
2,3,1,2,4,raw,0.6114690242495451,0.6114690242495451
2,3,1,2,8,raw,0.2824483020898711,0.2824483020898711
2,3,1,2,1,history_centered,0.8722632238781458,0.8385869521735635
2,3,1,2,2,history_centered,0.780999389351384,0.7508466247765195
2,3,1,2,4,history_centered,0.5948087415711244,0.5718444112576774
2,3,1,2,8,history_centered,0.2810051845300699,0.270156157899603
