layer,frame,method,scope,relative_error,centered_relative_error,pixel_change_score,pixel_dy,pixel_dx,hidden_dy,hidden_dx
0,1,identity,fixed,1.381188837252579,1.4367282771628842,0.37245597846981926,1,-1,1,-1
0,1,pixel_shift_zero,pixel_pair,0.6151679268639397,0.6207916846855975,0.37245597846981926,1,-1,1,-1
0,1,pixel_shift_cyclic,pixel_pair,0.03320580179483322,0.0338573286975991,0.37245597846981926,1,-1,1,-1
0,1,hidden_shift_cyclic,hidden_pair,0.03320580179483322,0.0338573286975991,0.37245597846981926,1,-1,1,-1
0,1,local_bccb_pair,pair_oracle,0.032888234476829495,0.03348830167005665,0.37245597846981926,1,-1,1,-1
0,1,local_bttb_pair,pair_oracle,0.6052832097787424,0.6137180668088967,0.37245597846981926,1,-1,1,-1
0,1,global_bccb_pair,pair_oracle,0.031184278871462377,0.03178940336370945,0.37245597846981926,1,-1,1,-1
0,2,identity,fixed,1.3827360844846992,1.4353812275954083,0.36839446366782014,0,1,1,-1
0,2,pixel_shift_zero,pixel_pair,1.3790511913766421,1.4302063461767818,0.36839446366782014,0,1,1,-1
0,2,pixel_shift_cyclic,pixel_pair,1.431104528744357,1.4855964506261512,0.36839446366782014,0,1,1,-1
0,2,hidden_shift_cyclic,hidden_pair,0.07471742422538225,0.07614366889854039,0.36839446366782014,0,1,1,-1
0,2,local_bccb_pair,pair_oracle,0.07358790523117294,0.07523985817112414,0.36839446366782014,0,1,1,-1
0,2,local_bttb_pair,pair_oracle,0.6171527720384742,0.6177726448366466,0.36839446366782014,0,1,1,-1
0,2,global_bccb_pair,pair_oracle,0.07199411108565838,0.07356263612271124,0.36839446366782014,0,1,1,-1
0,2,local_bccb_causal,previous_transition,0.07497602420408024,0.07645365226466601,0.36839446366782014,0,1,1,-1
0,2,local_bttb_causal,previous_transition,0.6393698240414065,0.6445662644246358,0.36839446366782014,0,1,1,-1
0,2,global_bccb_causal,previous_transition,0.07666288848716477,0.0779744010220516,0.36839446366782014,0,1,1,-1
0,3,identity,fixed,1.3754547681389626,1.430953962788778,0.3047128027681661,1,-1,1,-1
0,3,pixel_shift_zero,pixel_pair,0.6514141373876167,0.6612263438246399,0.3047128027681661,1,-1,1,-1
0,3,pixel_shift_cyclic,pixel_pair,0.12084058956507052,0.12134324452087766,0.3047128027681661,1,-1,1,-1
0,3,hidden_shift_cyclic,hidden_pair,0.12084058956507052,0.12134324452087766,0.3047128027681661,1,-1,1,-1
0,3,local_bccb_pair,pair_oracle,0.12020120127969665,0.12072680582358059,0.3047128027681661,1,-1,1,-1
0,3,local_bttb_pair,pair_oracle,0.6379582524556495,0.6484218366657755,0.3047128027681661,1,-1,1,-1
0,3,global_bccb_pair,pair_oracle,0.11680810381589968,0.11732385843988284,0.3047128027681661,1,-1,1,-1
0,3,local_bccb_causal,previous_transition,0.12162436366976193,0.12163012467165606,0.3047128027681661,1,-1,1,-1
0,3,local_bttb_causal,previous_transition,0.6499395666326556,0.6580880593631853,0.3047128027681661,1,-1,1,-1
0,3,global_bccb_causal,previous_transition,0.1232524502669765,0.12330992525640151,0.3047128027681661,1,-1,1,-1
2,1,identity,fixed,1.3812166087644153,1.4367600126672855,0.37245597846981926,1,-1,1,-1
2,1,pixel_shift_zero,pixel_pair,0.6151723888920378,0.6207928885846267,0.37245597846981926,1,-1,1,-1
2,1,pixel_shift_cyclic,pixel_pair,0.03322389376694339,0.03387243393248712,0.37245597846981926,1,-1,1,-1
2,1,hidden_shift_cyclic,hidden_pair,0.03322389376694339,0.03387243393248712,0.37245597846981926,1,-1,1,-1
2,1,local_bccb_pair,pair_oracle,0.03290474762756989,0.03350149969381641,0.37245597846981926,1,-1,1,-1
2,1,local_bttb_pair,pair_oracle,0.6052881781382566,0.6137200514050323,0.37245597846981926,1,-1,1,-1
2,1,global_bccb_pair,pair_oracle,0.031209953329197106,0.03181356286289478,0.37245597846981926,1,-1,1,-1
2,2,identity,fixed,1.3827153190989554,1.4353590403776133,0.36839446366782014,0,1,1,-1
2,2,pixel_shift_zero,pixel_pair,1.3790731348708571,1.430227514330203,0.36839446366782014,0,1,1,-1
2,2,pixel_shift_cyclic,pixel_pair,1.43112800986234,1.485620176442863,0.36839446366782014,0,1,1,-1
2,2,hidden_shift_cyclic,hidden_pair,0.07469797508575445,0.0761232967553124,0.36839446366782014,0,1,1,-1
2,2,local_bccb_pair,pair_oracle,0.0735684474947791,0.07521990246888391,0.36839446366782014,0,1,1,-1
2,2,local_bttb_pair,pair_oracle,0.6171640669562316,0.6177793547790223,0.36839446366782014,0,1,1,-1
2,2,global_bccb_pair,pair_oracle,0.071964995660479,0.07353250741694936,0.36839446366782014,0,1,1,-1
2,2,local_bccb_causal,previous_transition,0.07496122034778571,0.07643820341873686,0.36839446366782014,0,1,1,-1
