case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,mask,tail_rank,fallback_selection,logical_sparse_density,execution_sparse_density,dense_fallback_heads,dense_fallback_fraction,effective_attention_density,output_relative_l2,output_cosine
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,0,0.0,0.015228076837956905,0.5806812644004822,0.8841053247451782
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,1,0.08333333333333333,0.09729240376812716,0.5084590315818787,0.90655517578125
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,2,0.16666666666666666,0.1793567306982974,0.4432496130466461,0.917164146900177
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,3,0.25,0.2614210576284677,0.40322837233543396,0.931909441947937
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,4,0.3333333333333333,0.3434853845586379,0.3676273226737976,0.9427474737167358
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,5,0.4166666666666667,0.4255497114888082,0.33342286944389343,0.9525084495544434
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,6,0.5,0.5076140384189785,0.299455851316452,0.9615616202354431
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,7,0.5833333333333334,0.5896783653491487,0.2615338861942291,0.9706177711486816
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,8,0.6666666666666666,0.6717426922793189,0.2219165712594986,0.977027952671051
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,9,0.75,0.7538070192094892,0.1819133460521698,0.9844503998756409
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,10,0.8333333333333334,0.8358713461396595,0.132338285446167,0.9917591214179993
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,11,0.9166666666666666,0.9179356730698297,0.08890124410390854,0.9961157441139221
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,0,0.0,0.015228076837956905,0.26827043294906616,0.9685333371162415
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,1,0.08333333333333333,0.09729240376812716,0.2255050539970398,0.9763275384902954
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,2,0.16666666666666666,0.1793567306982974,0.17349639534950256,0.9857326149940491
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,3,0.25,0.2614210576284677,0.1494196355342865,0.9894029498100281
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,4,0.3333333333333333,0.3434853845586379,0.12655897438526154,0.992171585559845
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,5,0.4166666666666667,0.4255497114888082,0.11596508324146271,0.9933633804321289
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,6,0.5,0.5076140384189785,0.10441222786903381,0.9946100115776062
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,7,0.5833333333333334,0.5896783653491487,0.09342841058969498,0.9956781268119812
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,8,0.6666666666666666,0.6717426922793189,0.0829804465174675,0.9965800046920776
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,9,0.75,0.7538070192094892,0.07142961025238037,0.9974640011787415
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,10,0.8333333333333334,0.8358713461396595,0.05769016593694687,0.9983456134796143
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,11,0.9166666666666666,0.9179356730698297,0.03990672156214714,0.9992105960845947
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,0,0.0,0.015228076837956905,0.16484923660755157,0.987135648727417
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,1,0.08333333333333333,0.09729240376812716,0.13599027693271637,0.9909984469413757
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,2,0.16666666666666666,0.1793567306982974,0.10645093768835068,0.9944483041763306
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,3,0.25,0.2614210576284677,0.09023904800415039,0.9960105419158936
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,4,0.3333333333333333,0.3434853845586379,0.07538580149412155,0.9971849918365479
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,5,0.4166666666666667,0.4255497114888082,0.06903742998838425,0.9976379871368408
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,6,0.5,0.5076140384189785,0.06288756430149078,0.9980347752571106
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,7,0.5833333333333334,0.5896783653491487,0.056366026401519775,0.9984215497970581
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,8,0.6666666666666666,0.6717426922793189,0.04921426996588707,0.9987974166870117
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,9,0.75,0.7538070192094892,0.04100240021944046,0.99916672706604
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,10,0.8333333333333334,0.8358713461396595,0.031031809747219086,0.9995251893997192
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,11,0.9166666666666666,0.9179356730698297,0.019526569172739983,0.9998151659965515
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,oracle_current_replay_defect_energy,0.012529350817203522,0.015228076837956905,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,0,0.0,0.03253999724984169,0.5290526151657104,0.8996604084968567
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,1,0.08333333333333333,0.11316166414568822,0.45162782073020935,0.9231518507003784
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,2,0.16666666666666666,0.19378333104153475,0.38414710760116577,0.9354081153869629
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,3,0.25,0.27440499793738127,0.34143391251564026,0.9494655132293701
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,4,0.3333333333333333,0.3550266648332278,0.3063296377658844,0.9589729309082031
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,5,0.4166666666666667,0.4356483317290743,0.2685193419456482,0.9682862758636475
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,6,0.5,0.5162699986249208,0.22859039902687073,0.9770184755325317
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,7,0.5833333333333334,0.5968916655207673,0.18788540363311768,0.9832218289375305
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,8,0.6666666666666666,0.6775133324166139,0.1633853018283844,0.9869109392166138
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,9,0.75,0.7581349993124604,0.13471902906894684,0.9910844564437866
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,10,0.8333333333333334,0.8387566662083069,0.10065744072198868,0.9950011372566223
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,11,0.9166666666666666,0.9193783331041535,0.061492085456848145,0.9981340169906616
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,0,0.0,0.03253999724984169,0.2418360710144043,0.9740638136863708
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,1,0.08333333333333333,0.11316166414568822,0.19624239206314087,0.9827107191085815
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,2,0.16666666666666666,0.19378333104153475,0.1392604261636734,0.9907205104827881
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,3,0.25,0.27440499793738127,0.11409153789281845,0.993784487247467
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,4,0.3333333333333333,0.3550266648332278,0.08624812215566635,0.9963436126708984
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,5,0.4166666666666667,0.4356483317290743,0.07166774570941925,0.9974520206451416
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,6,0.5,0.5162699986249208,0.06514149904251099,0.9978941082954407
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,7,0.5833333333333334,0.5968916655207673,0.05859163776040077,0.9982966780662537
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,8,0.6666666666666666,0.6775133324166139,0.05139613896608353,0.9986872673034668
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,9,0.75,0.7581349993124604,0.04419069364666939,0.9990307092666626
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,10,0.8333333333333334,0.8387566662083069,0.03567708656191826,0.9993700981140137
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,11,0.9166666666666666,0.9193783331041535,0.02473960444331169,0.999700129032135
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,oracle_current_replay_defect_energy,0.026429980993270874,0.03253999724984169,12,1.0,1.0,0.0,1.000005841255188
