case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,tail_rank,tokens,query_samples,oracle_only,logical_density,execution_density,keys_mean,keys_min,keys_max,exact_attention_mass,tail_defect_energy_explained,output_relative_l2,output_cosine
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.03390419855713844,0.0,0.6441723704338074,0.8316864967346191
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.03390419855713844,0.9627131223678589,0.1243882030248642,0.9923548698425293
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.03390419855713844,0.9874663949012756,0.07211723178625107,0.9974114298820496
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.05560748279094696,0.0,0.4793088138103485,0.9000567197799683
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.05560748279094696,0.9609687924385071,0.09469348937273026,0.9955495595932007
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.05560748279094696,0.9879937171936035,0.05251901596784592,0.9986241459846497
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.0729946494102478,0.0,0.4208318591117859,0.9194533228874207
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.0729946494102478,0.9608168005943298,0.08330246806144714,0.9965532422065735
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.0729946494102478,0.9870543479919434,0.04788164794445038,0.998856246471405
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.07192584127187729,0.0,0.48707398772239685,0.8954348564147949
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.07192584127187729,0.9678812026977539,0.0872919037938118,0.9962146282196045
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.07192584127187729,0.9908324480056763,0.04663626104593277,0.9989143013954163
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07545004785060883,0.0,0.3576169013977051,0.9404048919677734
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07545004785060883,0.9620123505592346,0.06970112025737762,0.9975831508636475
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07545004785060883,0.9886013269424438,0.03818083181977272,0.9992716312408447
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.012562085874378681,0.0,0.6778688430786133,0.8221980929374695
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.012562085874378681,0.886126697063446,0.22874756157398224,0.9749003052711487
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.012562085874378681,0.9538979530334473,0.14554783701896667,0.9895869493484497
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.02618490345776081,0.0,0.4327974319458008,0.9153878688812256
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.02618490345776081,0.891547441482544,0.1425294280052185,0.9900059103965759
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.02618490345776081,0.9600014090538025,0.08655784279108047,0.9962797164916992
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.049474749714136124,0.0,0.8139529824256897,0.7632282376289368
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.049474749714136124,0.9851282238960266,0.09926167130470276,0.9951114654541016
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.049474749714136124,0.9948643445968628,0.05833057314157486,0.9983037114143372
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.06309756636619568,0.0,0.6592923998832703,0.8259949684143066
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.06309756636619568,0.9809229373931885,0.09106137603521347,0.9958834648132324
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.06309756636619568,0.9930481314659119,0.05497090518474579,0.9984936118125916
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.05906924977898598,0.0,0.6398726105690002,0.8356751799583435
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.05906924977898598,0.9783620834350586,0.0941242054104805,0.9956022500991821
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.05906924977898598,0.9924492835998535,0.05560155212879181,0.9984584450721741
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07030075788497925,0.0,0.5005131363868713,0.8880175948143005
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07030075788497925,0.9807832837104797,0.06938324868679047,0.9976030588150024
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.07030075788497925,0.9933931231498718,0.0406830869615078,0.9991735816001892
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7214235663414001,0.0,0.3508269190788269,0.9673621654510498
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7214235663414001,0.6705999970436096,0.20135150849819183,0.9838533401489258
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7214235663414001,0.8715572357177734,0.12573261559009552,0.9927761554718018
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7359496355056763,0.0,0.3300606310367584,0.9698103666305542
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7359496355056763,0.6709578633308411,0.18933004140853882,0.9854338765144348
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7359496355056763,0.8695036768913269,0.11923210322856903,0.9934520721435547
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8375766277313232,0.0,0.22457432746887207,0.9830318093299866
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8375766277313232,0.701064944267273,0.12278589606285095,0.9934661984443665
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8375766277313232,0.8959794640541077,0.07243017852306366,0.9975289106369019
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8521025776863098,0.0,0.20940598845481873,0.9845728874206543
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8521025776863098,0.7026740312576294,0.11418408900499344,0.9942460060119629
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8521025776863098,0.8954523801803589,0.06770896166563034,0.9978209137916565
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9370511770248413,0.0,0.08492496609687805,0.9972001910209656
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9370511770248413,0.8701862096786499,0.03059818409383297,0.9996660947799683
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9370511770248413,0.9630987644195557,0.016313817352056503,0.9998802542686462
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8392643928527832,0.0,0.22335244715213776,0.9831163287162781
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8392643928527832,0.7012908458709717,0.12207170575857162,0.9935473203659058
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8392643928527832,0.8962889909744263,0.07192881405353546,0.9975610375404358
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7160215377807617,0.0,0.27908527851104736,0.9730654358863831
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7160215377807617,0.7326448559761047,0.14430491626262665,0.990633487701416
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.7160215377807617,0.9155749082565308,0.08109097182750702,0.9968266487121582
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7311052083969116,0.0,0.26410743594169617,0.9750928282737732
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7311052083969116,0.7324632406234741,0.13660679757595062,0.9915252923965454
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.7311052083969116,0.9149569869041443,0.07701942324638367,0.9971289038658142
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8255223035812378,0.0,0.17129650712013245,0.9883991479873657
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8255223035812378,0.7421758770942688,0.08697820454835892,0.9964560270309448
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.8255223035812378,0.9216942191123962,0.04793419688940048,0.998878002166748
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8406059741973877,0.0,0.16022948920726776,0.9895254969596863
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8406059741973877,0.7438295483589172,0.08109743148088455,0.9968929290771484
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.8406059741973877,0.9218100309371948,0.044804103672504425,0.9990167617797852
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9396315217018127,0.0,0.059814102947711945,0.9985544681549072
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9396315217018127,0.8483748435974121,0.023291047662496567,0.9997518062591553
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.9396315217018127,0.9607911705970764,0.011843944899737835,0.9999321699142456
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8275644779205322,0.0,0.16985903680324554,0.9885412454605103
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8275644779205322,0.7421776652336121,0.08624798059463501,0.9965111017227173
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.8275644779205322,0.9217027425765991,0.04752936214208603,0.9988959431648254
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.4396730661392212,0.0,0.267668217420578,0.9687466621398926
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.4396730661392212,0.7667953968048096,0.12926039099693298,0.9919351935386658
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.4396730661392212,0.9517568349838257,0.05879155546426773,0.998282790184021
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.5568329095840454,0.0,0.1851433962583542,0.9843288660049438
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.5568329095840454,0.7907003164291382,0.08470175415277481,0.9965021014213562
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.5568329095840454,0.9545900225639343,0.039453357458114624,0.9992249011993408
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.4903189539909363,0.0,0.22719059884548187,0.9769282937049866
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.4903189539909363,0.7661006450653076,0.10987648367881775,0.9941362738609314
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.4903189539909363,0.9520992040634155,0.04972347989678383,0.9987698793411255
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6074787974357605,0.0,0.15576450526714325,0.9887534379959106
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6074787974357605,0.7841413021087646,0.07236910611391068,0.9974300265312195
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6074787974357605,0.9536582231521606,0.03353166580200195,0.999439537525177
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.6536300778388977,0.0,0.14174409210681915,0.9906856417655945
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.6536300778388977,0.7813171148300171,0.06628454476594925,0.9978405833244324
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.6536300778388977,0.9555794596672058,0.029874244704842567,0.9995551705360413
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.49931854009628296,0.0,0.22045032680034637,0.9781890511512756
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.49931854009628296,0.7642982006072998,0.10702671110630035,0.9944326877593994
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.49931854009628296,0.9520775675773621,0.04825922101736069,0.998841404914856
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.06732229888439178,0.0,0.7807801961898804,0.7726853489875793
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.06732229888439178,0.6757686138153076,0.44458651542663574,0.9113365411758423
f81_l0_t1000_cond,,,,0,,1000,cond,7,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.06732229888439178,0.867020308971405,0.2847221791744232,0.9611260890960693
f81_l0_t1000_cond,,,,0,,1000,cond,7,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.07569408416748047,0.0,0.710366427898407,0.7987119555473328
f81_l0_t1000_cond,,,,0,,1000,cond,7,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.07569408416748047,0.6787465214729309,0.4026302695274353,0.9251207113265991
