case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,tail_rank,tokens,query_samples,oracle_only,logical_density,execution_density,keys_mean,keys_min,keys_max,exact_attention_mass,tail_defect_energy_explained,output_relative_l2,output_cosine
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.047109685838222504,0.0,0.7828279137611389,0.7805088758468628
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.047109685838222504,0.8423969745635986,0.31077679991722107,0.9551221132278442
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.047109685838222504,0.9432447552680969,0.1864958554506302,0.9831123948097229
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.09344255179166794,0.0,0.5514844059944153,0.8726282715797424
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.09344255179166794,0.8886337280273438,0.1840391308069229,0.9835859537124634
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.09344255179166794,0.9619816541671753,0.10753011703491211,0.9942806363105774
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.0865941047668457,0.0,0.7596961855888367,0.7886881828308105
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.0865941047668457,0.9313325881958008,0.199074387550354,0.9807955622673035
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.0865941047668457,0.976901113986969,0.11546114832162857,0.9934123158454895
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.13292697072029114,0.0,0.5330426692962646,0.8784787654876709
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.13292697072029114,0.9214949011802673,0.1493518054485321,0.9890917539596558
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.13292697072029114,0.973406195640564,0.08692672103643417,0.9962512254714966
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.17064540088176727,0.0,0.5600147247314453,0.8653133511543274
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.17064540088176727,0.9416809678077698,0.13523969054222107,0.9910143613815308
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.17064540088176727,0.9829831123352051,0.07305322587490082,0.9973462224006653
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.10553839802742004,0.0,0.6122118234634399,0.8497291207313538
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.10553839802742004,0.9275485873222351,0.1647879034280777,0.9867273569107056
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.10553839802742004,0.9764213562011719,0.09400705993175507,0.9956188797950745
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.20600034296512604,0.0,0.72453373670578,0.8238335847854614
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.20600034296512604,0.7361863851547241,0.3721407353878021,0.9390881657600403
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.20600034296512604,0.9089556336402893,0.21861761808395386,0.9772221446037292
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5,0,32760,128,False,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.2093714028596878,0.0,0.7118456363677979,0.8278316855430603
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5,8,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.2093714028596878,0.7369431257247925,0.3650989830493927,0.9411216974258423
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5,16,32760,128,True,0.026429980993270874,0.03253999724984169,834.0,440,1200,0.2093714028596878,0.9090122580528259,0.21472235023975372,0.9779942035675049
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull,0,32760,128,False,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.6177764534950256,0.0,0.25855016708374023,0.9695019721984863
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull,8,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.6177764534950256,0.7694405317306519,0.12414705753326416,0.9924749135971069
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull,16,32760,128,True,0.048220157623291016,0.06011082977056503,1502.25,648,1856,0.6177764534950256,0.9246827363967896,0.07095653563737869,0.9975064396858215
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5_tfull,0,32760,128,False,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6211475133895874,0.0,0.2562205493450165,0.9699761867523193
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5_tfull,8,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6211475133895874,0.7696669697761536,0.12296799570322037,0.9926142692565918
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5_tfull,16,32760,128,True,0.06212078407406807,0.07742274552583694,1946.5,920,2480,0.6211475133895874,0.9245626926422119,0.07037319242954254,0.997546911239624
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_temporal_pm2,0,32760,128,False,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.7284659743309021,0.0,0.14708341658115387,0.9902793765068054
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_temporal_pm2,8,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.7284659743309021,0.7742530703544617,0.06988349556922913,0.9976122379302979
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_temporal_pm2,16,32760,128,True,0.05906694009900093,0.07178950309753418,1836.0,504,2880,0.7284659743309021,0.9211509823799133,0.04130110889673233,0.9991528391838074
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull_anchor12,0,32760,128,False,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.6237304210662842,0.0,0.2539544403553009,0.9705249667167664
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull_anchor12,8,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.6237304210662842,0.7674751281738281,0.12245894223451614,0.9926691651344299
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull_anchor12,16,32760,128,True,0.0691748633980751,0.08589551597833633,2189.625,1368,2576,0.6237304210662842,0.923790454864502,0.07010681182146072,0.9975652694702148
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3,0,32760,128,False,0.012529350817203522,0.015228076837956905,389.75,168,576,0.016517026349902153,0.0,0.7238354086875916,0.7998453378677368
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3,8,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.016517026349902153,0.9208175539970398,0.20368263125419617,0.9799376726150513
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3,16,32760,128,True,0.012529350817203522,0.015228076837956905,389.75,168,576,0.016517026349902153,0.9730045795440674,0.11892813444137573,0.9930133819580078
