case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,mask,tail_rank,error_target,target_reached,dense_fallback_heads,dense_fallback_fraction,effective_attention_density,output_relative_l2,output_cosine
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3,0,0.05,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3,8,0.05,True,11,0.9166666666666666,0.9179356730698297,0.03990672156214714,0.9992105960845947
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,0.02,True,11,0.9166666666666666,0.9179356730698297,0.019526569172739983,0.9998151659965515
f81_l0_t1000_cond,,,,0,,1000,cond,s3,16,0.05,True,8,0.6666666666666666,0.6717426922793189,0.04921426996588707,0.9987974166870117
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5,0,0.05,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5,8,0.05,True,9,0.75,0.7581349993124604,0.04419069364666939,0.9990307092666626
f81_l0_t1000_cond,,,,0,,1000,cond,s5,16,0.02,True,10,0.8333333333333334,0.8387566662083069,0.019209736958146095,0.999821662902832
f81_l0_t1000_cond,,,,0,,1000,cond,s5,16,0.05,True,4,0.3333333333333333,0.3550266648332278,0.04978250712156296,0.9987724423408508
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,0,0.05,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,8,0.02,True,11,0.9166666666666666,0.9216759024808804,0.018277041614055634,0.999838650226593
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,8,0.05,True,8,0.6666666666666666,0.6867036099235216,0.04066464304924011,0.9991797208786011
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,16,0.02,True,9,0.75,0.7650277074426413,0.019821224734187126,0.9998089075088501
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull,16,0.05,True,4,0.3333333333333333,0.37340721984704334,0.04396212100982666,0.9990429878234863
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,0,0.05,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,8,0.02,True,11,0.9166666666666666,0.923118562127153,0.016767121851444244,0.9998651742935181
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,8,0.05,True,6,0.5,0.5387113727629185,0.04962294548749924,0.9987782835960388
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,16,0.02,True,9,0.75,0.7693556863814592,0.018293503671884537,0.9998381733894348
f81_l0_t1000_cond,,,,0,,1000,cond,s5_tfull,16,0.05,True,3,0.25,0.3080670591443777,0.046527303755283356,0.9989334344863892
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,0,0.05,True,10,0.8333333333333334,0.8452982505162557,0.039207667112350464,0.9993176460266113
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,8,0.02,True,10,0.8333333333333334,0.8452982505162557,0.014581697061657906,0.9999054074287415
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,8,0.05,True,4,0.3333333333333333,0.38119300206502277,0.04760639742016792,0.9989135265350342
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,16,0.02,True,7,0.5833333333333334,0.6132456262906393,0.01870082877576351,0.9998348951339722
f81_l0_t1000_cond,,,,0,,1000,cond,s3_temporal_pm2,16,0.05,True,0,0.0,0.07178950309753418,0.03956246376037598,0.9992330074310303
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,0,0.02,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,0,0.05,True,12,1.0,1.0,0.0,1.000005841255188
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,8,0.02,True,10,0.8333333333333334,0.847649252663056,0.018515728414058685,0.9998343586921692
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,8,0.05,True,6,0.5,0.5429477579891682,0.04839037358760834,0.9988369941711426
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,16,0.02,True,8,0.6666666666666666,0.6952985053261121,0.0174813661724329,0.9998528361320496
f81_l0_t1000_cond,,,,0,,1000,cond,s3_tfull_anchor12,16,0.05,True,3,0.25,0.31442163698375225,0.04495526850223541,0.9989999532699585
