mask,tail_rank,oracle_only,execution_density,no_fallback_output_relative_l2,no_fallback_output_cosine,mean_exact_attention_mass,static_sparse_heads,mean_tail_defect_energy_explained,strict_target,strict_dense_fallback_heads,strict_effective_density,strict_output_relative_l2,strict_budget_gate,relaxed_target,relaxed_dense_fallback_heads,relaxed_effective_density,relaxed_output_relative_l2,relaxed_budget_gate
s3,0,False,0.015228076837956905,0.5806812644004822,0.8841053247451782,0.24133004915590087,0,0.0,0.02,12,1.0,0.0,False,0.05,12,1.0,0.0,False
s3,8,True,0.015228076837956905,0.26827043294906616,0.9685333371162415,0.24133004915590087,0,0.8066244671742121,0.02,12,1.0,0.0,False,0.05,11,0.9179356730698297,0.03990672156214714,False
s3,16,True,0.015228076837956905,0.16484923660755157,0.987135648727417,0.24133004915590087,0,0.9296896308660507,0.02,11,0.9179356730698297,0.019526569172739983,False,0.05,8,0.6717426922793189,0.04921426996588707,False
s3_temporal_pm2,0,False,0.07178950309753418,0.3089246451854706,0.9560202956199646,0.44822999741882086,0,0.0,0.02,12,1.0,0.0,False,0.05,10,0.8452982505162557,0.039207667112350464,False
s3_temporal_pm2,8,True,0.07178950309753418,0.0696922168135643,0.9976599216461182,0.44822999741882086,0,0.880922814210256,0.02,10,0.8452982505162557,0.014581697061657906,False,0.05,4,0.38119300206502277,0.04760639742016792,False
s3_temporal_pm2,16,True,0.07178950309753418,0.03956246376037598,0.9992330074310303,0.44822999741882086,0,0.9630366514126459,0.02,7,0.6132456262906393,0.01870082877576351,False,0.05,0,0.07178950309753418,0.03956246376037598,True
s3_tfull,0,False,0.06011082977056503,0.3881398141384125,0.9383668303489685,0.35813833214342594,0,0.0,0.02,12,1.0,0.0,False,0.05,12,1.0,0.0,False
s3_tfull,8,True,0.06011082977056503,0.14087438583374023,0.9907047748565674,0.35813833214342594,0,0.8353217293818792,0.02,11,0.9216759024808804,0.018277041614055634,False,0.05,8,0.6867036099235216,0.04066464304924011,False
s3_tfull,16,True,0.06011082977056503,0.0810789242386818,0.9968041181564331,0.35813833214342594,0,0.94715383152167,0.02,9,0.7650277074426413,0.019821224734187126,False,0.05,4,0.37340721984704334,0.04396212100982666,False
s3_tfull_anchor12,0,False,0.08589551597833633,0.3216637074947357,0.9568924307823181,0.3710306795934836,0,0.0,0.02,12,1.0,0.0,False,0.05,12,1.0,0.0,False
s3_tfull_anchor12,8,True,0.08589551597833633,0.13214729726314545,0.9918205142021179,0.3710306795934836,0,0.8394931852817535,0.02,10,0.847649252663056,0.018515728414058685,False,0.05,6,0.5429477579891682,0.04839037358760834,False
s3_tfull_anchor12,16,True,0.08589551597833633,0.07593362033367157,0.9971969127655029,0.3710306795934836,0,0.9486339737971624,0.02,8,0.6952985053261121,0.0174813661724329,False,0.05,3,0.31442163698375225,0.04495526850223541,False
s5,0,False,0.03253999724984169,0.5290526151657104,0.8996604084968567,0.2658694290245573,0,0.0,0.02,12,1.0,0.0,False,0.05,12,1.0,0.0,False
s5,8,True,0.03253999724984169,0.2418360710144043,0.9740638136863708,0.2658694290245573,0,0.823896124958992,0.02,12,1.0,0.0,False,0.05,9,0.7581349993124604,0.04419069364666939,False
s5,16,True,0.03253999724984169,0.14843496680259705,0.9895108938217163,0.2658694290245573,0,0.9364338417847952,0.02,10,0.8387566662083069,0.019209736958146095,False,0.05,4,0.3550266648332278,0.04978250712156296,False
s5_tfull,0,False,0.07742274552583694,0.3358384668827057,0.9520849585533142,0.38267769509305555,0,0.0,0.02,12,1.0,0.0,False,0.05,12,1.0,0.0,False
s5_tfull,8,True,0.07742274552583694,0.12955600023269653,0.9920786023139954,0.38267769509305555,0,0.836672360698382,0.02,11,0.923118562127153,0.016767121851444244,False,0.05,6,0.5387113727629185,0.04962294548749924,False
s5_tfull,16,True,0.07742274552583694,0.07505253702402115,0.9972538352012634,0.38267769509305555,0,0.9468904137611389,0.02,9,0.7693556863814592,0.018293503671884537,False,0.05,3,0.3080670591443777,0.046527303755283356,False
