case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,logical_density,execution_density,exact_attention_mass_mean,output_relative_l2,defect_squared_norm,reference_squared_norm,query_output_nrmse_p95,query_output_nrmse_p99,query_cosine_p05,absolute_lse_error_p95,numerator_relative_l2_p95,static_sparse_head_gate
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3,0.012529350817203522,0.015228076837956905,0.047109685838222504,0.7828279137611389,455.2052001953125,742.8045654296875,1.0779788494110107,1.3224432468414307,0.6327165961265564,3.656550168991089,0.9778063893318176,False
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5,0.026429980993270874,0.03253999724984169,0.09344255179166794,0.5514844059944153,225.91302490234375,742.8045654296875,0.7641331553459167,0.8677939772605896,0.7600969076156616,2.844221353530884,0.9443657994270325,False
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull,0.048220157623291016,0.06011082977056503,0.0865941047668457,0.7596961855888367,428.701171875,742.8045654296875,1.0466059446334839,1.1949195861816406,0.6194663643836975,3.0404253005981445,0.9621307849884033,False
f81_l0_t1000_cond,,,,0,,1000,cond,0,s5_tfull,0.06212078407406807,0.07742274552583694,0.13292697072029114,0.5330426692962646,211.0564727783203,742.8045654296875,0.7763994336128235,0.8276355862617493,0.7606480121612549,2.51247239112854,0.9290597438812256,False
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.17064540088176727,0.5600147247314453,232.95602416992188,742.8045654296875,0.7672502398490906,0.9366986155509949,0.7591594457626343,2.3532209396362305,0.9281556606292725,False
f81_l0_t1000_cond,,,,0,,1000,cond,0,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.10553839802742004,0.6122118234634399,278.4058532714844,742.8045654296875,0.8913601636886597,0.9591162204742432,0.7074186205863953,2.6785688400268555,0.9417738914489746,False
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3,0.012529350817203522,0.015228076837956905,0.20600034296512604,0.72453373670578,2216.502685546875,4222.31689453125,0.970888078212738,1.066779613494873,0.7288578748703003,1.8580058813095093,0.8556987047195435,False
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5,0.026429980993270874,0.03253999724984169,0.2093714028596878,0.7118456363677979,2139.550537109375,4222.31689453125,0.9509893655776978,1.049329400062561,0.7326737642288208,1.8389064073562622,0.8536849021911621,False
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull,0.048220157623291016,0.06011082977056503,0.6177764534950256,0.25855016708374023,282.2544250488281,4222.31689453125,0.4226166605949402,0.5548750162124634,0.9202515482902527,1.001491904258728,0.6460294723510742,False
f81_l0_t1000_cond,,,,0,,1000,cond,1,s5_tfull,0.06212078407406807,0.07742274552583694,0.6211475133895874,0.2562205493450165,277.1908874511719,4222.31689453125,0.42111149430274963,0.5506215691566467,0.9213613867759705,0.9924274682998657,0.6426965594291687,False
