prompt_index,prompt,method,repeat,method_order_index,seed,status,seconds_including_text_and_vae,denoiser_seconds,decode_seconds_rank0,self_attention_calls_all_ranks,cross_attention_calls_all_ranks,peak_allocated_mib_max_rank,video_file,video_sha256,latent_file,latent_sha256,error
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,sequential,0,0,20260726,ok,5.810496846039314,5.173766329011414,0.5502797039807774,1200.0,1200.0,20722.6865234375,0000_sequential_seed20260726_repeat00.mp4,a4fa88bf6e946d05d04c66d6d54d186cfc0913aa21ac977105351a0153ac383f,0000_sequential_seed20260726_repeat00.latent.pt,11693d3f3441b3dc5a0cccbf2d98048b1e7a6524babddd2cfab8dad76c09f140,
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,cfg_parallel,0,1,20260726,ok,3.2984527260414325,2.6772511359886266,0.5490162600181065,1200.0,1200.0,20718.6865234375,0000_cfg_parallel_seed20260726_repeat00.mp4,a4fa88bf6e946d05d04c66d6d54d186cfc0913aa21ac977105351a0153ac383f,0000_cfg_parallel_seed20260726_repeat00.latent.pt,87ca1133baa1c2a9647fd59eafa1d6cace177420f842cdafcad81a9ebec93dd2,
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,cfg_parallel,1,0,20260726,ok,3.2893193860072643,2.666595488029998,0.5527508819941431,1200.0,1200.0,20718.6865234375,0000_cfg_parallel_seed20260726_repeat01.mp4,a4fa88bf6e946d05d04c66d6d54d186cfc0913aa21ac977105351a0153ac383f,0000_cfg_parallel_seed20260726_repeat01.latent.pt,40a6558ab82be24c7e8cca9f6483f897ffde9f0a6619b6c213b259defa5d25fe,
0,A red panda runs through a bamboo forest while the camera tracks smoothly.,sequential,1,1,20260726,ok,5.87810928496765,5.232017770991661,0.5500072999857366,1200.0,1200.0,20722.6865234375,0000_sequential_seed20260726_repeat01.mp4,a4fa88bf6e946d05d04c66d6d54d186cfc0913aa21ac977105351a0153ac383f,0000_sequential_seed20260726_repeat01.latent.pt,c126efb6adef6548bd53b841d22cd05d30de9847fed7a412e0eafffa3f62597e,
