weight_key,method,params,budget,budget_ratio,fit_weight_rel_fro,fit_activation_rel_l2,fit_activation_cosine,holdout_weight_rel_fro,holdout_activation_rel_l2,holdout_activation_cosine,notes
blocks.0.self_attn.q.weight,ternary_main,0,49152,0.0,0.5113024711608887,0.5107846856117249,0.8885383605957031,0.5113024711608887,0.5118538737297058,0.8869155645370483,RobuQ ternary main branch
blocks.0.self_attn.q.weight,fro_lowrank_r4,12288,49152,0.25,0.46980589628219604,0.4682660698890686,0.8926569223403931,0.46980589628219604,0.47237271070480347,0.8907267451286316,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r4,12288,49152,0.25,0.4974774122238159,0.46635282039642334,0.8938447833061218,0.4974774122238159,0.49834221601486206,0.8867738246917725,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_lowrank_r8,24576,49152,0.5,0.4644487798213959,0.46300938725471497,0.8946510553359985,0.4644487798213959,0.46698489785194397,0.8928064703941345,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r8,24576,49152,0.5,0.4957388937473297,0.45874959230422974,0.8969030380249023,0.4957388937473297,0.4965823292732239,0.887359619140625,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_lowrank_r16,49152,49152,1.0,0.4585205018520355,0.4569069445133209,0.8971878290176392,0.4585205018520355,0.46107032895088196,0.8953104615211487,Frobenius SVD of quantization error
blocks.0.self_attn.q.weight,activation_lowrank_r16,49152,49152,1.0,0.49331802129745483,0.4465239346027374,0.9019593000411987,0.49331802129745483,0.49411705136299133,0.8882582187652588,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.q.weight,fro_bcm_b64,36864,49152,0.75,0.5072660446166992,0.5067949295043945,0.8893887996673584,0.5072660446166992,0.5078930854797363,0.8878136873245239,Frobenius block-circulant projection
blocks.0.self_attn.q.weight,fro_bcm_plus_lr_b64_r4,49152,49152,1.0,0.4667370915412903,0.46526452898979187,0.8937196731567383,0.4667370915412903,0.46934452652931213,0.8918120861053467,Frobenius BCM followed by Frobenius low rank
blocks.0.self_attn.q.weight,activation_bcm_b64,36864,49152,0.75,0.5192062854766846,0.49471187591552734,0.8926104307174683,0.5192062854766846,0.5197799205780029,0.8760573863983154,Activation-aware shared-generator least squares
blocks.0.self_attn.q.weight,activation_bcm_plus_lr_b64_r4,49152,49152,1.0,0.5068110823631287,0.4542454779148102,0.898297131061554,0.5068110823631287,0.5076897740364075,0.8767509460449219,Activation-aware BCM followed by activation-aware low rank
blocks.0.self_attn.q.weight,fro_bcm_b128,18432,49152,0.375,0.5092715620994568,0.508690357208252,0.8889949917793274,0.5092715620994568,0.5098446607589722,0.8873435258865356,Frobenius block-circulant projection
blocks.0.self_attn.q.weight,fro_bcm_plus_lr_b128_r10,49152,49152,1.0,0.46128198504447937,0.45984703302383423,0.8958427309989929,0.46128198504447937,0.46391329169273376,0.8939588069915771,Frobenius BCM followed by Frobenius low rank
blocks.0.self_attn.q.weight,activation_bcm_b128,18432,49152,0.375,0.515247106552124,0.5025628209114075,0.8905314803123474,0.515247106552124,0.5158678889274597,0.8812832832336426,Activation-aware shared-generator least squares
blocks.0.self_attn.q.weight,activation_bcm_plus_lr_b128_r10,49152,49152,1.0,0.4998945891857147,0.4499208927154541,0.9002180099487305,0.4998945891857147,0.5007392764091492,0.8824594616889954,Activation-aware BCM followed by activation-aware low rank
blocks.0.self_attn.q.weight,activation_lr_r8_row_sparse_b16,49152,49152,1.0,0.4919675290584564,0.45575836300849915,0.8982217907905579,0.4919675290584564,0.4928145110607147,0.8886933922767639,Activation-energy-selected output-row blocks
blocks.0.self_attn.o.weight,ternary_main,0,49152,0.0,0.5107833743095398,0.5104590654373169,0.8881524205207825,0.5107833743095398,0.5112259387969971,0.8877253532409668,RobuQ ternary main branch
blocks.0.self_attn.o.weight,fro_lowrank_r4,12288,49152,0.25,0.5044431090354919,0.504197359085083,0.8877386450767517,0.5044431090354919,0.5049035549163818,0.8873516321182251,Frobenius SVD of quantization error
blocks.0.self_attn.o.weight,activation_lowrank_r4,12288,49152,0.25,0.5085574388504028,0.501623272895813,0.8888843655586243,0.5085574388504028,0.5090080499649048,0.8877917528152466,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.o.weight,fro_lowrank_r8,24576,49152,0.5,0.49949029088020325,0.4994966685771942,0.8878576755523682,0.49949029088020325,0.5001135468482971,0.8875513076782227,Frobenius SVD of quantization error
blocks.0.self_attn.o.weight,activation_lowrank_r8,24576,49152,0.5,0.506725013256073,0.4937911331653595,0.8902171850204468,0.506725013256073,0.5072152018547058,0.8879474997520447,Activation-aware SVD lifted through ridge regression
blocks.0.self_attn.o.weight,fro_lowrank_r16,49152,49152,1.0,0.4913675785064697,0.4912191331386566,0.8890116214752197,0.4913675785064697,0.49201563000679016,0.8886277675628662,Frobenius SVD of quantization error
