layer,flow_point,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,feature_coefficient_r2,previous_flow_coefficient_r2,flow_rank8_energy
0,0,98,raw_reuse,0.6409973312127915,0.6266015768051147,0.9739839434623718,0.6188098621904523,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_reuse,0.012049522936378489,0.011802088469266891,0.01848869705572724,0.1460106430983274,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_toeplitz_r2,0.01635405935765228,0.016521526500582695,0.02795831328257918,0.06731145679651136,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_circular_r2,0.01635405935765228,0.016521526500582695,0.02795831328257918,0.06731145679651136,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_rank8_feature,0.007873115698372403,0.007651336956769228,0.012379687419161201,0.02493144769268817,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_rank8_prev_flow,0.00521444401922084,0.004950158763676882,0.009496491495519876,0.014221247145352167,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,shift_rank8_oracle,0.005250879694855962,0.004983546212315559,0.009603906562551856,0.014206204040384928,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,flow_reuse,0.006529803399741577,0.006423580925911665,0.011158701172098516,0.007692522802264975,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,flow_toeplitz_r2,0.005251610519843098,0.005160407163202763,0.00860254387371242,0.007065796429283589,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
0,0,98,flow_rank8_oracle,0.0022420602536314055,0.0022578404750674963,0.0030736378394067287,0.004857469123712289,0.9905335516756729,0.9141068597546251,0.9999124923479933,0.6012666946388009
