layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,quality_cosine,test_samples,accuracy,balanced_accuracy,controller_static_bits,tree_nodes,tree_depth,parameter_count,normalizer_parameter_count,gate_count,depth,input_bits,val_soft_accuracy,val_hard_accuracy,val_discretization_gap,val_soft_hard_agreement
15,0.5,threshold,ema_050,pq_0p5b_k16_d8,1.0,0.95,150,0.6933333333333334,0.3619402985074627,56,,,,,,,,,,,
15,0.5,decision_tree,ema_050,pq_0p5b_k16_d8,1.0,0.95,150,0.8866666666666667,0.4708551835417507,118,11,3,,,,,,,,,
15,0.5,mlp,ema_050,pq_0p5b_k16_d8,1.0,0.95,150,0.8133333333333334,0.43192819685357,9792,,,292,14,,,,,,,
15,0.5,dlgn,ema_050,pq_0p5b_k16_d8,1.0,0.95,150,0.8466666666666667,0.4484671238402582,2256,,,,,128,2,21,0.6800000071525574,0.9200000166893005,-0.24000000953674316,0.7200000286102295
15,1.0,threshold,ema_050,pq_1p5b_k64_d4,0.5,0.95,150,0.6933333333333334,0.5054664179104478,56,,,,,,,,,,,
15,1.0,decision_tree,ema_050,pq_1p5b_k64_d4,0.5,0.95,150,0.5866666666666667,0.479384328358209,72,7,2,,,,,,,,,
15,1.0,mlp,ema_050,pq_1p5b_k64_d4,0.5,0.95,150,0.72,0.5543390191897655,9792,,,292,14,,,,,,,
15,1.0,dlgn,ema_050,pq_1p5b_k64_d4,0.5,0.95,150,0.68,0.41871002132196167,2256,,,,,128,2,21,0.4533333480358124,0.7200000286102295,-0.2666666805744171,0.7066666483879089
15,1.58,threshold,ema_050,pq_1p5b_k64_d4,1.0,0.95,150,0.56,0.4480514096185738,56,,,,,,,,,,,
15,1.58,decision_tree,ema_050,pq_1p5b_k64_d4,1.0,0.95,150,0.62,0.49396766169154227,210,19,4,,,,,,,,,
15,1.58,mlp,ema_050,pq_1p5b_k64_d4,1.0,0.95,150,0.72,0.5527155887230515,9792,,,292,14,,,,,,,
