run_name,model_family,method,trainable_params,relative_fro_error,stored_params,rank,block_size
qwen2_5_qproj_retry,Qwen2.5,bcm_only,73728,0.9950040578842164,73728,0,32
qwen2_5_qproj_retry,Qwen2.5,bcm_plus_lowrank,159744,0.9016262292861938,159744,4,16
qwen2_5_qproj_retry,Qwen2.5,bcm_plus_lowrank,172032,0.8802123665809631,172032,8,16
qwen2_5_qproj_retry,Qwen2.5,bcm_plus_lowrank,86016,0.8934679627418518,86016,4,32
qwen2_5_qproj_retry,Qwen2.5,bcm_plus_lowrank,98304,0.8685341477394104,98304,8,32
qwen2_5_qproj_retry,Qwen2.5,generator_delta_bcm,294912,1.660815715789795,294912,0,16
qwen2_5_qproj_retry,Qwen2.5,generator_delta_bcm,147456,1.1851956844329834,147456,0,32
qwen3_downproj_retry,Qwen3,lowrank_svd,16384,0.9916548728942872,16384,4,16
qwen3_downproj_retry,Qwen3,lowrank_svd,32768,0.9853634238243104,32768,8,16
qwen3_downproj_retry,Qwen3,lowrank_svd,65536,0.975366473197937,65536,16,16
qwen3_downproj_retry,Qwen3,lowrank_svd,16384,0.9907492399215698,16384,4,32
qwen3_downproj_retry,Qwen3,lowrank_svd,32768,0.9856764674186708,32768,8,32
qwen3_downproj_retry,Qwen3,lowrank_svd,65536,0.975268006324768,65536,16,32
qwen3_downproj_retry,Qwen3,lowrank_svd,16384,0.9905829429626464,16384,4,64
qwen3_downproj_retry,Qwen3,lowrank_svd,32768,0.9852067828178406,32768,8,64
qwen3_downproj_retry,Qwen3,lowrank_svd,65536,0.9751105308532716,65536,16,64
qwen3_downproj_retry,Qwen3,bcm_only,196608,1.0704044103622437,196608,0,16
qwen3_downproj_retry,Qwen3,bcm_only,98304,1.018549919128418,98304,0,32
qwen3_downproj_retry,Qwen3,bcm_only,49152,1.004585862159729,49152,0,64
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,212992,1.0613714456558228,212992,4,16
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,229376,1.0561316013336182,229376,8,16
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,262144,1.0471606254577637,262144,16,16
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,114688,1.008204221725464,114688,4,32
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,131072,1.001816749572754,131072,8,32
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,163840,0.9913665056228638,163840,16,32
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,65536,0.9953212141990662,65536,4,64
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,81920,0.9887909889221193,81920,8,64
qwen3_downproj_retry,Qwen3,bcm_plus_lowrank,114688,0.9794145226478576,114688,16,64
qwen3_downproj_retry,Qwen3,generator_delta_bcm,393216,2.6455023288726807,393216,0,16
qwen3_downproj_retry,Qwen3,generator_delta_bcm,196608,1.53030526638031,196608,0,32
qwen3_downproj_retry,Qwen3,generator_delta_bcm,98304,1.1649830341339111,98304,0,64
qwen3_qproj_only,Qwen3,bcm_only,131072,0.9785813689231871,131072,0,16
qwen3_qproj_only,Qwen3,bcm_only,65536,0.9874476790428162,65536,0,32
qwen3_qproj_only,Qwen3,bcm_only,32768,0.993463933467865,32768,0,64
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,143360,0.9348293542861938,143360,4,16
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,155648,0.922633409500122,155648,8,16
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,180224,0.9051374793052672,180224,16,16
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,77824,0.9442622661590576,77824,4,32
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,90112,0.929805338382721,90112,8,32
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,114688,0.912629008293152,114688,16,32
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,45056,0.9482884407043456,45056,4,64
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,57344,0.9356613159179688,57344,8,64
qwen3_qproj_only,Qwen3,bcm_plus_lowrank,81920,0.9179668426513672,81920,16,64
qwen3_two_layers,Qwen3,lowrank_svd,16384,0.9909679889678956,16384,4,32
qwen3_two_layers,Qwen3,lowrank_svd,32768,0.9851032495498656,32768,8,32
qwen3_two_layers,Qwen3,bcm_only,98304,0.9846070408821106,98304,0,32
qwen3_two_layers,Qwen3,bcm_plus_lowrank,114688,0.9732006788253784,114688,4,32
qwen3_two_layers,Qwen3,bcm_plus_lowrank,131072,0.9663461446762084,131072,8,32
qwen3_two_layers,Qwen3,generator_delta_bcm,196608,1.190972089767456,196608,0,32
qwen3_two_layers,Qwen3,lowrank_svd,12288,0.9556776881217957,12288,4,32
qwen3_two_layers,Qwen3,lowrank_svd,24576,0.9437864422798156,24576,8,32
qwen3_two_layers,Qwen3,bcm_only,65536,0.9846430420875548,65536,0,32
qwen3_two_layers,Qwen3,bcm_plus_lowrank,77824,0.9404229521751404,77824,4,32
qwen3_two_layers,Qwen3,bcm_plus_lowrank,90112,0.925849437713623,90112,8,32
qwen3_two_layers,Qwen3,generator_delta_bcm,131072,1.092962622642517,131072,0,32
