spectrum_name,rank,energy_ratio,block_size,layer_key,bcm_relative_fro_error
bert_retry:bert__encoder__layer__0__attention__self__query__weight,1,0.0214146617799997,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,2,0.0389397069811821,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,4,0.0703586861491203,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,8,0.1221835538744926,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,16,0.1950709968805313,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,32,0.2995985448360443,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
bert_retry:bert__encoder__layer__0__attention__self__query__weight,64,0.4402707517147064,32,bert.encoder.layer.0.attention.self.query.weight,0.998534381389618
llama2:model__layers__0__self_attn__q_proj__weight,1,0.1253339201211929,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,2,0.1814306080341339,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,4,0.2662339806556701,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,8,0.3785127103328705,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,16,0.4930590391159057,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,32,0.6046388745307922,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
llama2:model__layers__0__self_attn__q_proj__weight,64,0.7023431658744812,32,model.layers.0.self_attn.q_proj.weight,1.080810546875
qwen3:model__layers__0__self_attn__q_proj__weight,1,0.043318822979927,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,2,0.0600411333143711,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,4,0.0835052654147148,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,8,0.1076965034008026,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,16,0.1397642791271209,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,32,0.1869635134935379,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
qwen3:model__layers__0__self_attn__q_proj__weight,64,0.2658550441265106,32,model.layers.0.self_attn.q_proj.weight,1.009880781173706
plots:model__layers__0__self_attn__q_proj__weight,1,0.1252618134021759,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,2,0.1814529448747635,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,4,0.2661678194999695,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,8,0.3783471584320068,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,16,0.4929651618003845,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,32,0.6046667695045471,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
plots:model__layers__0__self_attn__q_proj__weight,64,0.7024832963943481,32,model.layers.0.self_attn.q_proj.weight,1.080613136291504
