run_name,method,rank,relative_fro_error
bert_query_only,bcm_plus_lowrank,4,0.9647914171218872
bert_query_only,bcm_plus_lowrank,8,0.937635898590088
bert_query_only,lowrank_svd,4,0.9662427306175232
bert_query_only,lowrank_svd,8,0.9393500685691832
bitnet_downproj_retry,bcm_plus_lowrank,4,0.9561945796012878
bitnet_downproj_retry,bcm_plus_lowrank,8,0.9487605690956116
bitnet_downproj_retry,lowrank_svd,4,0.962598979473114
bitnet_downproj_retry,lowrank_svd,8,0.9572067856788636
bitnet_qproj_retry,bcm_plus_lowrank,4,0.930387318134308
bitnet_qproj_retry,bcm_plus_lowrank,8,0.9112623929977416
bitnet_qproj_retry,lowrank_svd,4,0.9305311441421508
bitnet_qproj_retry,lowrank_svd,8,0.9156500101089478
llama2_qproj_gpu,bcm_plus_lowrank,4,0.9374072551727296
llama2_qproj_gpu,bcm_plus_lowrank,8,0.8727145791053772
llama2_qproj_gpu,lowrank_svd,4,0.8245810866355896
llama2_qproj_gpu,lowrank_svd,8,0.7361974120140076
llama2_qproj_retry,bcm_plus_lowrank,4,0.8923934102058411
llama2_qproj_retry,bcm_plus_lowrank,8,0.8187664747238159
llama2_qproj_retry,bcm_plus_lowrank,16,0.7317479848861694
llama2_qproj_retry,lowrank_svd,4,0.8245810866355896
llama2_qproj_retry,lowrank_svd,8,0.7361974120140076
llama2_qproj_retry,lowrank_svd,16,0.6321438550949097
mistral_qproj_retry,bcm_plus_lowrank,4,1.638690948486328
mistral_qproj_retry,bcm_plus_lowrank,8,1.5969340801239014
mistral_qproj_retry,lowrank_svd,4,0.7045063972473145
mistral_qproj_retry,lowrank_svd,8,0.5853903293609619
qwen2_5_qproj_retry,bcm_plus_lowrank,4,0.8934679627418518
qwen2_5_qproj_retry,bcm_plus_lowrank,8,0.8685341477394104
qwen2_5_qproj_retry,lowrank_svd,4,0.8879282474517822
qwen2_5_qproj_retry,lowrank_svd,8,0.8599575757980347
qwen3_downproj_retry,bcm_plus_lowrank,4,0.9953212141990662
qwen3_downproj_retry,bcm_plus_lowrank,8,0.9887909889221193
qwen3_downproj_retry,bcm_plus_lowrank,16,0.9794145226478576
qwen3_downproj_retry,lowrank_svd,4,0.9905829429626464
qwen3_downproj_retry,lowrank_svd,8,0.9852067828178406
qwen3_downproj_retry,lowrank_svd,16,0.9751105308532716
qwen3_qproj_only,bcm_plus_lowrank,4,0.9348293542861938
qwen3_qproj_only,bcm_plus_lowrank,8,0.922633409500122
qwen3_qproj_only,bcm_plus_lowrank,16,0.9051374793052672
qwen3_two_layers,bcm_plus_lowrank,4,0.9404229521751404
qwen3_two_layers,bcm_plus_lowrank,8,0.925849437713623
qwen3_two_layers,lowrank_svd,4,0.9556776881217957
qwen3_two_layers,lowrank_svd,8,0.9437864422798156
