model,weight_key,role,block_index,control,block_size,row_neighbor_cosine,column_neighbor_cosine,circulant_retained_energy,circulant_random_expectation
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,0.016694919071100697,0.007849051476789324,0.014787804545525876,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,0.002637987381820371,-0.007668154145759717,0.014739305692262703,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,-0.014842862147039488,-0.009458085907719722,0.01619110706445642,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,smooth_positive_control,64,0.9857331613846653,0.9695390552429488,0.00013582079645995141,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,original,64,0.038484197901982035,-0.012105820362822076,0.016216387828082386,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,0.018870325007897013,-0.0023822625055263226,0.014509328087742112,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,-0.0007756556426716692,-0.009892932381336223,0.017051009795185378,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,smooth_positive_control,64,0.9841434316342476,0.983009526729191,0.0007027226733890745,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,2,original,64,0.05566272019334147,-0.011543258018027336,0.017182799737142974,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,2,rowcol_shuffled,64,0.007405502013276702,-0.0385331372116559,0.0198043507072868,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,2,matched_gaussian,64,-0.0024228662392508714,-0.010276369431326206,0.014228876007702129,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,2,smooth_positive_control,64,0.9623094933457991,0.9737924901479289,0.0001809220504605434,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,3,original,64,0.04813423691954281,-0.02934568464821758,0.013558474119981923,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,3,rowcol_shuffled,64,0.0341302718502713,-0.008120563052286943,0.017820311244524677,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,3,matched_gaussian,64,0.02767715658520162,0.011206411135537097,0.013335427313462,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,3,smooth_positive_control,64,0.9796933029734964,0.9795758011468892,0.00029881057876489223,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,4,original,64,-0.0018494841726821494,0.004216305666587744,0.015954802782504777,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,4,rowcol_shuffled,64,0.00783770962207006,0.04311164226213039,0.012646884605104986,0.015625
