method,deployable_candidate,landmark_mode,landmarks,pinv_rtol,density,records,aggregate_output_relative_l2,record_error_p95,record_error_max,projected_attention_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,mass_absolute_error_mean,negative_absolute_mass_ratio_mean
dense_mass_landmark_partition_diagnostic,False,segment,128,0.0001,0.125,48,0.30419789294839156,0.5108330094633093,0.8412646043404335,0.26759069967873944,3.737050656844827,0.6853937457005183,0.08296677144244313,0.17800064864422893
dense_mass_landmark_partition_diagnostic,False,segment,128,0.0001,0.25,48,0.18879421232890975,0.37417545583065903,0.45181404114037693,0.5175907145799007,1.9320284770016476,0.8041954065362612,0.06001981305113683,0.17800064864422893
dense_mass_landmark_partition_diagnostic,False,segment,32,0.0001,0.125,48,0.3302781122857992,0.6039135827733535,1.0568179551677834,0.16651087113620852,6.005613886807332,0.6853937457005183,0.08296677144244313,0.10749275500984368
dense_mass_landmark_partition_diagnostic,False,segment,32,0.0001,0.25,48,0.19878411701101398,0.3835841174273966,0.5568703783937774,0.32276088044943424,3.0982689060939848,0.8041954065362612,0.06001981305113683,0.10749275500984368
dense_mass_landmark_partition_diagnostic,False,segment,64,0.0001,0.125,48,0.31399168188920007,0.54564165292296,0.9167713563401978,0.20020414731705216,4.994901521277457,0.6853937457005183,0.08296677144244313,0.13391763468825957
dense_mass_landmark_partition_diagnostic,False,segment,64,0.0001,0.25,48,0.1925501088619009,0.37986679293321346,0.487200905981229,0.38770415849292306,2.5792862369265857,0.8041954065362612,0.06001981305113683,0.13391763468825957
dense_mass_nystrom_mixture_diagnostic,False,segment,128,0.0001,0.125,48,0.30644564639272326,0.5635625293021328,0.8510693029261046,0.14063200276977267,7.110757013374052,0.6853937457005183,0.08296677144244313,0.17800064864422893
dense_mass_nystrom_mixture_diagnostic,False,segment,128,0.0001,0.25,48,0.19536067310179314,0.348832316755713,0.6543262415185775,0.26563201022035327,3.7646065290491784,0.8041954065362612,0.06001981305113683,0.17800064864422893
dense_mass_nystrom_mixture_diagnostic,False,segment,32,0.0001,0.125,48,0.41007941347515703,0.7519858088083332,1.9356361331932257,0.1347711969089668,7.419983074539768,0.6853937457005183,0.08296677144244313,0.10749275500984368
dense_mass_nystrom_mixture_diagnostic,False,segment,32,0.0001,0.25,48,0.2605282175139925,0.4103264795442921,1.3817587762936696,0.2597712043595474,3.849541378019356,0.8041954065362612,0.06001981305113683,0.10749275500984368
dense_mass_nystrom_mixture_diagnostic,False,segment,64,0.0001,0.125,48,0.29848668718220633,0.5670218744689025,0.7359857586424038,0.13672479886256875,7.313962121861792,0.6853937457005183,0.08296677144244313,0.13391763468825957
dense_mass_nystrom_mixture_diagnostic,False,segment,64,0.0001,0.25,48,0.18561168257202754,0.3360820202790329,0.4806846695282254,0.26172480631314937,3.820807106849156,0.8041954065362612,0.06001981305113683,0.13391763468825957
landmark_linear,True,segment,128,0.0001,0.0,48,1.0574732973850098,1.6971534658022316,2.192792487709606,0.007814407814407806,127.96875000000014,0.0,0.0,0.17800064864422893
