sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,exact_final_margin,normalized_adverse_shift
vsi_question_1320,vsi_pca_train96_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,pooled3_pca_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,cmrq_risk_atoms32_r456,1,0,1.5,0.0,1.5,0.0
vsi_question_1320,cmrq_mix_g32_w0p3_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_1320,permuted_mix_g32_w0p3_r456,1,0,1.5,-0.125,1.375,0.0833333358168602
vsi_question_3068,vsi_pca_train96_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,vsi_pca_train96_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,vsi_pca_train96_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,pooled3_pca_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,pooled3_pca_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,pooled3_pca_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,2,3.125,0.0,3.125,0.0
vsi_question_3068,cmrq_risk_atoms32_r456,1,3,2.875,0.0,2.875,0.0
vsi_question_3068,cmrq_mix_g32_w0p3_r456,1,0,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,cmrq_mix_g32_w0p3_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,cmrq_mix_g32_w0p3_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_3068,permuted_mix_g32_w0p3_r456,1,0,2.875,0.0,2.875,0.0
vsi_question_3068,permuted_mix_g32_w0p3_r456,1,2,3.125,-0.125,3.0,0.03999999910593033
vsi_question_3068,permuted_mix_g32_w0p3_r456,1,3,2.875,-0.125,2.75,0.043478261679410934
vsi_question_1585,vsi_pca_train96_r456,2,0,0.25,0.125,0.375,0.0
vsi_question_1585,vsi_pca_train96_r456,2,1,0.125,0.125,0.25,0.0
vsi_question_1585,pooled3_pca_r456,2,0,0.25,0.0,0.25,0.0
vsi_question_1585,pooled3_pca_r456,2,1,0.125,0.125,0.25,0.0
vsi_question_1585,cmrq_risk_atoms32_r456,2,0,0.25,0.125,0.375,0.0
vsi_question_1585,cmrq_risk_atoms32_r456,2,1,0.125,0.125,0.25,0.0
vsi_question_1585,cmrq_mix_g32_w0p3_r456,2,0,0.25,0.0,0.25,0.0
vsi_question_1585,cmrq_mix_g32_w0p3_r456,2,1,0.125,0.0,0.125,0.0
vsi_question_1585,permuted_mix_g32_w0p3_r456,2,0,0.25,0.125,0.375,0.0
vsi_question_1585,permuted_mix_g32_w0p3_r456,2,1,0.125,0.125,0.25,0.0
vsi_question_3110,vsi_pca_train96_r456,3,0,2.625,-0.125,2.5,0.0476190485060215
vsi_question_3110,vsi_pca_train96_r456,3,1,2.125,-0.125,2.0,0.05882352963089943
vsi_question_3110,vsi_pca_train96_r456,3,2,2.125,-0.125,2.0,0.05882352963089943
vsi_question_3110,pooled3_pca_r456,3,0,2.625,0.0,2.625,0.0
vsi_question_3110,pooled3_pca_r456,3,1,2.125,0.0,2.125,0.0
vsi_question_3110,pooled3_pca_r456,3,2,2.125,0.0,2.125,0.0
vsi_question_3110,cmrq_risk_atoms32_r456,3,0,2.625,-0.125,2.5,0.0476190485060215
vsi_question_3110,cmrq_risk_atoms32_r456,3,1,2.125,-0.125,2.0,0.05882352963089943
vsi_question_3110,cmrq_risk_atoms32_r456,3,2,2.125,0.0,2.125,0.0
vsi_question_3110,cmrq_mix_g32_w0p3_r456,3,0,2.625,0.0,2.625,0.0
vsi_question_3110,cmrq_mix_g32_w0p3_r456,3,1,2.125,0.0,2.125,0.0
vsi_question_3110,cmrq_mix_g32_w0p3_r456,3,2,2.125,0.0,2.125,0.0
vsi_question_3110,permuted_mix_g32_w0p3_r456,3,0,2.625,-0.125,2.5,0.0476190485060215
vsi_question_3110,permuted_mix_g32_w0p3_r456,3,1,2.125,0.0,2.125,0.0
vsi_question_3110,permuted_mix_g32_w0p3_r456,3,2,2.125,0.0,2.125,0.0
vsi_question_1360,vsi_pca_train96_r456,1,0,1.0,-0.25,0.75,0.25
vsi_question_1360,vsi_pca_train96_r456,1,2,3.625,-0.125,3.5,0.03448275849223137
vsi_question_1360,vsi_pca_train96_r456,1,3,4.25,-0.125,4.125,0.029411764815449715
vsi_question_1360,pooled3_pca_r456,1,0,1.0,-0.25,0.75,0.25
vsi_question_1360,pooled3_pca_r456,1,2,3.625,-0.25,3.375,0.06896551698446274
vsi_question_1360,pooled3_pca_r456,1,3,4.25,-0.25,4.0,0.05882352963089943
vsi_question_1360,cmrq_risk_atoms32_r456,1,0,1.0,-0.125,0.875,0.125
vsi_question_1360,cmrq_risk_atoms32_r456,1,2,3.625,-0.125,3.5,0.03448275849223137
vsi_question_1360,cmrq_risk_atoms32_r456,1,3,4.25,-0.125,4.125,0.029411764815449715
vsi_question_1360,cmrq_mix_g32_w0p3_r456,1,0,1.0,0.0,1.0,0.0
vsi_question_1360,cmrq_mix_g32_w0p3_r456,1,2,3.625,-0.25,3.375,0.06896551698446274
vsi_question_1360,cmrq_mix_g32_w0p3_r456,1,3,4.25,-0.125,4.125,0.029411764815449715
vsi_question_1360,permuted_mix_g32_w0p3_r456,1,0,1.0,-0.125,0.875,0.125
vsi_question_1360,permuted_mix_g32_w0p3_r456,1,2,3.625,-0.25,3.375,0.06896551698446274
vsi_question_1360,permuted_mix_g32_w0p3_r456,1,3,4.25,-0.125,4.125,0.029411764815449715
vsi_question_1529,vsi_pca_train96_r456,0,1,2.0,0.125,2.125,0.0
vsi_question_1529,vsi_pca_train96_r456,0,2,2.75,0.125,2.875,0.0
vsi_question_1529,pooled3_pca_r456,0,1,2.0,0.0,2.0,0.0
vsi_question_1529,pooled3_pca_r456,0,2,2.75,0.0,2.75,0.0
vsi_question_1529,cmrq_risk_atoms32_r456,0,1,2.0,0.0,2.0,0.0
vsi_question_1529,cmrq_risk_atoms32_r456,0,2,2.75,0.0,2.75,0.0
vsi_question_1529,cmrq_mix_g32_w0p3_r456,0,1,2.0,0.125,2.125,0.0
vsi_question_1529,cmrq_mix_g32_w0p3_r456,0,2,2.75,0.125,2.875,0.0
vsi_question_1529,permuted_mix_g32_w0p3_r456,0,1,2.0,0.0,2.0,0.0
vsi_question_1529,permuted_mix_g32_w0p3_r456,0,2,2.75,0.0,2.75,0.0
vsi_question_1128,vsi_pca_train96_r456,0,1,0.875,-0.125,0.75,0.1428571492433548
vsi_question_1128,vsi_pca_train96_r456,0,2,1.25,0.0,1.25,0.0
vsi_question_1128,pooled3_pca_r456,0,1,0.875,0.0,0.875,0.0
vsi_question_1128,pooled3_pca_r456,0,2,1.25,0.0,1.25,0.0
vsi_question_1128,cmrq_risk_atoms32_r456,0,1,0.875,-0.125,0.75,0.1428571492433548
vsi_question_1128,cmrq_risk_atoms32_r456,0,2,1.25,0.0,1.25,0.0
vsi_question_1128,cmrq_mix_g32_w0p3_r456,0,1,0.875,-0.125,0.75,0.1428571492433548
vsi_question_1128,cmrq_mix_g32_w0p3_r456,0,2,1.25,0.0,1.25,0.0
vsi_question_1128,permuted_mix_g32_w0p3_r456,0,1,0.875,-0.125,0.75,0.1428571492433548
vsi_question_1128,permuted_mix_g32_w0p3_r456,0,2,1.25,-0.125,1.125,0.10000000149011612
vsi_question_5059,vsi_pca_train96_r456,3,0,0.5,0.0,0.5,0.0
vsi_question_5059,vsi_pca_train96_r456,3,1,0.125,0.125,0.25,0.0
vsi_question_5059,vsi_pca_train96_r456,3,2,0.75,0.125,0.875,0.0
vsi_question_5059,pooled3_pca_r456,3,0,0.5,0.0,0.5,0.0
