left,right,head,left_class,right_class,class_equal,left_actual_normalized_entropy_mean,right_actual_normalized_entropy_mean,abs_delta_actual_normalized_entropy_mean,left_geometry_mass_mean,right_geometry_mass_mean,abs_delta_geometry_mass_mean,left_actual_top64_mass_mean,right_actual_top64_mass_mean,abs_delta_actual_top64_mass_mean,left_actual_participation_support_fraction_mean,right_actual_participation_support_fraction_mean,abs_delta_actual_participation_support_fraction_mean
seed20260740,seed20260741,0,diffuse,diffuse,True,0.9546705819666386,0.9553211852908134,0.000650603324174881,0.17029691173229367,0.1692026099190116,0.0010943018132820725,0.014187553089868743,0.013976605645439122,0.0002109474444296211,0.45329593191854656,0.45712626446038485,0.0038303325418382883
seed20260740,seed20260741,1,transitional,transitional,True,0.6191263310611248,0.619104191660881,2.2139400243759155e-05,0.730617156252265,0.731431249063462,0.0008140928111970425,0.4304128629155457,0.43049228098243475,7.941806688904762e-05,0.007969954207510455,0.007934875806313357,3.5078401197097264e-05
seed20260740,seed20260741,2,diffuse,diffuse,True,0.9922915804199874,0.9923019749112427,1.0394491255283356e-05,0.07240738585824147,0.07215401495341212,0.0002533709048293531,0.00651215405378025,0.006555903069966007,4.374901618575677e-05,0.8540164665319026,0.8539566500112414,5.9816520661115646e-05
seed20260740,seed20260741,3,diffuse,diffuse,True,0.9961287644691765,0.9961006874218583,2.807704731822014e-05,0.05898630537558347,0.059100432801642455,0.00011412742605898529,0.0050736266930471174,0.005124004252138548,5.037755909143016e-05,0.9218806279823184,0.9212374864146113,0.0006431415677070618
seed20260740,seed20260741,4,localized,localized,True,0.38009932008571923,0.3816053061746061,0.001505986088886857,0.936393610201776,0.9357179771177471,0.0006756330840289593,0.8797437134198844,0.8775061834603548,0.0022375299595296383,0.0006432700746472619,0.0006548398366703623,1.1569762023100338e-05
seed20260740,seed20260741,5,localized,localized,True,0.4939301242120564,0.49500344484113157,0.0010733206290751696,0.9394393181428313,0.9380006464198232,0.0014386717230081558,0.7184623528737575,0.716425821185112,0.002036531688645482,0.0023310817932724603,0.0023428192998835584,1.173750661109807e-05
seed20260740,seed20260741,6,transitional,transitional,True,0.7233116240240633,0.7258408651687205,0.002529241144657135,0.652728843735531,0.6457433374598622,0.00698550627566874,0.1758633274002932,0.1734304767451249,0.002432850655168295,0.029454277821059804,0.029867727600503713,0.0004134497794439085
seed20260740,seed20260741,7,transitional,transitional,True,0.7202772530727088,0.7223476758226752,0.002070422749966383,0.6767337550409138,0.673984057852067,0.002749697188846767,0.24766874697525054,0.2447245234507136,0.0029442235245369375,0.020826633757678792,0.02123723526165122,0.0004106015039724298
seed20260740,seed20260741,8,diffuse,diffuse,True,0.9965931423939764,0.9965966921299696,3.5497359931468964e-06,0.06408222478057723,0.0641221698751906,3.994509461335838e-05,0.00475791748976917,0.004790172297362005,3.225480759283528e-05,0.9311631466262043,0.9312013955786824,3.8248952478170395e-05
seed20260740,seed20260741,9,diffuse,diffuse,True,0.9826624994166195,0.982653796672821,8.702743798494339e-06,0.088343554205494,0.0878825870458968,0.00046096715959720314,0.011260874882282224,0.011422073999710847,0.00016119911742862314,0.7000512718223035,0.6992671522311866,0.0007841195911169052
seed20260740,seed20260741,10,diffuse,diffuse,True,0.8825647281482816,0.8826253521256149,6.0623977333307266e-05,0.04483061617997919,0.04430894480879033,0.0005216713711888588,0.03995796645176597,0.040108234898070805,0.00015026844630483538,0.19629896461265162,0.19665656029246747,0.0003575956798158586
seed20260740,seed20260741,11,localized,localized,True,0.34179972123820335,0.3436983770225197,0.001898655784316361,0.9387991055846214,0.9378772540949285,0.0009218514896929264,0.9125550407916307,0.9116909536533058,0.000864087138324976,0.0004153151703576441,0.0004231228291473599,7.807658789715788e-06
