split,sample_id,seed,head,method,density,normalization,route,rank,attention_mass,tail_energy_explained,critical_output_relative_l2,final_output_relative_l2,final_residual_sq,reference_sq
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,dense_probability,oracle_route,0,0.13057510741055012,0.0,0.8749924046323003,0.8749924046323003,1259.8123779296875,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,dense_probability,oracle_route,8,0.13057510741055012,0.999042272567749,0.8749924046323003,0.02708522848936186,1.2071529626846313,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,dense_probability,oracle_route,16,0.13057510741055012,0.999889612197876,0.8749924046323003,0.00920999978938264,0.13957786560058594,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,renormalized,oracle_route,0,0.13057510741055012,0.0,0.44642977510017523,0.44642977510017523,327.94696044921875,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,renormalized,oracle_route,8,0.13057510741055012,0.9948427081108093,0.44642977510017523,0.03205988508268256,1.6913022994995117,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.03125,renormalized,oracle_route,16,0.13057510741055012,0.9990548491477966,0.44642977510017523,0.013723858923472084,0.30992013216018677,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,dense_probability,oracle_route,0,0.23746943473815918,0.0,0.7732784223244673,0.7732784223244673,983.9410400390625,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,dense_probability,oracle_route,8,0.23746943473815918,0.9991076588630676,0.7732784223244673,0.02310458182997082,0.8784024119377136,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,dense_probability,oracle_route,16,0.23746943473815918,0.9998968839645386,0.7732784223244673,0.00787023865273746,0.10192321240901947,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,renormalized,oracle_route,0,0.23746943473815918,0.0,0.37629418766313644,0.37629418766313644,232.99806213378906,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,renormalized,oracle_route,8,0.23746943473815918,0.995815098285675,0.37629418766313644,0.02434280726014617,0.9750763773918152,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.0625,renormalized,oracle_route,16,0.23746943473815918,0.999384343624115,0.37629418766313644,0.009337192581593236,0.14345970749855042,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.125,dense_probability,oracle_route,0,0.4089486673474312,0.0,0.6065815451617882,0.6065815451617882,605.4464111328125,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.125,dense_probability,oracle_route,8,0.4089486673474312,0.9988029599189758,0.6065815451617882,0.020990047859629702,0.7249768972396851,1645.497802734375
calibration,s00_p00_seed20260740,20260740,0,mass_topk,0.125,dense_probability,oracle_route,16,0.4089486673474312,0.9999018907546997,0.6065815451617882,0.006017458226789428,0.0595831535756588,1645.497802734375
