method,density,normalization,rank,heads,mask_jaccard_mean,basis_overlap_mean,test_oracle_tail_energy_mean,test_oracle_attention_mass_mean,test_frozen_attention_mass_mean,test_oracle_critical_relative_l2,test_frozen_critical_relative_l2,test_oracle_self_relative_l2,test_oracle_calibration_basis_relative_l2,test_frozen_self_relative_l2,test_frozen_calibration_basis_relative_l2,per_sample_oracle_go,frozen_static_upper_bound_go
contribution_norm,0.03125,dense_probability,0,12,0.5509919542819262,1.0,0.0,0.4204521857512494,0.4192070950133105,0.4472178016941656,0.4518232013753483,0.4472178016941656,0.4472178016941656,0.4518232013753483,0.4518232013753483,False,False
contribution_norm,0.03125,dense_probability,8,12,0.5509919542819262,0.8260412861903509,0.9753226687510809,0.4204521857512494,0.4192070950133105,0.4472178016941656,0.4518232013753483,0.03225477353818355,0.04666454239895911,0.03224406065707226,0.04784781698084862,False,False
contribution_norm,0.03125,dense_probability,16,12,0.5509919542819262,0.8462070922056834,0.9923775146404902,0.4204521857512494,0.4192070950133105,0.4472178016941656,0.4518232013753483,0.015306110202671185,0.02886846890939932,0.015190190216701607,0.029289639961601555,True,False
contribution_norm,0.03125,renormalized,0,12,0.5509919542819262,1.0,0.0,0.4204521857512494,0.4192070950133105,0.3309628009968265,0.28084584640347177,0.3309628009968265,0.3309628009968265,0.28084584640347177,0.28084584640347177,False,False
contribution_norm,0.03125,renormalized,8,12,0.5509919542819262,0.6036004101236662,0.8935024738311768,0.4204521857512494,0.4192070950133105,0.3309628009968265,0.28084584640347177,0.06006177591989509,0.11800497246873591,0.06012109075356392,0.11362848861487715,False,False
contribution_norm,0.03125,renormalized,16,12,0.5509919542819262,0.7075108389059702,0.9661507854859034,0.4204521857512494,0.4192070950133105,0.3309628009968265,0.28084584640347177,0.033836100548098956,0.07862027030635466,0.03384874587582518,0.07649499635980399,False,False
contribution_norm,0.0625,dense_probability,0,12,0.6044521021346251,1.0,0.0,0.5057541319789985,0.5045044150513908,0.383017129755226,0.3891500508520406,0.383017129755226,0.383017129755226,0.3891500508520406,0.3891500508520406,False,False
contribution_norm,0.0625,dense_probability,8,12,0.6044521021346251,0.8405312846104304,0.9810214837392172,0.5057541319789985,0.5045044150513908,0.383017129755226,0.3891500508520406,0.016390423173341877,0.028567471595737023,0.01661219833743838,0.029078035395550803,True,False
contribution_norm,0.0625,dense_probability,16,12,0.6044521021346251,0.8444106926520666,0.9937288810809454,0.5057541319789985,0.5045044150513908,0.383017129755226,0.3891500508520406,0.00750414181879333,0.018650888186297464,0.0076476028812313005,0.019095076187522528,True,True
contribution_norm,0.0625,renormalized,0,12,0.6044521021346251,1.0,0.0,0.5057541319789985,0.5045044150513908,0.24864361964331158,0.19436435384615738,0.24864361964331158,0.24864361964331158,0.19436435384615738,0.19436435384615738,False,False
