prompt_id,split,seed,layer,current_start_frame,denoising_call_index,event_fraction,left_selector,right_selector,jaccard
calib_fluid_s1,calibration,1,14,15,1,0.05,kv_deviation,dense_attention_mass_oracle,0.0
calib_fluid_s1,calibration,1,14,15,1,0.05,kv_deviation,value_leverage_oracle,0.0
calib_fluid_s1,calibration,1,14,15,1,0.05,kv_deviation,residual_width_singleton_oracle,0.0
calib_fluid_s1,calibration,1,14,15,1,0.05,dense_attention_mass_oracle,value_leverage_oracle,0.7777777777777778
calib_fluid_s1,calibration,1,14,15,1,0.05,dense_attention_mass_oracle,residual_width_singleton_oracle,0.7777777777777778
calib_fluid_s1,calibration,1,14,15,1,0.05,value_leverage_oracle,residual_width_singleton_oracle,0.6
calib_fluid_s1,calibration,1,14,15,1,0.1,kv_deviation,dense_attention_mass_oracle,0.034482758620689655
calib_fluid_s1,calibration,1,14,15,1,0.1,kv_deviation,value_leverage_oracle,0.034482758620689655
calib_fluid_s1,calibration,1,14,15,1,0.1,kv_deviation,residual_width_singleton_oracle,0.034482758620689655
calib_fluid_s1,calibration,1,14,15,1,0.1,dense_attention_mass_oracle,value_leverage_oracle,0.875
calib_fluid_s1,calibration,1,14,15,1,0.1,dense_attention_mass_oracle,residual_width_singleton_oracle,0.6666666666666666
calib_fluid_s1,calibration,1,14,15,1,0.1,value_leverage_oracle,residual_width_singleton_oracle,0.6666666666666666
calib_fluid_s1,calibration,1,29,18,1,0.05,kv_deviation,dense_attention_mass_oracle,0.0
calib_fluid_s1,calibration,1,29,18,1,0.05,kv_deviation,value_leverage_oracle,0.0
calib_fluid_s1,calibration,1,29,18,1,0.05,kv_deviation,residual_width_singleton_oracle,0.0
calib_fluid_s1,calibration,1,29,18,1,0.05,dense_attention_mass_oracle,value_leverage_oracle,0.7777777777777778
calib_fluid_s1,calibration,1,29,18,1,0.05,dense_attention_mass_oracle,residual_width_singleton_oracle,1.0
calib_fluid_s1,calibration,1,29,18,1,0.05,value_leverage_oracle,residual_width_singleton_oracle,0.7777777777777778
calib_fluid_s1,calibration,1,29,18,1,0.1,kv_deviation,dense_attention_mass_oracle,0.034482758620689655
calib_fluid_s1,calibration,1,29,18,1,0.1,kv_deviation,value_leverage_oracle,0.1111111111111111
calib_fluid_s1,calibration,1,29,18,1,0.1,kv_deviation,residual_width_singleton_oracle,0.07142857142857142
calib_fluid_s1,calibration,1,29,18,1,0.1,dense_attention_mass_oracle,value_leverage_oracle,0.5789473684210527
calib_fluid_s1,calibration,1,29,18,1,0.1,dense_attention_mass_oracle,residual_width_singleton_oracle,0.5
calib_fluid_s1,calibration,1,29,18,1,0.1,value_leverage_oracle,residual_width_singleton_oracle,0.6666666666666666
calib_rigid_s0,calibration,0,14,15,1,0.05,kv_deviation,dense_attention_mass_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,14,15,1,0.05,kv_deviation,value_leverage_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,14,15,1,0.05,kv_deviation,residual_width_singleton_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,14,15,1,0.05,dense_attention_mass_oracle,value_leverage_oracle,0.7777777777777778
calib_rigid_s0,calibration,0,14,15,1,0.05,dense_attention_mass_oracle,residual_width_singleton_oracle,0.45454545454545453
calib_rigid_s0,calibration,0,14,15,1,0.05,value_leverage_oracle,residual_width_singleton_oracle,0.45454545454545453
calib_rigid_s0,calibration,0,14,15,1,0.1,kv_deviation,dense_attention_mass_oracle,0.1111111111111111
calib_rigid_s0,calibration,0,14,15,1,0.1,kv_deviation,value_leverage_oracle,0.1111111111111111
calib_rigid_s0,calibration,0,14,15,1,0.1,kv_deviation,residual_width_singleton_oracle,0.1111111111111111
calib_rigid_s0,calibration,0,14,15,1,0.1,dense_attention_mass_oracle,value_leverage_oracle,0.7647058823529411
calib_rigid_s0,calibration,0,14,15,1,0.1,dense_attention_mass_oracle,residual_width_singleton_oracle,0.5789473684210527
calib_rigid_s0,calibration,0,14,15,1,0.1,value_leverage_oracle,residual_width_singleton_oracle,0.5789473684210527
calib_rigid_s0,calibration,0,29,18,1,0.05,kv_deviation,dense_attention_mass_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,29,18,1,0.05,kv_deviation,value_leverage_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,29,18,1,0.05,kv_deviation,residual_width_singleton_oracle,0.06666666666666667
calib_rigid_s0,calibration,0,29,18,1,0.05,dense_attention_mass_oracle,value_leverage_oracle,1.0
calib_rigid_s0,calibration,0,29,18,1,0.05,dense_attention_mass_oracle,residual_width_singleton_oracle,0.7777777777777778
calib_rigid_s0,calibration,0,29,18,1,0.05,value_leverage_oracle,residual_width_singleton_oracle,0.7777777777777778
calib_rigid_s0,calibration,0,29,18,1,0.1,kv_deviation,dense_attention_mass_oracle,0.25
calib_rigid_s0,calibration,0,29,18,1,0.1,kv_deviation,value_leverage_oracle,0.25
calib_rigid_s0,calibration,0,29,18,1,0.1,kv_deviation,residual_width_singleton_oracle,0.2
