layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
0,1,history_centered,450,0.9173718373236892,0.039292564081044125,0.7624009004366125,0.13237841741678819
0,1,raw,450,0.8085963498377979,0.13255804200337407,0.8085963498377979,0.13255804200337407
0,16,history_centered,450,0.5881433254154467,0.1276629735218515,0.5007684117015848,0.14346880397516662
0,16,raw,450,0.5083481628552651,0.14221816242446816,0.5083481628552651,0.14221816242446816
0,2,history_centered,450,0.8704885044673528,0.048702027317746255,0.7244690107508442,0.1323424105716534
0,2,raw,450,0.7523949752595592,0.1308417820721492,0.7523949752595592,0.1308417820721492
0,32,history_centered,450,0.4522949300629642,0.12032074541234464,0.3869057145623292,0.13085350290482267
0,32,raw,450,0.391068733394999,0.1301723253752643,0.391068733394999,0.1301723253752643
0,4,history_centered,450,0.8011736486685205,0.06411435060854752,0.6690039840528799,0.1336731208928006
0,4,raw,450,0.6886526239174762,0.13124217752992515,0.6886526239174762,0.13124217752992515
0,64,history_centered,450,0.313699243745872,0.10727426621119283,0.2700204721733779,0.111584077528434
0,64,raw,450,0.2717294438994755,0.11077761740143809,0.2717294438994755,0.11077761740143809
0,8,history_centered,450,0.7027861530501341,0.11545787428184792,0.5941824429610713,0.14490483612894048
0,8,raw,450,0.6073230929568959,0.138938206392136,0.6073230929568959,0.138938206392136
15,1,history_centered,450,0.4867855788003334,0.0681506881524217,0.47293503292594646,0.06712706418244556
15,1,raw,450,0.5288491674673502,0.05430934536594944,0.5288491674673502,0.05430934536594944
15,16,history_centered,450,0.3287747919374733,0.07639723902364742,0.3196643592210018,0.07531997844544494
15,16,raw,450,0.3221846687522355,0.07501905285063706,0.3221846687522355,0.07501905285063706
15,2,history_centered,450,0.45078094137132435,0.07437612576449437,0.43804041546328865,0.07330082157360988
15,2,raw,450,0.46459244501449903,0.0686071924403806,0.46459244501449903,0.0686071924403806
15,32,history_centered,450,0.2806072237826109,0.07562516013513088,0.2729126531197537,0.0745878411712019
15,32,raw,450,0.27419308745190246,0.07416239650873001,0.27419308745190246,0.07416239650873001
15,4,history_centered,450,0.4142935953892997,0.07552746205066872,0.40263849768863774,0.07442122238142443
15,4,raw,450,0.4139301020410812,0.07422288823320478,0.4139301020410812,0.07422288823320478
15,64,history_centered,450,0.23388325938658144,0.07517948383874175,0.2275540149610433,0.07415417654212249
15,64,raw,450,0.2280706479381037,0.07368984401018691,0.2280706479381037,0.07368984401018691
15,8,history_centered,450,0.37444793738760296,0.07612975332658929,0.36398404229295905,0.07505299983592793
15,8,raw,450,0.3695673776714745,0.0751250023810147,0.3695673776714745,0.0751250023810147
22,1,history_centered,450,0.7005499742275163,0.060985561578634453,0.574968452912798,0.09019984108039428
