category,layer,metric,value,threshold,eligible,gate_pass
object_motion,7,bttb_gain_vs_identity,0.11168826200000706,0.1,True,True
object_motion,7,bccb_gain_vs_identity,0.11160964741832972,0.1,True,True
object_motion,7,bccb_increment_vs_bttb,-8.849886623622907e-05,0.0,True,False
object_motion,15,state_rank32_energy,0.647911450119282,0.7,True,False
object_motion,15,causal_rank32_projection_error,0.32666615675384814,,True,
object_motion,15,residual_top10_energy,0.8032563438059847,0.7,True,True
object_motion,15,residual_top10_change_recall,0.17223358851834672,0.8,True,False
object_motion,15,residual_joint_gate,0.17223358851834672,,True,False
object_motion,15,flow_gain_vs_identity,0.07998595751469088,0.1,True,False
object_motion,15,bttb_gain_vs_identity,0.16426770504109048,0.1,True,True
object_motion,15,bccb_gain_vs_identity,0.16696213687138342,0.1,True,True
object_motion,15,bccb_increment_vs_bttb,0.0032240369871376286,0.0,True,True
object_motion,22,state_rank32_energy,0.790236005061416,0.7,True,True
object_motion,22,causal_rank32_projection_error,0.3568485342681986,,True,
object_motion,22,residual_top10_energy,0.42095548847362296,0.7,True,False
object_motion,22,residual_top10_change_recall,0.12158096173031185,0.8,True,False
object_motion,22,residual_joint_gate,0.12158096173031185,,True,False
object_motion,22,flow_gain_vs_identity,0.06573717776303842,0.1,True,False
object_motion,22,bttb_gain_vs_identity,0.16946487528656717,0.1,True,True
object_motion,22,bccb_gain_vs_identity,0.17090725784978006,0.1,True,True
object_motion,22,bccb_increment_vs_bttb,0.0017366906230613453,0.0,True,True
object_motion,23,state_rank32_energy,0.7754506937168677,0.7,True,True
object_motion,23,causal_rank32_projection_error,0.3696252607159619,,True,
object_motion,23,residual_top10_energy,0.42276697128692986,0.7,True,False
object_motion,23,residual_top10_change_recall,0.12129070315376295,0.8,True,False
object_motion,23,residual_joint_gate,0.12129070315376295,,True,False
object_motion,23,flow_gain_vs_identity,0.06094376911530489,0.1,True,False
object_motion,23,bttb_gain_vs_identity,0.1693816471503164,0.1,True,True
object_motion,23,bccb_gain_vs_identity,0.1712161808519214,0.1,True,True
object_motion,23,bccb_increment_vs_bttb,0.0022086361267013685,0.0,True,True
scene_cut,0,state_rank32_energy,0.8686370264359109,0.7,True,True
scene_cut,0,causal_rank32_projection_error,0.4343814286391157,,True,
scene_cut,0,residual_top10_energy,0.4440532706858568,0.7,True,False
scene_cut,0,residual_top10_change_recall,0.32774633593830765,0.8,True,False
scene_cut,0,residual_joint_gate,0.32774633593830765,,True,False
scene_cut,0,flow_gain_vs_identity,-0.16725457301143887,0.1,True,False
scene_cut,0,bttb_gain_vs_identity,0.03374282481797583,0.1,True,False
scene_cut,0,bccb_gain_vs_identity,0.03665443751987574,0.1,True,False
scene_cut,0,bccb_increment_vs_bttb,0.003013289605173091,0.0,True,True
scene_cut,7,state_rank32_energy,0.6737390927423744,0.7,True,False
scene_cut,7,causal_rank32_projection_error,0.5771562414220556,,True,
scene_cut,7,residual_top10_energy,0.31352079927717136,0.7,True,False
scene_cut,7,residual_top10_change_recall,0.32089391736431716,0.8,True,False
scene_cut,7,residual_joint_gate,0.31352079927717136,,True,False
scene_cut,7,flow_gain_vs_identity,-0.11504699821514965,0.1,True,False
scene_cut,7,bttb_gain_vs_identity,0.027928587464464843,0.1,True,False
scene_cut,7,bccb_gain_vs_identity,0.026916181102569048,0.1,True,False
scene_cut,7,bccb_increment_vs_bttb,-0.0010414938129443105,0.0,True,False
scene_cut,15,state_rank32_energy,0.7218674083335399,0.7,True,True
scene_cut,15,causal_rank32_projection_error,0.2595703078413964,,True,
scene_cut,15,residual_top10_energy,0.7861319413570387,0.7,True,True
scene_cut,15,residual_top10_change_recall,0.18028058972164251,0.8,True,False
scene_cut,15,residual_joint_gate,0.18028058972164251,,True,False
scene_cut,15,flow_gain_vs_identity,0.013194041192197277,0.1,True,False
scene_cut,15,bttb_gain_vs_identity,0.05796618818681881,0.1,True,False
