category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
camera_motion,0,1,history_centered,90,0.9271850151989764,0.032384108575354606,0.8051181993826786,0.09837440352183861
camera_motion,0,1,raw,90,0.8499070140269284,0.08821230126556995,0.8499070140269284,0.08821230126556995
camera_motion,0,16,history_centered,90,0.6580095978477039,0.08655368469498578,0.5749414370953185,0.11386389180957937
camera_motion,0,16,raw,90,0.5833903458857793,0.11330106498702183,0.5833903458857793,0.11330106498702183
camera_motion,0,2,history_centered,90,0.8907683565454162,0.04227645897259086,0.7740139498846029,0.10125843946733394
camera_motion,0,2,raw,90,0.7980363628105158,0.09962622717670291,0.7980363628105158,0.09962622717670291
camera_motion,0,32,history_centered,90,0.5244245526410164,0.10743006312196897,0.4604092233178779,0.11915234114393876
camera_motion,0,32,raw,90,0.4654418132921094,0.11911500517567761,0.4654418132921094,0.11911500517567761
camera_motion,0,4,history_centered,90,0.8379881352106319,0.055537975440369834,0.7289962258275139,0.10576917083536296
camera_motion,0,4,raw,90,0.745438873247381,0.1053976391572233,0.745438873247381,0.1053976391572233
camera_motion,0,64,history_centered,90,0.38140405138703987,0.10824137242333476,0.33600003737012224,0.1084273988950269
camera_motion,0,64,raw,90,0.3384889313938804,0.1087865280123172,0.3384889313938804,0.1087865280123172
camera_motion,0,8,history_centered,90,0.7633894689397636,0.06585583124735601,0.6648612565104359,0.10642238018198555
camera_motion,0,8,raw,90,0.676425889637032,0.10565573379071706,0.676425889637032,0.10565573379071706
camera_motion,15,1,history_centered,90,0.4975641144066918,0.05674411753948394,0.48361656828132565,0.05545967755637735
camera_motion,15,1,raw,90,0.535966283605766,0.04964034640466063,0.535966283605766,0.04964034640466063
camera_motion,15,16,history_centered,90,0.3311748402431175,0.057787990671930675,0.3219552495282631,0.056774302184213886
camera_motion,15,16,raw,90,0.3249045852583322,0.05668668688826073,0.3249045852583322,0.05668668688826073
camera_motion,15,2,history_centered,90,0.4625257335429104,0.06168375047331229,0.44957664009786164,0.06032231592108992
camera_motion,15,2,raw,90,0.47639951220403376,0.059276043724724684,0.47639951220403376,0.059276043724724684
camera_motion,15,32,history_centered,90,0.2784652834415396,0.05794541719013054,0.27073971203048214,0.05696049517602997
camera_motion,15,32,raw,90,0.27226322456525776,0.05661140402572492,0.27226322456525776,0.05661140402572492
camera_motion,15,4,history_centered,90,0.4258249924909714,0.05948684726487685,0.41391576192722074,0.058246638487698774
camera_motion,15,4,raw,90,0.4260205682415731,0.059597299396872076,0.4260205682415731,0.059597299396872076
camera_motion,15,64,history_centered,90,0.228149334371402,0.057583211931426986,0.22184556140697861,0.05661023280725385
camera_motion,15,64,raw,90,0.22260839086564546,0.05642559290351584,0.22260839086564546,0.05642559290351584
camera_motion,15,8,history_centered,90,0.38186325383596154,0.058044453003612176,0.37120305240544843,0.056937307845870276
camera_motion,15,8,raw,90,0.3779055538151092,0.05697471575879813,0.3779055538151092,0.05697471575879813
camera_motion,22,1,history_centered,90,0.7206969091442801,0.05859845079480466,0.6063937429815278,0.08105575033188402
camera_motion,22,1,raw,90,0.6534868849889182,0.09051157455519944,0.6534868849889182,0.09051157455519944
camera_motion,22,16,history_centered,90,0.37904140657314345,0.06511378087295863,0.32006691473724763,0.06917837154887642
camera_motion,22,16,raw,90,0.32328773373471476,0.06907540151929437,0.32328773373471476,0.06907540151929437
camera_motion,22,2,history_centered,90,0.55251317274021,0.07705894680920583,0.46619741232213857,0.08673901608965875
camera_motion,22,2,raw,90,0.5221401349694587,0.09841184701865413,0.5221401349694587,0.09841184701865413
camera_motion,22,32,history_centered,90,0.32654004914099866,0.06710107271378339,0.27599043224966496,0.06844434655999884
camera_motion,22,32,raw,90,0.2773007574250028,0.06833610696149679,0.2773007574250028,0.06833610696149679
camera_motion,22,4,history_centered,90,0.4970056342789412,0.07129663211549615,0.4194526408486601,0.07981509291857053
camera_motion,22,4,raw,90,0.43164283582281926,0.0821635459325095,0.43164283582281926,0.0821635459325095
camera_motion,22,64,history_centered,90,0.27678522617895523,0.0683102476334036,0.2341421730576862,0.067054003937102
camera_motion,22,64,raw,90,0.2347075682930664,0.06694911331220418,0.2347075682930664,0.06694911331220418
camera_motion,22,8,history_centered,90,0.43688558070214606,0.06485551742691453,0.3686752552526256,0.07163271515732157
camera_motion,22,8,raw,90,0.37529946313244683,0.07167306434710581,0.37529946313244683,0.07167306434710581
camera_motion,23,1,history_centered,90,0.7285959044553016,0.057140854773431976,0.5819598699089632,0.07139564244528288
camera_motion,23,1,raw,90,0.6498733581535227,0.07929173759009524,0.6498733581535227,0.07929173759009524
camera_motion,23,16,history_centered,90,0.3932933604765382,0.06568345705032341,0.3152795688703179,0.06531355004861068
camera_motion,23,16,raw,90,0.3184466823908098,0.06522037952889843,0.3184466823908098,0.06522037952889843
camera_motion,23,2,history_centered,90,0.5571595178373183,0.07695479951868589,0.44627250389631246,0.07979732469618912
camera_motion,23,2,raw,90,0.5260252177371072,0.08887101549631563,0.5260252177371072,0.08887101549631563
camera_motion,23,32,history_centered,90,0.3408891088429809,0.06814712570854077,0.27349013685071955,0.06515253764408419
camera_motion,23,32,raw,90,0.2748151662167723,0.06501015359759504,0.2748151662167723,0.06501015359759504
camera_motion,23,4,history_centered,90,0.5061415680939563,0.0709289955362468,0.4054621270142629,0.07356267145662565
camera_motion,23,4,raw,90,0.4197486969274727,0.07588211713959755,0.4197486969274727,0.07588211713959755
camera_motion,23,64,history_centered,90,0.29019587669042707,0.06998725920434193,0.2329824512604774,0.06440494984075755
camera_motion,23,64,raw,90,0.23355308913099704,0.06421178077479432,0.23355308913099704,0.06421178077479432
camera_motion,23,8,history_centered,90,0.4498719176031441,0.06513008820325679,0.36039796167234284,0.06695845198759016
