category,layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
camera_motion,0,identity,0.05,90,0.25682840146743835,0.22209435504443023,0.14280333815844715,0.07539236967772457,0.49940408668923475,0.24917972199377017
camera_motion,0,identity,0.1,90,0.3740401462718547,0.23233478728628534,0.2599140106317556,0.13541714320992185,0.49940408668923475,0.24917972199377017
camera_motion,0,identity,0.2,90,0.5414789534206195,0.22474767185629294,0.4734096490731106,0.21819450927773093,0.49940408668923475,0.24917972199377017
camera_motion,0,local_bccb_causal,0.05,84,0.2499768665682995,0.22585887881413205,0.1403908040560127,0.0788340863597073,0.4686786852362446,0.2639054643559945
camera_motion,0,local_bccb_causal,0.1,84,0.36209946192026826,0.23700026342040778,0.25441865967553084,0.14053018864276892,0.4686786852362446,0.2639054643559945
camera_motion,0,local_bccb_causal,0.2,84,0.5236091469475832,0.23297009820527617,0.46579794618248843,0.22508836686099104,0.4686786852362446,0.2639054643559945
camera_motion,0,local_bttb_causal,0.05,84,0.24943907101557344,0.22566386707116495,0.13965316185213555,0.07960803564116742,0.46780440855860406,0.2630912545951055
camera_motion,0,local_bttb_causal,0.1,84,0.36124368128531187,0.23643245809930677,0.254214634469107,0.14041767755614382,0.46780440855860406,0.2630912545951055
camera_motion,0,local_bttb_causal,0.2,84,0.5223275411993807,0.23158008341703798,0.4652199799224744,0.22551814100177783,0.46780440855860406,0.2630912545951055
camera_motion,0,optical_flow_warp,0.05,90,0.2225009926028791,0.15180227374792257,0.10825660874032603,0.06629742596702244,0.48274471803835367,0.24547759340075134
camera_motion,0,optical_flow_warp,0.1,90,0.352838815224574,0.2043259541725259,0.19751267859044425,0.09996444340099091,0.48274471803835367,0.24547759340075134
camera_motion,0,optical_flow_warp,0.2,90,0.536719532595076,0.2305800374659823,0.3602309870823487,0.16552259935578664,0.48274471803835367,0.24547759340075134
camera_motion,0,pixel_shift_zero,0.05,90,0.25823930588760224,0.2215797341068182,0.1467358938874085,0.07307419369465507,0.5001475583701088,0.2475626498895773
camera_motion,0,pixel_shift_zero,0.1,90,0.3760265652403868,0.2315464962018494,0.26611756726048114,0.13260249301988158,0.5001475583701088,0.2475626498895773
camera_motion,0,pixel_shift_zero,0.2,90,0.5437512397711993,0.22387967551831003,0.48336392856334687,0.21936929181134704,0.5001475583701088,0.2475626498895773
camera_motion,15,identity,0.05,90,0.7447279825626756,0.18766953531925537,0.06513337977129796,0.051690036487871495,0.8159192373772858,0.11368333010868162
camera_motion,15,identity,0.1,90,0.7901314628265083,0.15051958575791277,0.14384015724497048,0.08878539368925065,0.8159192373772858,0.11368333010868162
camera_motion,15,identity,0.2,90,0.8493063475150594,0.10771564745019868,0.2861368192004188,0.14980538014757375,0.8159192373772858,0.11368333010868162
camera_motion,15,local_bccb_causal,0.05,84,0.7428859299288997,0.14845640895372386,0.050542477536660135,0.04291583674773451,0.7950779247255595,0.08751527920306026
camera_motion,15,local_bccb_causal,0.1,84,0.7837767261178157,0.11438357947568838,0.127830909328729,0.08135570497327017,0.7950779247255595,0.08751527920306026
camera_motion,15,local_bccb_causal,0.2,84,0.8358250150767466,0.08035707133873754,0.2722625379624769,0.13879355233773105,0.7950779247255595,0.08751527920306026
camera_motion,15,local_bttb_causal,0.05,84,0.7430382240360651,0.14823150040718508,0.05087316536734797,0.042846113523077545,0.7951493420889503,0.08741804221500045
camera_motion,15,local_bttb_causal,0.1,84,0.7839049190755112,0.11420942456237469,0.12701204948490993,0.08221716910826282,0.7951493420889503,0.08741804221500045
camera_motion,15,local_bttb_causal,0.2,84,0.8359342879381926,0.08026484007176411,0.27090951501345917,0.14011946820009555,0.7951493420889503,0.08741804221500045
camera_motion,15,optical_flow_warp,0.05,90,0.7116996807094297,0.21559748267217033,0.05001771771312264,0.041610061377215644,0.8070134241904068,0.11702991731260301
camera_motion,15,optical_flow_warp,0.1,90,0.7660796600826596,0.17224764463297387,0.10643814276109759,0.0629552490405209,0.8070134241904068,0.11702991731260301
camera_motion,15,optical_flow_warp,0.2,90,0.8395431912792317,0.11759060254474879,0.22389310355118755,0.09540114025197967,0.8070134241904068,0.11702991731260301
camera_motion,15,pixel_shift_zero,0.05,90,0.7504445631007571,0.1875682400697558,0.0627050137034632,0.05202228996989539,0.8206237213920751,0.11018560190700917
camera_motion,15,pixel_shift_zero,0.1,90,0.795488544329615,0.14951805207276828,0.13839519182075313,0.09005721520735642,0.8206237213920751,0.11018560190700917
