layer,method,count,mean_error_mean,mean_error_std,stable_error_mean,stable_error_std,event_like_error_mean,event_like_error_std,mean_centered_error_mean,mean_centered_error_std,stable_centered_error_mean,stable_centered_error_std,event_like_centered_error_mean,event_like_centered_error_std
0,global_bccb_causal,30,0.5194751509238485,0.3086003961613534,0.44189541295016616,0.3134185704331587,0.670722461689278,0.3416485888209175,0.5935582285967499,0.3424093510044964,0.5029288161501917,0.3493415387281693,0.7695713209375581,0.38449406265228464
0,global_bccb_pair,30,0.4537730294314127,0.27832531532452565,0.3896275174988511,0.2885091672592508,0.5720853501113486,0.2913009039343818,0.5161904590041518,0.3061704376535819,0.4450022449118309,0.32045705042637784,0.6444579680560797,0.31908756867860993
0,hidden_shift_cyclic,30,0.5799649314061417,0.3667192905702833,0.47802654848641574,0.37373464521100225,0.7718997658629243,0.4011550961062077,0.6703125098860545,0.41002282423477904,0.5462750476729349,0.41695014435077,0.9077112756882172,0.4694899365220706
0,identity,30,0.5828767302994761,0.36891551072465467,0.47872206526653627,0.37462857482499246,0.777484783410054,0.40514435157245327,0.6737165757418694,0.4123560282074771,0.5470638081648378,0.41794583670841484,0.9142632361688111,0.4744030167888151
0,local_bccb_causal,30,0.5120999693407211,0.3036236435419592,0.4351689712698166,0.31060873831036306,0.6642374462170707,0.3349452370419624,0.5813844946799591,0.33406691977908154,0.4922961557106028,0.34395660777636455,0.7577300751157482,0.3741994484625136
0,local_bccb_pair,30,0.4809705947853193,0.2935994381042029,0.40524201291859524,0.30221658770001325,0.6217835270958465,0.3150922500323863,0.5475599478674638,0.32315416298706406,0.46224231512278474,0.3354702391167257,0.7041422714562544,0.35044037894534313
0,local_bttb_causal,30,0.5132929581592041,0.3041854551786239,0.43602182861896743,0.31117643863066446,0.6658414760715071,0.33550033477721103,0.5822377101143714,0.334470118013069,0.4927078048677037,0.3442239963177624,0.7594210607555945,0.374879139810398
0,local_bttb_pair,30,0.48217378315869935,0.29430972639526737,0.4059038694632914,0.30281427997942995,0.6240620623970224,0.31618740459346717,0.5484714605516646,0.3236491392050972,0.4627214397012328,0.3358860738238859,0.705894730985183,0.3514073159287887
0,optical_flow_warp,30,0.5871163541936208,0.2742789490600092,0.5100151304293331,0.2711480881738107,0.7401097331013573,0.3186835440937537,0.684122062850396,0.3042243679422102,0.5921903106529768,0.29779898883061445,0.8706965377378726,0.370494933702378
0,pixel_shift_cyclic,30,0.6010501361644138,0.355899333217921,0.4928891880254606,0.3649787989352317,0.8034693197205486,0.3904852159406096,0.717973146262696,0.4007299202882981,0.5858455617909996,0.41740102699922943,0.9691670368513575,0.45070086169452545
0,pixel_shift_zero,30,0.6038227286232851,0.35278522069088736,0.497541732033477,0.36416448895883563,0.8024531879355378,0.3827555935973827,0.7279828184701717,0.41608007479995135,0.5975021843761624,0.4362647867425292,0.9760793889437104,0.45645666270437507
15,global_bccb_causal,30,0.8951381094834646,0.4957467716149823,0.8075404171552378,0.5148420275674652,1.0403035473315057,0.5098422046358367,0.9204452411717927,0.5097570276281808,0.8306134186696306,0.5297166316355804,1.0689605229422297,0.5239339174787371
15,global_bccb_pair,30,0.4214704364163355,0.22772479317782582,0.3789670988725465,0.23793079076334286,0.49459969664054254,0.23408908171557044,0.4316771750772032,0.23306102300866366,0.3891352378432568,0.24405394419630438,0.5040481142233386,0.23846483694268816
15,hidden_shift_cyclic,30,0.7278463703231304,0.41384951753638427,0.6297120604349137,0.42150160191733094,0.9000784625239475,0.4513982046587444,0.7479350915354738,0.4250625528034163,0.6474251505791506,0.43315169794158537,0.9239955863947571,0.4632313535481078
