stage,step,sample_id,tile_index,post_rank_objective,learning_rate,loss,objective_loss,raw_output_loss,partition_loss,gradient_norm,kernel_scale_min,kernel_scale_max,best_full_training_objective
calibration_frozen_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.05482281371951103,0.05467343330383301,0.05467343330383301,0.14938126504421234,0.04233385995030403,0.9980019927024841,1.0020020008087158,0.028112001717090607
calibration_frozen_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.019283296540379524,0.019208280369639397,0.019208280369639397,0.07501526176929474,0.0008589935023337603,0.9649561643600464,1.1034926176071167,0.015521164052188396
calibration_frozen_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.017512165009975433,0.017464613541960716,0.017464613541960716,0.04755164310336113,0.0005354353925213218,0.9619290828704834,1.2579001188278198,0.013961962424218655
calibration_frozen_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.005388852674514055,0.00538074504584074,0.00538074504584074,0.008107811212539673,0.0007376215071417391,0.9612505435943604,1.3553218841552734,0.012895291671156883
calibration_frozen_proxy_support,200,s00_p00_seed20260740,1,0,0.002,0.016126487404108047,0.016064366325736046,0.016064366325736046,0.062121570110321045,0.0004004048532806337,0.9598362445831299,1.4034322500228882,0.012409603223204613
calibration_frozen_proxy_support,250,s01_p01_seed20260740,0,0,0.002,0.015490674413740635,0.015447763726115227,0.015447763726115227,0.042910732328891754,0.0003461911983322352,0.9587927460670471,1.4487520456314087,0.012029923498630524
calibration_frozen_proxy_support,300,s01_p01_seed20260740,2,0,0.002,0.004808989353477955,0.004802108742296696,0.004802108742296696,0.006880579050630331,0.00036552638630382717,0.9580130577087402,1.490668773651123,0.011642267927527428
calibration_frozen_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.0004120286030229181,0.0003647012636065483,0.010819214396178722,0.04732733219861984,4.353834083303809e-05,0.9578225016593933,1.4909658432006836,0.00040740607073530555
calibration_frozen_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.0004998756921850145,0.00044351915130391717,0.015137559734284878,0.05635654181241989,2.7262078219791874e-05,0.957292377948761,1.4992505311965942,0.0004003536596428603
calibration_frozen_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.00039248651592060924,0.00035392947029322386,0.015237372368574142,0.03855704143643379,3.229738649679348e-05,0.9581248164176941,1.5087451934814453,0.000394666101783514
calibration_frozen_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.00012041452282574028,0.00011453768820501864,0.004849779885262251,0.005876831244677305,8.681736289872788e-06,0.9592045545578003,1.5190331935882568,0.0003892633831128478
transductive_capacity_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.05345974117517471,0.05331374704837799,0.05331374704837799,0.14599542319774628,0.042360976338386536,0.9980019927024841,1.0020020008087158,0.027817916125059128
transductive_capacity_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.01977253332734108,0.01969807967543602,0.01969807967543602,0.07445406168699265,0.0009873880771920085,0.963937520980835,1.086667537689209,0.01518202479928732
transductive_capacity_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.018263081088662148,0.018214812502264977,0.018214812502264977,0.04826844856142998,0.0007063467637635767,0.9605907201766968,1.1849030256271362,0.013790021650493145
transductive_capacity_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.005515202879905701,0.005506753921508789,0.005506753921508789,0.008448896929621696,0.0009185683447867632,0.9599353671073914,1.3298304080963135,0.012897178530693054
transductive_capacity_proxy_support,200,s02_p00_seed20260741,1,0,0.002,0.013369313441216946,0.013300849124789238,0.013300849124789238,0.06846460700035095,0.0008971591596491635,0.9596748352050781,1.428180456161499,0.012391275726258755
transductive_capacity_proxy_support,250,s03_p01_seed20260741,0,0,0.002,0.010118911042809486,0.010073984041810036,0.010073984041810036,0.04492664337158203,0.0007388448575511575,0.9586684107780457,1.4742741584777832,0.01204889826476574
transductive_capacity_proxy_support,300,s03_p01_seed20260741,2,0,0.002,0.008974455296993256,0.008967176079750061,0.008967176079750061,0.007279376965016127,0.0005479153478518128,0.9577347636222839,1.5137975215911865,0.011697210371494293
transductive_capacity_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.0004162396362517029,0.0003665621334221214,0.011651024222373962,0.049677491188049316,4.3278374505462125e-05,0.9575437903404236,1.5140981674194336,0.0004172267799731344
transductive_capacity_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.0005132898804731667,0.0004546788986772299,0.016126738861203194,0.05861097574234009,3.618107803049497e-05,0.9599684476852417,1.5153557062149048,0.0004113058093935251
transductive_capacity_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.0003984740760643035,0.0003594862937461585,0.016332902014255524,0.03898778185248375,3.215726246708073e-05,0.9613286852836609,1.517534852027893,0.00040710996836423874
transductive_capacity_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.00012327167496550828,0.00011708878446370363,0.005008193664252758,0.006182895973324776,7.4888898780045565e-06,0.9625281691551208,1.5202574729919434,0.0004032986471429467
