model_variant,split,route,rank,records,content_output_relative_l2,post_adaptive_rank16_output_relative_l2,post_adaptive_rank16_worst_record_relative_l2,post_adaptive_rank16_p95_record_relative_l2,post_adaptive_rank16_worst_tile_relative_l2,rank_required_for_1pct_record_gate_mean,rank_required_for_1pct_record_gate_max,oracle_aggregate_gate,oracle_worst_gate
calibration_frozen,calibration,oracle_trajectory_width_family,48,24,0.074335353724517,0.016389485199584445,0.03536238027571431,0.031074939893699083,0.03327274413810367,24.583333333333332,56,False,False
calibration_frozen,calibration,oracle_trajectory_width_fixed64,48,24,0.09145915569636817,0.026147692883314564,0.053487668555348734,0.04985166701889647,0.04461801225575885,37.916666666666664,73,False,False
calibration_frozen,calibration,oracle_trajectory_width_semantic64,48,24,0.06886488773163169,0.017780231597124944,0.03743426111274482,0.031074939893699083,0.03327274413810367,26.5,57,False,False
calibration_frozen,calibration,oracle_trajectory_width_value64,48,24,0.0643959268550118,0.01799858346219896,0.03797882281977819,0.03273278492926147,0.03610117310930774,27.25,57,False,False
calibration_frozen,calibration,proxy_fixed64_qk,48,24,0.09145915569636817,0.026147692883314564,0.053487668555348734,0.04985166701889647,0.04461801225575885,37.916666666666664,73,False,False
calibration_frozen,calibration,proxy_svg2_style_semantic64,48,24,0.06886488773163169,0.017780231597124944,0.03743426111274482,0.031074939893699083,0.03327274413810367,26.5,57,False,False
calibration_frozen,calibration,proxy_value_aware_semantic64,48,24,0.0643959268550118,0.01799858346219896,0.03797882281977819,0.03273278492926147,0.03610117310930774,27.25,57,False,False
calibration_frozen,test,oracle_trajectory_width_family,48,12,0.10030088334931264,0.020782454820800808,0.03405038927591656,0.03405038927591656,0.03234069134903567,32.583333333333336,54,False,False
calibration_frozen,test,oracle_trajectory_width_fixed64,48,12,0.09384825264185351,0.029609060796941176,0.053262678208315435,0.053262678208315435,0.040266710913699974,46.666666666666664,66,False,False
calibration_frozen,test,oracle_trajectory_width_semantic64,48,12,0.10975679869398001,0.021586917659492645,0.03363769241890821,0.03363769241890821,0.03254002922958648,32.666666666666664,52,False,False
calibration_frozen,test,oracle_trajectory_width_value64,48,12,0.10003742905772323,0.023130319729553865,0.0374673858129733,0.0374673858129733,0.036419812086076156,34.333333333333336,56,False,False
calibration_frozen,test,proxy_fixed64_qk,48,12,0.09384825264185351,0.029609060796941176,0.053262678208315435,0.053262678208315435,0.040266710913699974,46.666666666666664,66,False,False
calibration_frozen,test,proxy_svg2_style_semantic64,48,12,0.10975679869398001,0.021586917659492645,0.03363769241890821,0.03363769241890821,0.03254002922958648,32.666666666666664,52,False,False
calibration_frozen,test,proxy_value_aware_semantic64,48,12,0.10003742905772323,0.023130319729553865,0.0374673858129733,0.0374673858129733,0.036419812086076156,34.333333333333336,56,False,False
calibration_frozen,validation,oracle_trajectory_width_family,48,12,0.08665659364415418,0.020856054645875286,0.040516894516024554,0.040516894516024554,0.03542522772968565,30.25,61,False,False
calibration_frozen,validation,oracle_trajectory_width_fixed64,48,12,0.09443540883481981,0.026778799865111832,0.05691589927985926,0.05691589927985926,0.04208308812660517,41.416666666666664,69,False,False
calibration_frozen,validation,oracle_trajectory_width_semantic64,48,12,0.12795450245804815,0.027740653961839924,0.05549322533018212,0.05549322533018212,0.054306674367915884,33.083333333333336,65,False,False
calibration_frozen,validation,oracle_trajectory_width_value64,48,12,0.10415941880704463,0.025937562750840967,0.05334690108592544,0.05334690108592544,0.05311148372782624,33.083333333333336,66,False,False
calibration_frozen,validation,proxy_fixed64_qk,48,12,0.09443540883481981,0.026778799865111832,0.05691589927985926,0.05691589927985926,0.04208308812660517,41.416666666666664,69,False,False
calibration_frozen,validation,proxy_svg2_style_semantic64,48,12,0.12795450245804815,0.027740653961839924,0.05549322533018212,0.05549322533018212,0.054306674367915884,33.083333333333336,65,False,False
calibration_frozen,validation,proxy_value_aware_semantic64,48,12,0.10415941880704463,0.025937562750840967,0.05334690108592544,0.05334690108592544,0.05311148372782624,33.083333333333336,66,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_family,48,48,0.08398516739584558,0.018504765457411254,0.038547213128168674,0.03461225145798652,0.034081275033566664,27.9375,60,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_fixed64,48,48,0.09253880412999252,0.02701701662772942,0.05610486630129234,0.05166992525387769,0.04629401189147824,40.6875,74,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_semantic64,48,48,0.09473751966270344,0.02111448796043994,0.05471519829889555,0.03568340782210233,0.054276195600637664,29.604166666666668,64,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_value64,48,48,0.08319001747360023,0.021110559906282664,0.05294129921371682,0.03668230661491805,0.05291100375917943,30.291666666666668,66,False,False
transductive_capacity,transductive_fit,proxy_fixed64_qk,48,48,0.09253880412999252,0.02701701662772942,0.05610486630129234,0.05166992525387769,0.04629401189147824,40.6875,74,False,False
transductive_capacity,transductive_fit,proxy_svg2_style_semantic64,48,48,0.09473751966270344,0.02111448796043994,0.05471519829889555,0.03568340782210233,0.054276195600637664,29.604166666666668,64,False,False
transductive_capacity,transductive_fit,proxy_value_aware_semantic64,48,48,0.08319001747360023,0.021110559906282664,0.05294129921371682,0.03668230661491805,0.05291100375917943,30.291666666666668,66,False,False
