action,step_start,step_end,block_start,block_end,branches,forecast_scale,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,14,14,6,6,[0],0.25,1,0.9879799591972338,0.971729300435733,0.971729300435733,0.028270699564266977,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],0.5,1,0.9647619027050593,0.9722379127856655,0.9722379127856655,0.027762087214334485,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],0.75,1,0.9697853282063623,0.9724619659526529,0.9724619659526529,0.027538034047347115,0.0,1.0,1.0,2.0
C,14,14,6,6,[0],1.0,1,0.9691654452285288,0.9722082358830126,0.9722082358830126,0.02779176411698736,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.25,1,0.9974760584335848,0.9722269329993568,0.9722269329993568,0.027773067000643192,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.5,1,0.973238134052996,0.9722500900021399,0.9722500900021399,0.02774990999786009,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],0.75,1,0.9790902740358147,0.9725276401324128,0.9725276401324128,0.027472359867587226,0.0,1.0,1.0,2.0
C,14,14,6,6,[1],1.0,1,0.980865736324537,0.9719156030022321,0.9719156030022321,0.02808439699776788,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.25,1,0.9860572675242683,0.9706610304434624,0.9706610304434624,0.029338969556537586,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.5,1,0.9544116524379808,0.9704522072272664,0.9704522072272664,0.02954779277273356,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],0.75,1,0.9300443710346925,0.9705014375462849,0.9705014375462849,0.02949856245371507,0.0,1.0,1.0,2.0
C,14,14,12,12,[0],1.0,1,0.9524247261800687,0.9697456273992306,0.9697456273992306,0.030254372600769353,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],0.25,1,0.9978100390219057,0.9714630408572651,0.9714630408572651,0.028536959142734908,0.0,1.0,1.0,2.0
C,14,14,12,12,[1],0.5,1,0.9693356231702649,0.9710804441688694,0.9710804441688694,0.028919555831130594,0.0,1.0,1.0,2.0
