method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s14-14_b06-06_br0_f025,single_cell,C,1,1,0.9879799591972338,0.9879799591972338,0.9879799591972338,0.9879799591972338,0.971729300435733,0.971729300435733,0.971729300435733,35.02791554427056,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br0_f050,single_cell,C,1,1,0.9647619027050593,0.9647619027050593,0.9647619027050593,0.9647619027050593,0.9722379127856655,0.9722379127856655,0.9722379127856655,35.18087059581512,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br0_f075,single_cell,C,1,1,0.9697853282063623,0.9697853282063623,0.9697853282063623,0.9697853282063623,0.9724619659526529,0.9724619659526529,0.9724619659526529,35.29533694235463,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br0_f100,single_cell,C,1,1,0.9691654452285288,0.9691654452285288,0.9691654452285288,0.9691654452285288,0.9722082358830126,0.9722082358830126,0.9722082358830126,35.213386538516616,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br1_f025,single_cell,C,1,1,0.9974760584335848,0.9974760584335848,0.9974760584335848,0.9974760584335848,0.9722269329993568,0.9722269329993568,0.9722269329993568,35.32334911301874,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br1_f050,single_cell,C,1,1,0.973238134052996,0.973238134052996,0.973238134052996,0.973238134052996,0.9722500900021399,0.9722500900021399,0.9722500900021399,35.236202894538195,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br1_f075,single_cell,C,1,1,0.9790902740358147,0.9790902740358147,0.9790902740358147,0.9790902740358147,0.9725276401324128,0.9725276401324128,0.9725276401324128,35.39672206855637,0.0,1.0,1.0,0.0,2.0
c_s14-14_b06-06_br1_f100,single_cell,C,1,1,0.980865736324537,0.980865736324537,0.980865736324537,0.980865736324537,0.9719156030022321,0.9719156030022321,0.9719156030022321,35.24247389197433,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br0_f025,single_cell,C,1,1,0.9860572675242683,0.9860572675242683,0.9860572675242683,0.9860572675242683,0.9706610304434624,0.9706610304434624,0.9706610304434624,34.780374613909395,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br0_f050,single_cell,C,1,1,0.9544116524379808,0.9544116524379808,0.9544116524379808,0.9544116524379808,0.9704522072272664,0.9704522072272664,0.9704522072272664,34.639189637313635,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br0_f075,single_cell,C,1,1,0.9300443710346925,0.9300443710346925,0.9300443710346925,0.9300443710346925,0.9705014375462849,0.9705014375462849,0.9705014375462849,34.75017460949246,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br0_f100,single_cell,C,1,1,0.9524247261800687,0.9524247261800687,0.9524247261800687,0.9524247261800687,0.9697456273992306,0.9697456273992306,0.9697456273992306,34.424851849657955,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br1_f025,single_cell,C,1,1,0.9978100390219057,0.9978100390219057,0.9978100390219057,0.9978100390219057,0.9714630408572651,0.9714630408572651,0.9714630408572651,34.89613433085765,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br1_f050,single_cell,C,1,1,0.9693356231702649,0.9693356231702649,0.9693356231702649,0.9693356231702649,0.9710804441688694,0.9710804441688694,0.9710804441688694,34.856876179503104,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br1_f075,single_cell,C,1,1,0.975853187278872,0.975853187278872,0.975853187278872,0.975853187278872,0.9716122090919947,0.9716122090919947,0.9716122090919947,35.03052844406982,0.0,1.0,1.0,0.0,2.0
c_s14-14_b12-12_br1_f100,single_cell,C,1,1,0.9708016983772836,0.9708016983772836,0.9708016983772836,0.9708016983772836,0.9707772457939574,0.9707772457939574,0.9707772457939574,34.87698204422922,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br0_f025,single_cell,C,1,1,0.9851186291486175,0.9851186291486175,0.9851186291486175,0.9851186291486175,0.970928696644099,0.970928696644099,0.970928696644099,34.68654211850906,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br0_f050,single_cell,C,1,1,0.9688744267549506,0.9688744267549506,0.9688744267549506,0.9688744267549506,0.9712800952157409,0.9712800952157409,0.9712800952157409,34.80647027443397,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br0_f075,single_cell,C,1,1,0.9643657176769871,0.9643657176769871,0.9643657176769871,0.9643657176769871,0.9705403491193877,0.9705403491193877,0.9705403491193877,34.60005060327881,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br0_f100,single_cell,C,1,1,0.9713297462351574,0.9713297462351574,0.9713297462351574,0.9713297462351574,0.9709733708405499,0.9709733708405499,0.9709733708405499,34.665187884380664,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br1_f025,single_cell,C,1,1,0.9876053518430001,0.9876053518430001,0.9876053518430001,0.9876053518430001,0.9720134481174846,0.9720134481174846,0.9720134481174846,35.02556607784112,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br1_f050,single_cell,C,1,1,0.915571103820629,0.915571103820629,0.915571103820629,0.915571103820629,0.9715309028419581,0.9715309028419581,0.9715309028419581,34.88711891196911,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br1_f075,single_cell,C,1,1,0.955630542495666,0.955630542495666,0.955630542495666,0.955630542495666,0.9716944714419297,0.9716944714419297,0.9716944714419297,34.86867836161787,0.0,1.0,1.0,0.0,2.0
c_s14-14_b24-24_br1_f100,single_cell,C,1,1,0.9578187454734637,0.9578187454734637,0.9578187454734637,0.9578187454734637,0.9710952873710257,0.9710952873710257,0.9710952873710257,34.69003070643944,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br0_f025,single_cell,C,1,1,0.9674469980152915,0.9674469980152915,0.9674469980152915,0.9674469980152915,0.9717008562921924,0.9717008562921924,0.9717008562921924,35.18520185932192,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br0_f050,single_cell,C,1,1,0.9673977697063137,0.9673977697063137,0.9673977697063137,0.9673977697063137,0.9720467168307145,0.9720467168307145,0.9720467168307145,35.3177438625815,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br0_f075,single_cell,C,1,1,0.9706189090540946,0.9706189090540946,0.9706189090540946,0.9706189090540946,0.9723981258761794,0.9723981258761794,0.9723981258761794,35.380400578048125,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br0_f100,single_cell,C,1,1,0.9686215714198025,0.9686215714198025,0.9686215714198025,0.9686215714198025,0.9721144501700972,0.9721144501700972,0.9721144501700972,35.27237884916413,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br1_f025,single_cell,C,1,1,0.9910404338241149,0.9910404338241149,0.9910404338241149,0.9910404338241149,0.9720605908148907,0.9720605908148907,0.9720605908148907,35.430090083968096,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br1_f050,single_cell,C,1,1,0.9714577552935537,0.9714577552935537,0.9714577552935537,0.9714577552935537,0.9719758648748152,0.9719758648748152,0.9719758648748152,35.40178735227801,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br1_f075,single_cell,C,1,1,0.9792676675843123,0.9792676675843123,0.9792676675843123,0.9792676675843123,0.9723299486104438,0.9723299486104438,0.9723299486104438,35.49843044565377,0.0,1.0,1.0,0.0,2.0
c_s16-16_b06-06_br1_f100,single_cell,C,1,1,0.981244872424031,0.981244872424031,0.981244872424031,0.981244872424031,0.9723259334370103,0.9723259334370103,0.9723259334370103,35.41585549873565,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br0_f025,single_cell,C,1,1,0.97189277798575,0.97189277798575,0.97189277798575,0.97189277798575,0.9709561218164104,0.9709561218164104,0.9709561218164104,35.13219545824258,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br0_f050,single_cell,C,1,1,0.9692801688571192,0.9692801688571192,0.9692801688571192,0.9692801688571192,0.9712383536691689,0.9712383536691689,0.9712383536691689,35.14899241538066,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br0_f075,single_cell,C,1,1,0.9643424463012695,0.9643424463012695,0.9643424463012695,0.9643424463012695,0.9711314910053064,0.9711314910053064,0.9711314910053064,35.05181092577559,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br0_f100,single_cell,C,1,1,0.9709305266881859,0.9709305266881859,0.9709305266881859,0.9709305266881859,0.9698160030794445,0.9698160030794445,0.9698160030794445,34.384650425526765,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br1_f025,single_cell,C,1,1,0.9775110847371513,0.9775110847371513,0.9775110847371513,0.9775110847371513,0.9716272630174752,0.9716272630174752,0.9716272630174752,35.18771936712974,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br1_f050,single_cell,C,1,1,0.9731714874065672,0.9731714874065672,0.9731714874065672,0.9731714874065672,0.9719455582139707,0.9719455582139707,0.9719455582139707,35.36715929388192,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br1_f075,single_cell,C,1,1,0.9798424590222877,0.9798424590222877,0.9798424590222877,0.9798424590222877,0.9720079554097135,0.9720079554097135,0.9720079554097135,35.19528337014527,0.0,1.0,1.0,0.0,2.0
c_s16-16_b12-12_br1_f100,single_cell,C,1,1,0.9801660893872207,0.9801660893872207,0.9801660893872207,0.9801660893872207,0.9715773632778747,0.9715773632778747,0.9715773632778747,35.19136433961856,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br0_f025,single_cell,C,1,1,0.9678380803726226,0.9678380803726226,0.9678380803726226,0.9678380803726226,0.9715797443424625,0.9715797443424625,0.9715797443424625,35.03411319267764,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br0_f050,single_cell,C,1,1,0.9626612156223657,0.9626612156223657,0.9626612156223657,0.9626612156223657,0.9717349426531842,0.9717349426531842,0.9717349426531842,35.15024867794778,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br0_f075,single_cell,C,1,1,0.9558821161210654,0.9558821161210654,0.9558821161210654,0.9558821161210654,0.972059122037985,0.972059122037985,0.972059122037985,35.15518172666692,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br0_f100,single_cell,C,1,1,0.9398631651187371,0.9398631651187371,0.9398631651187371,0.9398631651187371,0.971943141228248,0.971943141228248,0.971943141228248,35.04198418943913,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br1_f025,single_cell,C,1,1,0.9756260572684463,0.9756260572684463,0.9756260572684463,0.9756260572684463,0.9723158037078486,0.9723158037078486,0.9723158037078486,35.27489237893566,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br1_f050,single_cell,C,1,1,0.9736124494346898,0.9736124494346898,0.9736124494346898,0.9736124494346898,0.9723590255195314,0.9723590255195314,0.9723590255195314,35.26454468011601,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br1_f075,single_cell,C,1,1,0.9795441606362966,0.9795441606362966,0.9795441606362966,0.9795441606362966,0.9720681009933267,0.9720681009933267,0.9720681009933267,35.24331685782009,0.0,1.0,1.0,0.0,2.0
c_s16-16_b24-24_br1_f100,single_cell,C,1,1,0.9769918351180285,0.9769918351180285,0.9769918351180285,0.9769918351180285,0.9720863260015716,0.9720863260015716,0.9720863260015716,35.24701681441651,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br0_f025,single_cell,C,1,1,0.9637632792640209,0.9637632792640209,0.9637632792640209,0.9637632792640209,0.9684050415661605,0.9684050415661605,0.9684050415661605,34.323530834678905,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br0_f050,single_cell,C,1,1,0.9696583582192003,0.9696583582192003,0.9696583582192003,0.9696583582192003,0.9702737109698518,0.9702737109698518,0.9702737109698518,34.768605246515975,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br0_f075,single_cell,C,1,1,0.9669930563788481,0.9669930563788481,0.9669930563788481,0.9669930563788481,0.971268210822588,0.971268210822588,0.971268210822588,35.09207210085268,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br0_f100,single_cell,C,1,1,0.9707399547435768,0.9707399547435768,0.9707399547435768,0.9707399547435768,0.9716904816987977,0.9716904816987977,0.9716904816987977,35.26054434347807,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br1_f025,single_cell,C,1,1,0.9718921545840041,0.9718921545840041,0.9718921545840041,0.9718921545840041,0.9740835360287389,0.9740835360287389,0.9740835360287389,35.77573399956327,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br1_f050,single_cell,C,1,1,0.9312710105978218,0.9312710105978218,0.9312710105978218,0.9312710105978218,0.9751690401035189,0.9751690401035189,0.9751690401035189,36.16559662876203,0.0,1.0,1.0,0.0,2.0
c_s19-19_b06-06_br1_f075,single_cell,C,1,1,0.9718069039873114,0.9718069039873114,0.9718069039873114,0.9718069039873114,0.9757834136124027,0.9757834136124027,0.9757834136124027,36.42874656700626,0.0,1.0,1.0,0.0,2.0
