layer,alignment,rank,count,energy_ratio_mean,energy_ratio_std,effective_rank_mean,effective_rank_std,stable_rank_mean,stable_rank_std
0,frame_spatial_centered,1,3,0.11005196891262009,0.03689035719691318,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,16,3,0.5559374253640957,0.09766976965408446,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,2,3,0.18666818234502713,0.0643398130138399,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,32,3,0.7198812172417651,0.08150326006759863,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,4,3,0.29014331607236094,0.08729354417152434,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,64,3,0.8680718603710162,0.0500789669749279,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_centered,8,3,0.41128683054502985,0.09834438934810291,68.99620880609051,21.49865110943862,10.081422588714043,2.920681082375973
0,frame_spatial_raw,1,3,0.17443198790849135,0.08091607778468099,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,16,3,0.606476570247921,0.10820517458121139,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,2,3,0.2624849408982431,0.10210904262308147,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,32,3,0.7517867123498129,0.08437266591748366,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,4,3,0.3599920384360924,0.11277484308178809,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,64,3,0.88302811466008,0.049164046014393205,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_raw,8,3,0.47672059503836767,0.11717728412930487,56.82973221719394,21.845547718747564,6.898016280701117,2.5082179173787558
0,frame_spatial_token_normalized,1,3,0.13401906002660505,0.04584436596619697,63.38485819811316,21.616362136154375,8.324646882951098,2.4791479438074324
0,frame_spatial_token_normalized,16,3,0.587494935827407,0.11171783992714904,63.38485819811316,21.616362136154375,8.324646882951098,2.4791479438074324
