category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
unlabeled,0,1,history_centered,45,0.9432964850423736,0.01978318145253061,0.8681042540368128,0.0517065815257892
unlabeled,0,1,raw,45,0.9076674314323051,0.045667337919382635,0.9076674314323051,0.045667337919382635
unlabeled,0,16,history_centered,45,0.6683146093395007,0.07901429181133542,0.6172862639945559,0.09415763622810913
unlabeled,0,16,raw,45,0.626225062744337,0.09382607255972822,0.626225062744337,0.09382607255972822
unlabeled,0,2,history_centered,45,0.9017836241310226,0.03647441673968132,0.8305382178815767,0.06516441055530185
unlabeled,0,2,raw,45,0.8568883737975777,0.0612916993402795,0.8568883737975777,0.0612916993402795
unlabeled,0,32,history_centered,45,0.5352317579425423,0.08630724979477251,0.49504985765941995,0.0955602521501415
unlabeled,0,32,raw,45,0.5008503468249922,0.09573597445715382,0.5008503468249922,0.09573597445715382
unlabeled,0,4,history_centered,45,0.8421959724760184,0.05347888285893338,0.7763466941188434,0.07809056447155228
unlabeled,0,4,raw,45,0.7977934532378478,0.07358755227719481,0.7977934532378478,0.07358755227719481
unlabeled,0,64,history_centered,45,0.37766038472611796,0.08367928550518582,0.34986570351974206,0.08738233108614428
unlabeled,0,64,raw,45,0.35295543939836227,0.08766031000838875,0.35295543939836227,0.08766031000838875
unlabeled,0,8,history_centered,45,0.7674054440130433,0.06723958435960155,0.7080426231155384,0.08749978371050751
unlabeled,0,8,raw,45,0.7210006622797585,0.08589863850721575,0.7210006622797585,0.08589863850721575
unlabeled,15,1,history_centered,45,0.5660432079601735,0.03764820257868711,0.5496166224124305,0.035082240228975416
unlabeled,15,1,raw,45,0.5978392241930367,0.0367659965710843,0.5978392241930367,0.0367659965710843
unlabeled,15,16,history_centered,45,0.397913593650852,0.029789209937051628,0.3863595261158626,0.027915806749376288
unlabeled,15,16,raw,45,0.3899769613427392,0.028293979378647,0.3899769613427392,0.028293979378647
unlabeled,15,2,history_centered,45,0.5343374183072397,0.03742147863591467,0.5188266478783721,0.03494892085939819
unlabeled,15,2,raw,45,0.544583797487375,0.035943899112631565,0.544583797487375,0.035943899112631565
unlabeled,15,32,history_centered,45,0.33609575522740504,0.025423470514004967,0.32633902641813406,0.02387369147760491
unlabeled,15,32,raw,45,0.3282133008386957,0.024020648457046188,0.3282133008386957,0.024020648457046188
unlabeled,15,4,history_centered,45,0.494598326739673,0.037990964244572496,0.48023385287759046,0.03561978233338761
unlabeled,15,4,raw,45,0.49305144217536645,0.03713070778825044,0.49305144217536645,0.03713070778825044
unlabeled,15,64,history_centered,45,0.2690863570148183,0.02210378337959052,0.2612796169411486,0.020929447421471632
unlabeled,15,64,raw,45,0.2623245527523141,0.020961814318629077,0.2623245527523141,0.020961814318629077
unlabeled,15,8,history_centered,45,0.45109513420155556,0.03300663681873758,0.437998227016993,0.030897299774219313
unlabeled,15,8,raw,45,0.4445126261585587,0.03231473935833376,0.4445126261585587,0.03231473935833376
unlabeled,22,1,history_centered,45,0.713001841844016,0.0429077317586615,0.609407149520437,0.06098110197184538
unlabeled,22,1,raw,45,0.6636707057049156,0.08082310765349175,0.6636707057049156,0.08082310765349175
unlabeled,22,16,history_centered,45,0.4013431772414261,0.04466191756389905,0.34373145213819417,0.05176766335149234
unlabeled,22,16,raw,45,0.3477947177580703,0.052127619079144705,0.3477947177580703,0.052127619079144705
unlabeled,22,2,history_centered,45,0.5915461257596908,0.05297506179256316,0.5060720191916608,0.06493496016856265
unlabeled,22,2,raw,45,0.5630856998915561,0.07928446172574037,0.5630856998915561,0.07928446172574037
unlabeled,22,32,history_centered,45,0.33717296399429153,0.04143128207759393,0.28891374829485017,0.0466366633498657
unlabeled,22,32,raw,45,0.2906891605815508,0.04673759562980768,0.2906891605815508,0.04673759562980768
unlabeled,22,4,history_centered,45,0.5292587949080153,0.050506365033867656,0.4529108843865994,0.06090662672763224
unlabeled,22,4,raw,45,0.46526071848714085,0.06216165138934356,0.46526071848714085,0.06216165138934356
unlabeled,22,64,history_centered,45,0.2756968684531684,0.036761364495676255,0.23629879260796147,0.04014080335539115
unlabeled,22,64,raw,45,0.23713139162034602,0.04027016826248887,0.23713139162034602,0.04027016826248887
unlabeled,22,8,history_centered,45,0.46511462773594636,0.04658624813457888,0.3981635759786826,0.05561288045707681
unlabeled,22,8,raw,45,0.40359170531619587,0.05582080864151565,0.40359170531619587,0.05582080864151565
unlabeled,23,1,history_centered,45,0.7212138538474976,0.04389974334441703,0.5837600599391662,0.05412355953084477
unlabeled,23,1,raw,45,0.6599266180232268,0.06905983850028749,0.6599266180232268,0.06905983850028749
unlabeled,23,16,history_centered,45,0.41707564845513073,0.04604363642527876,0.33812535627186335,0.04797124996412545
unlabeled,23,16,raw,45,0.34235503330642264,0.04834268902865226,0.34235503330642264,0.04834268902865226
unlabeled,23,2,history_centered,45,0.5962801637183894,0.054584764894479804,0.4829837368413415,0.058799974853258316
unlabeled,23,2,raw,45,0.560178234252155,0.06314979569030443,0.560178234252155,0.06314979569030443
unlabeled,23,32,history_centered,45,0.35244639638608455,0.04271949303575065,0.28586670242358464,0.04367025386381549
unlabeled,23,32,raw,45,0.2876903698687904,0.04375942758917551,0.2876903698687904,0.04375942758917551
unlabeled,23,4,history_centered,45,0.5401696160156791,0.052153756694749684,0.43762187719601237,0.05560049758927204
unlabeled,23,4,raw,45,0.4526477806044518,0.057452788539570365,0.4526477806044518,0.057452788539570365
unlabeled,23,64,history_centered,45,0.2897479812446396,0.03787616161928256,0.23508950833922226,0.037956826857159724
unlabeled,23,64,raw,45,0.23590123949600408,0.03806303481736013,0.23590123949600408,0.03806303481736013
unlabeled,23,8,history_centered,45,0.4794218485357945,0.048266480970584176,0.3885295777088472,0.05130874782578074
unlabeled,23,8,raw,45,0.39606895058343516,0.05207686041874356,0.39606895058343516,0.05207686041874356
unlabeled,7,1,history_centered,45,0.9617647023140798,0.007562705187110426,0.9128513220267954,0.018453331930124335
unlabeled,7,1,raw,45,0.941094399096762,0.016143574518857222,0.941094399096762,0.016143574518857222
unlabeled,7,16,history_centered,45,0.7198464807252334,0.017800859604311492,0.6833832282399767,0.025366369511505945
unlabeled,7,16,raw,45,0.6909319714055018,0.0251426606616672,0.6909319714055018,0.0251426606616672
unlabeled,7,2,history_centered,45,0.9315257750088499,0.009476891293491668,0.8841728838725261,0.019807327576471703
unlabeled,7,2,raw,45,0.9097471559447334,0.018760221541858076,0.9097471559447334,0.018760221541858076
unlabeled,7,32,history_centered,45,0.6285061841142069,0.021533845343524413,0.5967282100871424,0.027489874631815833
unlabeled,7,32,raw,45,0.6003660983881302,0.0274686250806526,0.6003660983881302,0.0274686250806526
unlabeled,7,4,history_centered,45,0.8848851761899778,0.012570181952418161,0.8399450316342623,0.02221574531762235
unlabeled,7,4,raw,45,0.8591758653183665,0.02137547006700275,0.8591758653183665,0.02137547006700275
unlabeled,7,64,history_centered,45,0.5293424457867225,0.027460245842299776,0.5026403784903043,0.031209903811737934
unlabeled,7,64,raw,45,0.5046004457177801,0.031123031332160846,0.5046004457177801,0.031123031332160846
unlabeled,7,8,history_centered,45,0.8126655068473787,0.01471222884386869,0.7714333575964676,0.02350353981183566
unlabeled,7,8,raw,45,0.7849478249050694,0.02313777998579179,0.7849478249050694,0.02313777998579179
