prompt_id,retained_blocks,aggregate_av_l2_percent,selected_index,evaluated_candidates
test_nonrigid_s3,1,7.480072078888328,15,125
test_nonrigid_s3,2,7.273496668532664,100,124
test_nonrigid_s3,3,7.071495881192742,8,123
test_nonrigid_s3,4,6.818453636000522,108,122
test_nonrigid_s3,5,6.618459180772214,7,121
test_nonrigid_s3,6,6.416636830245744,107,120
test_nonrigid_s3,7,6.237202904471449,0,119
test_nonrigid_s3,8,6.055933551962937,115,118
test_nonrigid_s3,9,5.898629592699665,16,117
test_nonrigid_s3,10,5.6380712410253935,116,116
test_nonrigid_s3,11,5.518307157186053,23,115
test_nonrigid_s3,12,5.27173343492052,123,114
test_nonrigid_s3,13,5.175134196174983,33,113
test_nonrigid_s3,14,5.042778351684171,83,112
test_nonrigid_s3,15,4.945661260609067,50,111
test_nonrigid_s3,16,4.8476674734131935,25,110
test_nonrigid_s3,17,4.7524530333741914,41,109
test_nonrigid_s3,18,4.650518694755566,91,108
test_nonrigid_s3,19,4.567541440247784,9,107
test_nonrigid_s3,20,4.455293058771381,109,106
test_nonrigid_s3,21,4.373247049826849,6,105
test_nonrigid_s3,22,4.215848999026909,106,104
test_nonrigid_s3,23,4.143669717871747,17,103
test_nonrigid_s3,24,3.9951391014314006,117,102
valid_multi_object_s2,1,8.317452521561517,16,125
valid_multi_object_s2,2,7.933721753843523,116,124
valid_multi_object_s2,3,7.690311234356799,15,123
valid_multi_object_s2,4,7.399353952317133,115,122
valid_multi_object_s2,5,7.232877443730053,108,121
valid_multi_object_s2,6,7.016433184496061,8,120
valid_multi_object_s2,7,6.8567911979957445,33,119
valid_multi_object_s2,8,6.695346391007802,100,118
valid_multi_object_s2,9,6.53115367177413,0,117
valid_multi_object_s2,10,6.388353209416159,25,116
valid_multi_object_s2,11,6.251932311140145,23,115
valid_multi_object_s2,12,6.08341257952976,123,114
valid_multi_object_s2,13,5.959266368232361,41,113
valid_multi_object_s2,14,5.80776665343494,91,112
valid_multi_object_s2,15,5.688510015677703,40,111
valid_multi_object_s2,16,5.544573313377756,90,110
valid_multi_object_s2,17,5.429453302865363,107,109
valid_multi_object_s2,18,5.31269359442443,17,108
valid_multi_object_s2,19,5.20382805779344,50,107
valid_multi_object_s2,20,5.095700019278093,58,106
valid_multi_object_s2,21,4.992770346270124,42,105
valid_multi_object_s2,22,4.894880555367055,92,104
valid_multi_object_s2,23,4.796794595501433,124,103
valid_multi_object_s2,24,4.6912181135552515,24,102
