layer,flow_point,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,feature_coefficient_r2,noise_coefficient_r2,noisy_delta_coefficient_r2,state_coefficient_r2,state_noise_coefficient_r2,state_noisy_condition_coefficient_r2
0,0,98,raw_reuse,0.5826975104694421,0.5587356090545654,0.8577009469270706,0.548070030475505,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_reuse,0.5588622288103821,0.5371039509773254,0.8691528797149657,0.5410521583170906,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_local_r2,0.3024609392443571,0.2769216001033783,0.5592860668897628,0.40610885636656124,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_feature,0.1255711154838937,0.1113644614815712,0.267538970708847,0.23064958515400563,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_noise,0.0848838891817586,0.07290039211511612,0.16596825420856473,0.2237970924326451,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_noisy_delta,0.08512897400163633,0.072530098259449,0.16996719166636465,0.22390268738547367,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_state,0.026770153891344142,0.023725608363747597,0.0524334667250514,0.13203665809593698,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_state_noise,0.026785743541874994,0.023740708827972412,0.052384684979915615,0.1320371198460184,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_state_noisy_condition,0.02676925497636352,0.023723924532532692,0.052519420720636846,0.1320394407477434,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
0,0,98,shift_rank8_oracle,0.026768582602456643,0.023674214258790016,0.05235658697783947,0.13202512649521958,0.9404564235309296,0.861940798862995,0.8739605061843472,0.8737780333561374,0.9999882504850676,0.9999877716805204,0.9999854031409847
1,0,98,raw_reuse,0.04229694018039645,0.041685495525598526,0.0658368870615959,0.43169057563039187,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_reuse,0.03454985889934425,0.03322077915072441,0.06089816447347402,0.4345182522999313,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_local_r2,0.012851857252590658,0.011836923658847809,0.023487418331205843,0.2893324474658579,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_feature,0.022202852054252032,0.020476816222071648,0.040702359192073344,0.3144062631081077,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_noise,0.013573823719002244,0.012613829225301743,0.024383434839546678,0.2921279895035969,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_noisy_delta,0.013557610627436444,0.012587367556989193,0.02435611756518483,0.2922785351257149,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_state,0.006312128436392294,0.00581083819270134,0.011226378753781317,0.20032898256627743,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
